((NUW-APP))               N000.00.00.000 E000.00.00.000 N000.00.00.000 E000.00.00.000
                          N048.15.27.658 W122.40.11.414 N048.15.25.441 W122.40.05.187 RVM
                          N048.15.25.441 W122.40.05.187 N048.15.22.458 W122.39.59.728 RVM
                          N048.15.22.458 W122.39.59.728 N048.15.18.824 W122.39.55.249 RVM
                          N048.15.18.824 W122.39.55.249 N048.15.14.677 W122.39.51.921 RVM
                          N048.15.14.677 W122.39.51.921 N048.15.10.178 W122.39.49.872 RVM
                          N048.15.10.178 W122.39.49.872 N048.15.05.498 W122.39.49.181 RVM
                          N048.15.05.498 W122.39.49.181 N048.15.00.819 W122.39.49.874 RVM
                          N048.15.00.819 W122.39.49.874 N048.14.56.320 W122.39.51.924 RVM
                          N048.14.56.320 W122.39.51.924 N048.14.52.174 W122.39.55.253 RVM
                          N048.14.52.174 W122.39.55.253 N048.14.48.540 W122.39.59.733 RVM
                          N048.14.48.540 W122.39.59.733 N048.14.45.558 W122.40.05.191 RVM
                          N048.14.45.558 W122.40.05.191 N048.14.43.342 W122.40.11.418 RVM
                          N048.14.43.342 W122.40.11.418 N048.14.41.977 W122.40.18.174 RVM
                          N048.14.41.977 W122.40.18.174 N048.14.41.516 W122.40.25.200 RVM
                          N048.14.41.516 W122.40.25.200 N048.14.41.977 W122.40.32.226 RVM
                          N048.14.41.977 W122.40.32.226 N048.14.43.342 W122.40.38.982 RVM
                          N048.14.43.342 W122.40.38.982 N048.14.45.558 W122.40.45.209 RVM
                          N048.14.45.558 W122.40.45.209 N048.14.48.540 W122.40.50.667 RVM
                          N048.14.48.540 W122.40.50.667 N048.14.52.174 W122.40.55.147 RVM
                          N048.14.52.174 W122.40.55.147 N048.14.56.320 W122.40.58.476 RVM
                          N048.14.56.320 W122.40.58.476 N048.15.00.819 W122.41.00.526 RVM
                          N048.15.00.819 W122.41.00.526 N048.15.05.498 W122.41.01.219 RVM
                          N048.15.05.498 W122.41.01.219 N048.15.10.178 W122.41.00.528 RVM
                          N048.15.10.178 W122.41.00.528 N048.15.14.677 W122.40.58.479 RVM
                          N048.15.14.677 W122.40.58.479 N048.15.18.824 W122.40.55.151 RVM
                          N048.15.18.824 W122.40.55.151 N048.15.22.458 W122.40.50.672 RVM
                          N048.15.22.458 W122.40.50.672 N048.15.25.441 W122.40.45.213 RVM
                          N048.15.25.441 W122.40.45.213 N048.15.27.658 W122.40.38.986 RVM
                          N048.15.27.658 W122.40.38.986 N048.15.29.023 W122.40.32.228 RVM
                          N048.15.29.023 W122.40.32.228 N048.15.29.484 W122.40.25.200 RVM
                          N048.15.29.484 W122.40.25.200 N048.15.41.476 W122.40.25.200 RVM
                          N048.15.05.498 W122.39.49.181 N048.15.05.496 W122.39.31.171 RVM
                          N048.14.41.516 W122.40.25.200 N048.14.29.524 W122.40.25.200 RVM
                          N048.15.05.498 W122.41.01.219 N048.15.05.496 W122.41.19.229 RVM
    ; 74S
                          N048.30.20.357 W122.39.44.624 N048.30.19.896 W122.39.37.562 RVM
                          N048.30.19.896 W122.39.37.562 N048.30.18.531 W122.39.30.771 RVM
                          N048.30.18.531 W122.39.30.771 N048.30.16.314 W122.39.24.513 RVM
                          N048.30.16.314 W122.39.24.513 N048.30.13.331 W122.39.19.028 RVM
                          N048.30.13.331 W122.39.19.028 N048.30.09.697 W122.39.14.527 RVM
                          N048.30.09.697 W122.39.14.527 N048.30.05.550 W122.39.11.183 RVM
                          N048.30.05.550 W122.39.11.183 N048.30.01.050 W122.39.09.124 RVM
                          N048.30.01.050 W122.39.09.124 N048.29.56.371 W122.39.08.429 RVM
                          N048.29.56.371 W122.39.08.429 N048.29.51.692 W122.39.09.126 RVM
                          N048.29.51.692 W122.39.09.126 N048.29.47.193 W122.39.11.186 RVM
                          N048.29.47.193 W122.39.11.186 N048.29.43.047 W122.39.14.531 RVM
                          N048.29.43.047 W122.39.14.531 N048.29.39.413 W122.39.19.033 RVM
                          N048.29.39.413 W122.39.19.033 N048.29.36.431 W122.39.24.518 RVM
                          N048.29.36.431 W122.39.24.518 N048.29.34.215 W122.39.30.775 RVM
                          N048.29.34.215 W122.39.30.775 N048.29.32.850 W122.39.37.564 RVM
                          N048.29.32.850 W122.39.37.564 N048.29.32.389 W122.39.44.624 RVM
                          N048.29.32.389 W122.39.44.624 N048.29.32.850 W122.39.51.684 RVM
                          N048.29.32.850 W122.39.51.684 N048.29.34.215 W122.39.58.473 RVM
                          N048.29.34.215 W122.39.58.473 N048.29.36.431 W122.40.04.731 RVM
                          N048.29.36.431 W122.40.04.731 N048.29.39.413 W122.40.10.215 RVM
                          N048.29.39.413 W122.40.10.215 N048.29.43.047 W122.40.14.717 RVM
                          N048.29.43.047 W122.40.14.717 N048.29.47.193 W122.40.18.062 RVM
