((NUW-APP))               N000.00.00.000 E000.00.00.000 N000.00.00.000 E000.00.00.000
                          N048.06.16.855 W123.11.06.637 N048.06.15.490 W123.10.59.900 RVM
                          N048.06.15.490 W123.10.59.900 N048.06.13.273 W123.10.53.690 RVM
                          N048.06.13.273 W123.10.53.690 N048.06.10.290 W123.10.48.248 RVM
                          N048.06.10.290 W123.10.48.248 N048.06.06.656 W123.10.43.782 RVM
                          N048.06.06.656 W123.10.43.782 N048.06.02.509 W123.10.40.464 RVM
                          N048.06.02.509 W123.10.40.464 N048.05.58.010 W123.10.38.422 RVM
                          N048.05.58.010 W123.10.38.422 N048.05.53.330 W123.10.37.732 RVM
                          N048.05.53.330 W123.10.37.732 N048.05.48.652 W123.10.38.423 RVM
                          N048.05.48.652 W123.10.38.423 N048.05.44.152 W123.10.40.468 RVM
                          N048.05.44.152 W123.10.40.468 N048.05.40.006 W123.10.43.787 RVM
                          N048.05.40.006 W123.10.43.787 N048.05.36.372 W123.10.48.253 RVM
                          N048.05.36.372 W123.10.48.253 N048.05.33.390 W123.10.53.695 RVM
                          N048.05.33.390 W123.10.53.695 N048.05.31.174 W123.10.59.903 RVM
                          N048.05.31.174 W123.10.59.903 N048.05.29.809 W123.11.06.639 RVM
                          N048.05.29.809 W123.11.06.639 N048.05.29.348 W123.11.13.644 RVM
                          N048.05.29.348 W123.11.13.644 N048.05.29.809 W123.11.20.649 RVM
                          N048.05.29.809 W123.11.20.649 N048.05.31.174 W123.11.27.385 RVM
                          N048.05.31.174 W123.11.27.385 N048.05.33.390 W123.11.33.593 RVM
                          N048.05.33.390 W123.11.33.593 N048.05.36.372 W123.11.39.035 RVM
                          N048.05.36.372 W123.11.39.035 N048.05.40.006 W123.11.43.501 RVM
                          N048.05.40.006 W123.11.43.501 N048.05.44.152 W123.11.46.820 RVM
                          N048.05.44.152 W123.11.46.820 N048.05.48.652 W123.11.48.865 RVM
                          N048.05.48.652 W123.11.48.865 N048.05.53.330 W123.11.49.556 RVM
                          N048.05.53.330 W123.11.49.556 N048.05.58.010 W123.11.48.866 RVM
                          N048.05.58.010 W123.11.48.866 N048.06.02.509 W123.11.46.824 RVM
                          N048.06.02.509 W123.11.46.824 N048.06.06.656 W123.11.43.506 RVM
                          N048.06.06.656 W123.11.43.506 N048.06.10.290 W123.11.39.040 RVM
                          N048.06.10.290 W123.11.39.040 N048.06.13.273 W123.11.33.598 RVM
                          N048.06.13.273 W123.11.33.598 N048.06.15.490 W123.11.27.388 RVM
                          N048.06.15.490 W123.11.27.388 N048.06.16.855 W123.11.20.651 RVM
                          N048.06.16.855 W123.11.20.651 N048.06.17.316 W123.11.13.644 RVM
                          N048.06.17.316 W123.11.13.644 N048.06.29.308 W123.11.13.644 RVM
                          N048.05.53.330 W123.10.37.732 N048.05.53.329 W123.10.19.777 RVM
                          N048.05.29.348 W123.11.13.644 N048.05.17.356 W123.11.13.644 RVM
                          N048.05.53.330 W123.11.49.556 N048.05.53.329 W123.12.07.511 RVM
    ; WN07
                          N048.30.23.384 W122.48.49.600 N048.30.22.923 W122.48.42.538 RVM
                          N048.30.22.923 W122.48.42.538 N048.30.21.558 W122.48.35.747 RVM
                          N048.30.21.558 W122.48.35.747 N048.30.19.341 W122.48.29.489 RVM
                          N048.30.19.341 W122.48.29.489 N048.30.16.358 W122.48.24.004 RVM
                          N048.30.16.358 W122.48.24.004 N048.30.12.724 W122.48.19.503 RVM
                          N048.30.12.724 W122.48.19.503 N048.30.08.577 W122.48.16.158 RVM
                          N048.30.08.577 W122.48.16.158 N048.30.04.077 W122.48.14.099 RVM
                          N048.30.04.077 W122.48.14.099 N048.29.59.398 W122.48.13.405 RVM
                          N048.29.59.398 W122.48.13.405 N048.29.54.719 W122.48.14.101 RVM
                          N048.29.54.719 W122.48.14.101 N048.29.50.220 W122.48.16.162 RVM
                          N048.29.50.220 W122.48.16.162 N048.29.46.074 W122.48.19.507 RVM
                          N048.29.46.074 W122.48.19.507 N048.29.42.440 W122.48.24.008 RVM
                          N048.29.42.440 W122.48.24.008 N048.29.39.458 W122.48.29.493 RVM
                          N048.29.39.458 W122.48.29.493 N048.29.37.242 W122.48.35.750 RVM
                          N048.29.37.242 W122.48.35.750 N048.29.35.877 W122.48.42.540 RVM
                          N048.29.35.877 W122.48.42.540 N048.29.35.416 W122.48.49.600 RVM
                          N048.29.35.416 W122.48.49.600 N048.29.35.877 W122.48.56.660 RVM
                          N048.29.35.877 W122.48.56.660 N048.29.37.242 W122.49.03.450 RVM
                          N048.29.37.242 W122.49.03.450 N048.29.39.458 W122.49.09.707 RVM
                          N048.29.39.458 W122.49.09.707 N048.29.42.440 W122.49.15.192 RVM
                          N048.29.42.440 W122.49.15.192 N048.29.46.074 W122.49.19.693 RVM
                          N048.29.46.074 W122.49.19.693 N048.29.50.220 W122.49.23.038 RVM
                          N048.29.50.220 W122.49.23.038 N048.29.54.719 W122.49.25.099 RVM
                          N048.29.54.719 W122.49.25.099 N048.29.59.398 W122.49.25.795 RVM
                          N048.29.59.398 W122.49.25.795 N048.30.04.077 W122.49.25.101 RVM
                          N048.30.04.077 W122.49.25.101 N048.30.08.577 W122.49.23.042 RVM
                          N048.30.08.577 W122.49.23.042 N048.30.12.724 W122.49.19.697 RVM
                          N048.30.12.724 W122.49.19.697 N048.30.16.358 W122.49.15.196 RVM
                          N048.30.16.358 W122.49.15.196 N048.30.19.341 W122.49.09.711 RVM
                          N048.30.19.341 W122.49.09.711 N048.30.21.558 W122.49.03.453 RVM
                          N048.30.21.558 W122.49.03.453 N048.30.22.923 W122.48.56.662 RVM
                          N048.30.22.923 W122.48.56.662 N048.30.23.384 W122.48.49.600 RVM
                          N048.30.23.384 W122.48.49.600 N048.30.35.376 W122.48.49.600 RVM
                          N048.29.59.398 W122.48.13.405 N048.29.59.396 W122.47.55.307 RVM
                          N048.29.35.416 W122.48.49.600 N048.29.23.424 W122.48.49.600 RVM
                          N048.29.59.398 W122.49.25.795 N048.29.59.396 W122.49.43.893 RVM
    ; WA04
                          N047.49.11.984 W122.02.36.000 N047.49.11.523 W122.02.29.032 RVM
                          N047.49.11.523 W122.02.29.032 N047.49.10.158 W122.02.22.331 RVM
                          N047.49.10.158 W122.02.22.331 N047.49.07.941 W122.02.16.156 RVM
                          N047.49.07.941 W122.02.16.156 N047.49.04.958 W122.02.10.744 RVM
                          N047.49.04.958 W122.02.10.744 N047.49.01.324 W122.02.06.303 RVM
                          N047.49.01.324 W122.02.06.303 N047.48.57.177 W122.02.03.003 RVM
                          N047.48.57.177 W122.02.03.003 N047.48.52.678 W122.02.00.971 RVM
                          N047.48.52.678 W122.02.00.971 N047.48.47.998 W122.02.00.286 RVM
                          N047.48.47.998 W122.02.00.286 N047.48.43.320 W122.02.00.973 RVM
                          N047.48.43.320 W122.02.00.973 N047.48.38.820 W122.02.03.006 RVM
                          N047.48.38.820 W122.02.03.006 N047.48.34.674 W122.02.06.307 RVM
                          N047.48.34.674 W122.02.06.307 N047.48.31.040 W122.02.10.749 RVM
                          N047.48.31.040 W122.02.10.749 N047.48.28.058 W122.02.16.160 RVM
                          N047.48.28.058 W122.02.16.160 N047.48.25.842 W122.02.22.334 RVM
                          N047.48.25.842 W122.02.22.334 N047.48.24.477 W122.02.29.033 RVM
                          N047.48.24.477 W122.02.29.033 N047.48.24.016 W122.02.36.000 RVM
                          N047.48.24.016 W122.02.36.000 N047.48.24.477 W122.02.42.967 RVM
                          N047.48.24.477 W122.02.42.967 N047.48.25.842 W122.02.49.666 RVM
                          N047.48.25.842 W122.02.49.666 N047.48.28.058 W122.02.55.840 RVM
                          N047.48.28.058 W122.02.55.840 N047.48.31.040 W122.03.01.251 RVM
                          N047.48.31.040 W122.03.01.251 N047.48.34.674 W122.03.05.693 RVM
                          N047.48.34.674 W122.03.05.693 N047.48.38.820 W122.03.08.994 RVM
                          N047.48.38.820 W122.03.08.994 N047.48.43.320 W122.03.11.027 RVM
                          N047.48.43.320 W122.03.11.027 N047.48.47.998 W122.03.11.714 RVM
                          N047.48.47.998 W122.03.11.714 N047.48.52.678 W122.03.11.029 RVM
                          N047.48.52.678 W122.03.11.029 N047.48.57.177 W122.03.08.997 RVM
                          N047.48.57.177 W122.03.08.997 N047.49.01.324 W122.03.05.697 RVM
                          N047.49.01.324 W122.03.05.697 N047.49.04.958 W122.03.01.256 RVM
                          N047.49.04.958 W122.03.01.256 N047.49.07.941 W122.02.55.844 RVM
                          N047.49.07.941 W122.02.55.844 N047.49.10.158 W122.02.49.669 RVM
                          N047.49.10.158 W122.02.49.669 N047.49.11.523 W122.02.42.968 RVM
                          N047.49.11.523 W122.02.42.968 N047.49.11.984 W122.02.36.000 RVM
                          N047.49.11.984 W122.02.36.000 N047.49.23.976 W122.02.36.000 RVM
                          N047.48.47.998 W122.02.00.286 N047.48.47.997 W122.01.42.429 RVM
                          N047.48.24.016 W122.02.36.000 N047.48.12.024 W122.02.36.000 RVM
                          N047.48.47.998 W122.03.11.714 N047.48.47.997 W122.03.29.571 RVM
    ; CYPK
                          N049.13.21.984 W122.42.36.000 N049.13.21.523 W122.42.28.836 RVM
                          N049.13.21.523 W122.42.28.836 N049.13.20.158 W122.42.21.947 RVM
                          N049.13.20.158 W122.42.21.947 N049.13.17.941 W122.42.15.599 RVM
                          N049.13.17.941 W122.42.15.599 N049.13.14.958 W122.42.10.035 RVM
                          N049.13.14.958 W122.42.10.035 N049.13.11.324 W122.42.05.469 RVM
                          N049.13.11.324 W122.42.05.469 N049.13.07.177 W122.42.02.076 RVM
                          N049.13.07.177 W122.42.02.076 N049.13.02.677 W122.41.59.988 RVM
                          N049.13.02.677 W122.41.59.988 N049.12.57.998 W122.41.59.283 RVM
                          N049.12.57.998 W122.41.59.283 N049.12.53.319 W122.41.59.989 RVM
                          N049.12.53.319 W122.41.59.989 N049.12.48.820 W122.42.02.080 RVM
                          N049.12.48.820 W122.42.02.080 N049.12.44.674 W122.42.05.473 RVM
                          N049.12.44.674 W122.42.05.473 N049.12.41.040 W122.42.10.040 RVM
                          N049.12.41.040 W122.42.10.040 N049.12.38.058 W122.42.15.603 RVM
                          N049.12.38.058 W122.42.15.603 N049.12.35.842 W122.42.21.951 RVM
                          N049.12.35.842 W122.42.21.951 N049.12.34.477 W122.42.28.838 RVM
                          N049.12.34.477 W122.42.28.838 N049.12.34.016 W122.42.36.000 RVM
                          N049.12.34.016 W122.42.36.000 N049.12.34.477 W122.42.43.162 RVM
                          N049.12.34.477 W122.42.43.162 N049.12.35.842 W122.42.50.049 RVM
                          N049.12.35.842 W122.42.50.049 N049.12.38.058 W122.42.56.397 RVM
                          N049.12.38.058 W122.42.56.397 N049.12.41.040 W122.43.01.960 RVM
                          N049.12.41.040 W122.43.01.960 N049.12.44.674 W122.43.06.527 RVM
                          N049.12.44.674 W122.43.06.527 N049.12.48.820 W122.43.09.920 RVM
                          N049.12.48.820 W122.43.09.920 N049.12.53.319 W122.43.12.011 RVM
                          N049.12.53.319 W122.43.12.011 N049.12.57.998 W122.43.12.717 RVM
                          N049.12.57.998 W122.43.12.717 N049.13.02.677 W122.43.12.012 RVM
                          N049.13.02.677 W122.43.12.012 N049.13.07.177 W122.43.09.924 RVM
                          N049.13.07.177 W122.43.09.924 N049.13.11.324 W122.43.06.531 RVM
                          N049.13.11.324 W122.43.06.531 N049.13.14.958 W122.43.01.965 RVM
                          N049.13.14.958 W122.43.01.965 N049.13.17.941 W122.42.56.401 RVM
                          N049.13.17.941 W122.42.56.401 N049.13.20.158 W122.42.50.053 RVM
                          N049.13.20.158 W122.42.50.053 N049.13.21.523 W122.42.43.164 RVM
                          N049.13.21.523 W122.42.43.164 N049.13.21.984 W122.42.36.000 RVM
                          N049.13.21.984 W122.42.36.000 N049.13.33.976 W122.42.36.000 RVM
                          N049.12.57.998 W122.41.59.283 N049.12.57.996 W122.41.40.925 RVM
                          N049.12.34.016 W122.42.36.000 N049.12.22.024 W122.42.36.000 RVM
                          N049.12.57.998 W122.43.12.717 N049.12.57.996 W122.43.31.075 RVM
    ; CYYJ
                          N048.39.12.984 W123.25.33.000 N048.39.12.523 W123.25.25.917 RVM
                          N048.39.12.523 W123.25.25.917 N048.39.11.158 W123.25.19.107 RVM
                          N048.39.11.158 W123.25.19.107 N048.39.08.941 W123.25.12.830 RVM
                          N048.39.08.941 W123.25.12.830 N048.39.05.958 W123.25.07.329 RVM
                          N048.39.05.958 W123.25.07.329 N048.39.02.324 W123.25.02.815 RVM
                          N048.39.02.324 W123.25.02.815 N048.38.58.177 W123.24.59.461 RVM
                          N048.38.58.177 W123.24.59.461 N048.38.53.677 W123.24.57.396 RVM
                          N048.38.53.677 W123.24.57.396 N048.38.48.998 W123.24.56.699 RVM
                          N048.38.48.998 W123.24.56.699 N048.38.44.319 W123.24.57.398 RVM
                          N048.38.44.319 W123.24.57.398 N048.38.39.820 W123.24.59.464 RVM
                          N048.38.39.820 W123.24.59.464 N048.38.35.674 W123.25.02.819 RVM
                          N048.38.35.674 W123.25.02.819 N048.38.32.040 W123.25.07.334 RVM
                          N048.38.32.040 W123.25.07.334 N048.38.29.058 W123.25.12.835 RVM
                          N048.38.29.058 W123.25.12.835 N048.38.26.842 W123.25.19.110 RVM
                          N048.38.26.842 W123.25.19.110 N048.38.25.477 W123.25.25.919 RVM
                          N048.38.25.477 W123.25.25.919 N048.38.25.016 W123.25.33.000 RVM
                          N048.38.25.016 W123.25.33.000 N048.38.25.477 W123.25.40.081 RVM
                          N048.38.25.477 W123.25.40.081 N048.38.26.842 W123.25.46.890 RVM
                          N048.38.26.842 W123.25.46.890 N048.38.29.058 W123.25.53.165 RVM
                          N048.38.29.058 W123.25.53.165 N048.38.32.040 W123.25.58.666 RVM
                          N048.38.32.040 W123.25.58.666 N048.38.35.674 W123.26.03.181 RVM
                          N048.38.35.674 W123.26.03.181 N048.38.39.820 W123.26.06.536 RVM
                          N048.38.39.820 W123.26.06.536 N048.38.44.319 W123.26.08.602 RVM
                          N048.38.44.319 W123.26.08.602 N048.38.48.998 W123.26.09.301 RVM
                          N048.38.48.998 W123.26.09.301 N048.38.53.677 W123.26.08.604 RVM
                          N048.38.53.677 W123.26.08.604 N048.38.58.177 W123.26.06.539 RVM
                          N048.38.58.177 W123.26.06.539 N048.39.02.324 W123.26.03.185 RVM
                          N048.39.02.324 W123.26.03.185 N048.39.05.958 W123.25.58.671 RVM
                          N048.39.05.958 W123.25.58.671 N048.39.08.941 W123.25.53.170 RVM
                          N048.39.08.941 W123.25.53.170 N048.39.11.158 W123.25.46.893 RVM
                          N048.39.11.158 W123.25.46.893 N048.39.12.523 W123.25.40.083 RVM
                          N048.39.12.523 W123.25.40.083 N048.39.12.984 W123.25.33.000 RVM
                          N048.39.12.984 W123.25.33.000 N048.39.24.976 W123.25.33.000 RVM
                          N048.38.48.998 W123.24.56.699 N048.38.48.996 W123.24.38.549 RVM
                          N048.38.25.016 W123.25.33.000 N048.38.13.024 W123.25.33.000 RVM
                          N048.38.48.998 W123.26.09.301 N048.38.48.996 W123.26.27.451 RVM
    ; CYVR
                          N049.12.04.984 W123.11.02.000 N049.12.04.523 W123.10.54.839 RVM
                          N049.12.04.523 W123.10.54.839 N049.12.03.158 W123.10.47.953 RVM
                          N049.12.03.158 W123.10.47.953 N049.12.00.941 W123.10.41.608 RVM
                          N049.12.00.941 W123.10.41.608 N049.11.57.958 W123.10.36.046 RVM
                          N049.11.57.958 W123.10.36.046 N049.11.54.324 W123.10.31.482 RVM
                          N049.11.54.324 W123.10.31.482 N049.11.50.177 W123.10.28.091 RVM
                          N049.11.50.177 W123.10.28.091 N049.11.45.677 W123.10.26.003 RVM
                          N049.11.45.677 W123.10.26.003 N049.11.40.998 W123.10.25.299 RVM
                          N049.11.40.998 W123.10.25.299 N049.11.36.319 W123.10.26.005 RVM
                          N049.11.36.319 W123.10.26.005 N049.11.31.820 W123.10.28.094 RVM
                          N049.11.31.820 W123.10.28.094 N049.11.27.674 W123.10.31.486 RVM
                          N049.11.27.674 W123.10.31.486 N049.11.24.040 W123.10.36.051 RVM
                          N049.11.24.040 W123.10.36.051 N049.11.21.058 W123.10.41.612 RVM
                          N049.11.21.058 W123.10.41.612 N049.11.18.842 W123.10.47.957 RVM
                          N049.11.18.842 W123.10.47.957 N049.11.17.477 W123.10.54.841 RVM
                          N049.11.17.477 W123.10.54.841 N049.11.17.016 W123.11.02.000 RVM
                          N049.11.17.016 W123.11.02.000 N049.11.17.477 W123.11.09.159 RVM
                          N049.11.17.477 W123.11.09.159 N049.11.18.842 W123.11.16.043 RVM
                          N049.11.18.842 W123.11.16.043 N049.11.21.058 W123.11.22.388 RVM
                          N049.11.21.058 W123.11.22.388 N049.11.24.040 W123.11.27.949 RVM
                          N049.11.24.040 W123.11.27.949 N049.11.27.674 W123.11.32.514 RVM
                          N049.11.27.674 W123.11.32.514 N049.11.31.820 W123.11.35.906 RVM
                          N049.11.31.820 W123.11.35.906 N049.11.36.319 W123.11.37.995 RVM
                          N049.11.36.319 W123.11.37.995 N049.11.40.998 W123.11.38.701 RVM
                          N049.11.40.998 W123.11.38.701 N049.11.45.677 W123.11.37.997 RVM
                          N049.11.45.677 W123.11.37.997 N049.11.50.177 W123.11.35.909 RVM
                          N049.11.50.177 W123.11.35.909 N049.11.54.324 W123.11.32.518 RVM
                          N049.11.54.324 W123.11.32.518 N049.11.57.958 W123.11.27.954 RVM
                          N049.11.57.958 W123.11.27.954 N049.12.00.941 W123.11.22.392 RVM
                          N049.12.00.941 W123.11.22.392 N049.12.03.158 W123.11.16.047 RVM
                          N049.12.03.158 W123.11.16.047 N049.12.04.523 W123.11.09.161 RVM
                          N049.12.04.523 W123.11.09.161 N049.12.04.984 W123.11.02.000 RVM
                          N049.12.04.984 W123.11.02.000 N049.12.16.976 W123.11.02.000 RVM
                          N049.11.40.998 W123.10.25.299 N049.11.40.996 W123.10.06.948 RVM
                          N049.11.17.016 W123.11.02.000 N049.11.05.024 W123.11.02.000 RVM
                          N049.11.40.998 W123.11.38.701 N049.11.40.996 W123.11.57.052 RVM
    ; CYXX
                          N049.01.54.984 W122.21.48.000 N049.01.54.523 W122.21.40.863 RVM
                          N049.01.54.523 W122.21.40.863 N049.01.53.158 W122.21.34.001 RVM
                          N049.01.53.158 W122.21.34.001 N049.01.50.941 W122.21.27.677 RVM
                          N049.01.50.941 W122.21.27.677 N049.01.47.958 W122.21.22.134 RVM
                          N049.01.47.958 W122.21.22.134 N049.01.44.324 W122.21.17.586 RVM
                          N049.01.44.324 W122.21.17.586 N049.01.40.177 W122.21.14.206 RVM
                          N049.01.40.177 W122.21.14.206 N049.01.35.677 W122.21.12.126 RVM
                          N049.01.35.677 W122.21.12.126 N049.01.30.998 W122.21.11.424 RVM
                          N049.01.30.998 W122.21.11.424 N049.01.26.319 W122.21.12.128 RVM
                          N049.01.26.319 W122.21.12.128 N049.01.21.820 W122.21.14.210 RVM
                          N049.01.21.820 W122.21.14.210 N049.01.17.674 W122.21.17.590 RVM
                          N049.01.17.674 W122.21.17.590 N049.01.14.040 W122.21.22.139 RVM
                          N049.01.14.040 W122.21.22.139 N049.01.11.058 W122.21.27.682 RVM
                          N049.01.11.058 W122.21.27.682 N049.01.08.842 W122.21.34.005 RVM
                          N049.01.08.842 W122.21.34.005 N049.01.07.477 W122.21.40.865 RVM
                          N049.01.07.477 W122.21.40.865 N049.01.07.016 W122.21.48.000 RVM
                          N049.01.07.016 W122.21.48.000 N049.01.07.477 W122.21.55.135 RVM
                          N049.01.07.477 W122.21.55.135 N049.01.08.842 W122.22.01.995 RVM
                          N049.01.08.842 W122.22.01.995 N049.01.11.058 W122.22.08.318 RVM
                          N049.01.11.058 W122.22.08.318 N049.01.14.040 W122.22.13.861 RVM
                          N049.01.14.040 W122.22.13.861 N049.01.17.674 W122.22.18.410 RVM
                          N049.01.17.674 W122.22.18.410 N049.01.21.820 W122.22.21.790 RVM
                          N049.01.21.820 W122.22.21.790 N049.01.26.319 W122.22.23.872 RVM
                          N049.01.26.319 W122.22.23.872 N049.01.30.998 W122.22.24.576 RVM
                          N049.01.30.998 W122.22.24.576 N049.01.35.677 W122.22.23.874 RVM
                          N049.01.35.677 W122.22.23.874 N049.01.40.177 W122.22.21.793 RVM
                          N049.01.40.177 W122.22.21.793 N049.01.44.324 W122.22.18.414 RVM
                          N049.01.44.324 W122.22.18.414 N049.01.47.958 W122.22.13.866 RVM
                          N049.01.47.958 W122.22.13.866 N049.01.50.941 W122.22.08.323 RVM
                          N049.01.50.941 W122.22.08.323 N049.01.53.158 W122.22.01.999 RVM
                          N049.01.53.158 W122.22.01.999 N049.01.54.523 W122.21.55.137 RVM
                          N049.01.54.523 W122.21.55.137 N049.01.54.984 W122.21.48.000 RVM
                          N049.01.54.984 W122.21.48.000 N049.02.06.976 W122.21.48.000 RVM
                          N049.01.30.998 W122.21.11.424 N049.01.30.996 W122.20.53.136 RVM
                          N049.01.07.016 W122.21.48.000 N049.00.55.024 W122.21.48.000 RVM
                          N049.01.30.998 W122.22.24.576 N049.01.30.996 W122.22.42.864 RVM
    ; KPWT
                          N047.29.48.859 W122.45.53.331 N047.29.48.398 W122.45.46.406 RVM
                          N047.29.48.398 W122.45.46.406 N047.29.47.034 W122.45.39.746 RVM
                          N047.29.47.034 W122.45.39.746 N047.29.44.817 W122.45.33.609 RVM
                          N047.29.44.817 W122.45.33.609 N047.29.41.834 W122.45.28.231 RVM
                          N047.29.41.834 W122.45.28.231 N047.29.38.199 W122.45.23.817 RVM
                          N047.29.38.199 W122.45.23.817 N047.29.34.052 W122.45.20.537 RVM
                          N047.29.34.052 W122.45.20.537 N047.29.29.553 W122.45.18.518 RVM
                          N047.29.29.553 W122.45.18.518 N047.29.24.874 W122.45.17.837 RVM
                          N047.29.24.874 W122.45.17.837 N047.29.20.195 W122.45.18.520 RVM
                          N047.29.20.195 W122.45.18.520 N047.29.15.696 W122.45.20.540 RVM
                          N047.29.15.696 W122.45.20.540 N047.29.11.550 W122.45.23.821 RVM
                          N047.29.11.550 W122.45.23.821 N047.29.07.916 W122.45.28.235 RVM
                          N047.29.07.916 W122.45.28.235 N047.29.04.933 W122.45.33.614 RVM
                          N047.29.04.933 W122.45.33.614 N047.29.02.717 W122.45.39.750 RVM
                          N047.29.02.717 W122.45.39.750 N047.29.01.353 W122.45.46.407 RVM
                          N047.29.01.353 W122.45.46.407 N047.29.00.892 W122.45.53.331 RVM
                          N047.29.00.892 W122.45.53.331 N047.29.01.353 W122.46.00.255 RVM
                          N047.29.01.353 W122.46.00.255 N047.29.02.717 W122.46.06.912 RVM
                          N047.29.02.717 W122.46.06.912 N047.29.04.933 W122.46.13.048 RVM
                          N047.29.04.933 W122.46.13.048 N047.29.07.916 W122.46.18.427 RVM
                          N047.29.07.916 W122.46.18.427 N047.29.11.550 W122.46.22.841 RVM
                          N047.29.11.550 W122.46.22.841 N047.29.15.696 W122.46.26.121 RVM
                          N047.29.15.696 W122.46.26.121 N047.29.20.195 W122.46.28.142 RVM
                          N047.29.20.195 W122.46.28.142 N047.29.24.874 W122.46.28.825 RVM
                          N047.29.24.874 W122.46.28.825 N047.29.29.553 W122.46.28.144 RVM
                          N047.29.29.553 W122.46.28.144 N047.29.34.052 W122.46.26.125 RVM
                          N047.29.34.052 W122.46.26.125 N047.29.38.199 W122.46.22.845 RVM
                          N047.29.38.199 W122.46.22.845 N047.29.41.834 W122.46.18.431 RVM
                          N047.29.41.834 W122.46.18.431 N047.29.44.817 W122.46.13.052 RVM
                          N047.29.44.817 W122.46.13.052 N047.29.47.034 W122.46.06.915 RVM
                          N047.29.47.034 W122.46.06.915 N047.29.48.398 W122.46.00.256 RVM
                          N047.29.48.398 W122.46.00.256 N047.29.48.859 W122.45.53.331 RVM
                          N047.29.48.859 W122.45.53.331 N047.30.00.851 W122.45.53.331 RVM
                          N047.29.24.874 W122.45.17.837 N047.29.24.872 W122.45.00.090 RVM
                          N047.29.00.892 W122.45.53.331 N047.28.48.900 W122.45.53.331 RVM
                          N047.29.24.874 W122.46.28.825 N047.29.24.872 W122.46.46.572 RVM
    ; KBFI
                          N047.32.11.984 W122.18.07.100 N047.32.11.523 W122.18.00.169 RVM
                          N047.32.11.523 W122.18.00.169 N047.32.10.158 W122.17.53.505 RVM
                          N047.32.10.158 W122.17.53.505 N047.32.07.941 W122.17.47.364 RVM
                          N047.32.07.941 W122.17.47.364 N047.32.04.958 W122.17.41.981 RVM
                          N047.32.04.958 W122.17.41.981 N047.32.01.324 W122.17.37.563 RVM
                          N047.32.01.324 W122.17.37.563 N047.31.57.177 W122.17.34.281 RVM
                          N047.31.57.177 W122.17.34.281 N047.31.52.678 W122.17.32.261 RVM
                          N047.31.52.678 W122.17.32.261 N047.31.47.998 W122.17.31.579 RVM
                          N047.31.47.998 W122.17.31.579 N047.31.43.320 W122.17.32.263 RVM
                          N047.31.43.320 W122.17.32.263 N047.31.38.820 W122.17.34.285 RVM
                          N047.31.38.820 W122.17.34.285 N047.31.34.674 W122.17.37.568 RVM
                          N047.31.34.674 W122.17.37.568 N047.31.31.040 W122.17.41.985 RVM
                          N047.31.31.040 W122.17.41.985 N047.31.28.058 W122.17.47.368 RVM
                          N047.31.28.058 W122.17.47.368 N047.31.25.842 W122.17.53.508 RVM
                          N047.31.25.842 W122.17.53.508 N047.31.24.477 W122.18.00.171 RVM
                          N047.31.24.477 W122.18.00.171 N047.31.24.016 W122.18.07.100 RVM
                          N047.31.24.016 W122.18.07.100 N047.31.24.477 W122.18.14.029 RVM
                          N047.31.24.477 W122.18.14.029 N047.31.25.842 W122.18.20.692 RVM
                          N047.31.25.842 W122.18.20.692 N047.31.28.058 W122.18.26.832 RVM
                          N047.31.28.058 W122.18.26.832 N047.31.31.040 W122.18.32.215 RVM
                          N047.31.31.040 W122.18.32.215 N047.31.34.674 W122.18.36.632 RVM
                          N047.31.34.674 W122.18.36.632 N047.31.38.820 W122.18.39.915 RVM
                          N047.31.38.820 W122.18.39.915 N047.31.43.320 W122.18.41.937 RVM
                          N047.31.43.320 W122.18.41.937 N047.31.47.998 W122.18.42.621 RVM
                          N047.31.47.998 W122.18.42.621 N047.31.52.678 W122.18.41.939 RVM
                          N047.31.52.678 W122.18.41.939 N047.31.57.177 W122.18.39.919 RVM
                          N047.31.57.177 W122.18.39.919 N047.32.01.324 W122.18.36.637 RVM
                          N047.32.01.324 W122.18.36.637 N047.32.04.958 W122.18.32.219 RVM
                          N047.32.04.958 W122.18.32.219 N047.32.07.941 W122.18.26.836 RVM
                          N047.32.07.941 W122.18.26.836 N047.32.10.158 W122.18.20.695 RVM
                          N047.32.10.158 W122.18.20.695 N047.32.11.523 W122.18.14.031 RVM
                          N047.32.11.523 W122.18.14.031 N047.32.11.984 W122.18.07.100 RVM
                          N047.32.11.984 W122.18.07.100 N047.32.23.976 W122.18.07.100 RVM
                          N047.31.47.998 W122.17.31.579 N047.31.47.997 W122.17.13.819 RVM
                          N047.31.24.016 W122.18.07.100 N047.31.12.024 W122.18.07.100 RVM
                          N047.31.47.998 W122.18.42.621 N047.31.47.997 W122.19.00.381 RVM
    ; KBLI
                          N048.47.57.684 W122.32.15.100 N048.47.57.223 W122.32.07.997 RVM
                          N048.47.57.223 W122.32.07.997 N048.47.55.858 W122.32.01.166 RVM
                          N048.47.55.858 W122.32.01.166 N048.47.53.641 W122.31.54.872 RVM
                          N048.47.53.641 W122.31.54.872 N048.47.50.658 W122.31.49.355 RVM
                          N048.47.50.658 W122.31.49.355 N048.47.47.024 W122.31.44.827 RVM
                          N048.47.47.024 W122.31.44.827 N048.47.42.877 W122.31.41.463 RVM
                          N048.47.42.877 W122.31.41.463 N048.47.38.377 W122.31.39.393 RVM
