((GEG-APP))               N000.00.00.000 E000.00.00.000 N000.00.00.000 E000.00.00.000
                          N047.50.34.638 W116.15.28.793 N047.50.31.655 W116.15.23.378 RVM
                          N047.50.31.655 W116.15.23.378 N047.50.28.021 W116.15.18.935 RVM
                          N047.50.28.021 W116.15.18.935 N047.50.23.874 W116.15.15.633 RVM
                          N047.50.23.874 W116.15.15.633 N047.50.19.375 W116.15.13.601 RVM
                          N047.50.19.375 W116.15.13.601 N047.50.14.695 W116.15.12.915 RVM
                          N047.50.14.695 W116.15.12.915 N047.50.10.016 W116.15.13.603 RVM
                          N047.50.10.016 W116.15.13.603 N047.50.05.517 W116.15.15.637 RVM
                          N047.50.05.517 W116.15.15.637 N047.50.01.371 W116.15.18.939 RVM
                          N047.50.01.371 W116.15.18.939 N047.49.57.737 W116.15.23.383 RVM
                          N047.49.57.737 W116.15.23.383 N047.49.54.755 W116.15.28.797 RVM
                          N047.49.54.755 W116.15.28.797 N047.49.52.539 W116.15.34.974 RVM
                          N047.49.52.539 W116.15.34.974 N047.49.51.174 W116.15.41.676 RVM
                          N047.49.51.174 W116.15.41.676 N047.49.50.713 W116.15.48.646 RVM
                          N047.49.50.713 W116.15.48.646 N047.49.51.174 W116.15.55.616 RVM
                          N047.49.51.174 W116.15.55.616 N047.49.52.539 W116.16.02.318 RVM
                          N047.49.52.539 W116.16.02.318 N047.49.54.755 W116.16.08.495 RVM
                          N047.49.54.755 W116.16.08.495 N047.49.57.737 W116.16.13.909 RVM
                          N047.49.57.737 W116.16.13.909 N047.50.01.371 W116.16.18.353 RVM
                          N047.50.01.371 W116.16.18.353 N047.50.05.517 W116.16.21.655 RVM
                          N047.50.05.517 W116.16.21.655 N047.50.10.016 W116.16.23.689 RVM
                          N047.50.10.016 W116.16.23.689 N047.50.14.695 W116.16.24.377 RVM
                          N047.50.14.695 W116.16.24.377 N047.50.19.375 W116.16.23.691 RVM
                          N047.50.19.375 W116.16.23.691 N047.50.23.874 W116.16.21.659 RVM
                          N047.50.23.874 W116.16.21.659 N047.50.28.021 W116.16.18.357 RVM
                          N047.50.28.021 W116.16.18.357 N047.50.31.655 W116.16.13.914 RVM
                          N047.50.31.655 W116.16.13.914 N047.50.34.638 W116.16.08.499 RVM
                          N047.50.34.638 W116.16.08.499 N047.50.36.855 W116.16.02.321 RVM
                          N047.50.36.855 W116.16.02.321 N047.50.38.220 W116.15.55.618 RVM
                          N047.50.38.220 W116.15.55.618 N047.50.38.681 W116.15.48.646 RVM
                          N047.50.38.681 W116.15.48.646 N047.50.50.673 W116.15.48.646 RVM
                          N047.50.14.695 W116.15.12.915 N047.50.14.694 W116.14.55.050 RVM
                          N047.49.50.713 W116.15.48.646 N047.49.38.721 W116.15.48.646 RVM
                          N047.50.14.695 W116.16.24.377 N047.50.14.694 W116.16.42.242 RVM
    ; 2S8
                          N047.45.39.174 W118.44.35.057 N047.45.38.713 W118.44.28.097 RVM
                          N047.45.38.713 W118.44.28.097 N047.45.37.348 W118.44.21.404 RVM
                          N047.45.37.348 W118.44.21.404 N047.45.35.131 W118.44.15.236 RVM
                          N047.45.35.131 W118.44.15.236 N047.45.32.148 W118.44.09.830 RVM
                          N047.45.32.148 W118.44.09.830 N047.45.28.514 W118.44.05.393 RVM
                          N047.45.28.514 W118.44.05.393 N047.45.24.367 W118.44.02.097 RVM
                          N047.45.24.367 W118.44.02.097 N047.45.19.868 W118.44.00.068 RVM
                          N047.45.19.868 W118.44.00.068 N047.45.15.188 W118.43.59.383 RVM
                          N047.45.15.188 W118.43.59.383 N047.45.10.509 W118.44.00.070 RVM
                          N047.45.10.509 W118.44.00.070 N047.45.06.010 W118.44.02.101 RVM
                          N047.45.06.010 W118.44.02.101 N047.45.01.864 W118.44.05.398 RVM
                          N047.45.01.864 W118.44.05.398 N047.44.58.230 W118.44.09.834 RVM
                          N047.44.58.230 W118.44.09.834 N047.44.55.248 W118.44.15.240 RVM
                          N047.44.55.248 W118.44.15.240 N047.44.53.032 W118.44.21.407 RVM
                          N047.44.53.032 W118.44.21.407 N047.44.51.667 W118.44.28.098 RVM
                          N047.44.51.667 W118.44.28.098 N047.44.51.206 W118.44.35.057 RVM
                          N047.44.51.206 W118.44.35.057 N047.44.51.667 W118.44.42.016 RVM
                          N047.44.51.667 W118.44.42.016 N047.44.53.032 W118.44.48.707 RVM
                          N047.44.53.032 W118.44.48.707 N047.44.55.248 W118.44.54.874 RVM
                          N047.44.55.248 W118.44.54.874 N047.44.58.230 W118.45.00.280 RVM
                          N047.44.58.230 W118.45.00.280 N047.45.01.864 W118.45.04.716 RVM
                          N047.45.01.864 W118.45.04.716 N047.45.06.010 W118.45.08.013 RVM
                          N047.45.06.010 W118.45.08.013 N047.45.10.509 W118.45.10.044 RVM
                          N047.45.10.509 W118.45.10.044 N047.45.15.188 W118.45.10.731 RVM
                          N047.45.15.188 W118.45.10.731 N047.45.19.868 W118.45.10.046 RVM
                          N047.45.19.868 W118.45.10.046 N047.45.24.367 W118.45.08.017 RVM
                          N047.45.24.367 W118.45.08.017 N047.45.28.514 W118.45.04.721 RVM
                          N047.45.28.514 W118.45.04.721 N047.45.32.148 W118.45.00.284 RVM
                          N047.45.32.148 W118.45.00.284 N047.45.35.131 W118.44.54.878 RVM
                          N047.45.35.131 W118.44.54.878 N047.45.37.348 W118.44.48.710 RVM
                          N047.45.37.348 W118.44.48.710 N047.45.38.713 W118.44.42.017 RVM
                          N047.45.38.713 W118.44.42.017 N047.45.39.174 W118.44.35.057 RVM
                          N047.45.39.174 W118.44.35.057 N047.45.51.166 W118.44.35.057 RVM
                          N047.45.15.188 W118.43.59.383 N047.45.15.187 W118.43.41.547 RVM
                          N047.44.51.206 W118.44.35.057 N047.44.39.214 W118.44.35.057 RVM
                          N047.45.15.188 W118.45.10.731 N047.45.15.187 W118.45.28.567 RVM
    ; 43D
                          N047.21.15.232 W118.40.38.044 N047.21.14.771 W118.40.31.137 RVM
                          N047.21.14.771 W118.40.31.137 N047.21.13.406 W118.40.24.496 RVM
                          N047.21.13.406 W118.40.24.496 N047.21.11.189 W118.40.18.376 RVM
                          N047.21.11.189 W118.40.18.376 N047.21.08.206 W118.40.13.012 RVM
                          N047.21.08.206 W118.40.13.012 N047.21.04.572 W118.40.08.610 RVM
                          N047.21.04.572 W118.40.08.610 N047.21.00.425 W118.40.05.339 RVM
                          N047.21.00.425 W118.40.05.339 N047.20.55.926 W118.40.03.325 RVM
                          N047.20.55.926 W118.40.03.325 N047.20.51.246 W118.40.02.646 RVM
                          N047.20.51.246 W118.40.02.646 N047.20.46.568 W118.40.03.327 RVM
                          N047.20.46.568 W118.40.03.327 N047.20.42.069 W118.40.05.342 RVM
                          N047.20.42.069 W118.40.05.342 N047.20.37.922 W118.40.08.614 RVM
                          N047.20.37.922 W118.40.08.614 N047.20.34.288 W118.40.13.016 RVM
                          N047.20.34.288 W118.40.13.016 N047.20.31.306 W118.40.18.380 RVM
                          N047.20.31.306 W118.40.18.380 N047.20.29.090 W118.40.24.499 RVM
                          N047.20.29.090 W118.40.24.499 N047.20.27.725 W118.40.31.139 RVM
                          N047.20.27.725 W118.40.31.139 N047.20.27.264 W118.40.38.044 RVM
                          N047.20.27.264 W118.40.38.044 N047.20.27.725 W118.40.44.949 RVM
                          N047.20.27.725 W118.40.44.949 N047.20.29.090 W118.40.51.589 RVM
                          N047.20.29.090 W118.40.51.589 N047.20.31.306 W118.40.57.708 RVM
                          N047.20.31.306 W118.40.57.708 N047.20.34.288 W118.41.03.072 RVM
                          N047.20.34.288 W118.41.03.072 N047.20.37.922 W118.41.07.474 RVM
                          N047.20.37.922 W118.41.07.474 N047.20.42.069 W118.41.10.746 RVM
                          N047.20.42.069 W118.41.10.746 N047.20.46.568 W118.41.12.761 RVM
                          N047.20.46.568 W118.41.12.761 N047.20.51.246 W118.41.13.442 RVM
                          N047.20.51.246 W118.41.13.442 N047.20.55.926 W118.41.12.763 RVM
                          N047.20.55.926 W118.41.12.763 N047.21.00.425 W118.41.10.749 RVM
                          N047.21.00.425 W118.41.10.749 N047.21.04.572 W118.41.07.478 RVM
                          N047.21.04.572 W118.41.07.478 N047.21.08.206 W118.41.03.076 RVM
                          N047.21.08.206 W118.41.03.076 N047.21.11.189 W118.40.57.712 RVM
                          N047.21.11.189 W118.40.57.712 N047.21.13.406 W118.40.51.592 RVM
                          N047.21.13.406 W118.40.51.592 N047.21.14.771 W118.40.44.951 RVM
                          N047.21.14.771 W118.40.44.951 N047.21.15.232 W118.40.38.044 RVM
                          N047.21.15.232 W118.40.38.044 N047.21.27.224 W118.40.38.044 RVM
                          N047.20.51.246 W118.40.02.646 N047.20.51.245 W118.39.44.947 RVM
                          N047.20.27.264 W118.40.38.044 N047.20.15.272 W118.40.38.044 RVM
                          N047.20.51.246 W118.41.13.442 N047.20.51.245 W118.41.31.141 RVM
    ; 33S
                          N047.07.47.542 W118.23.22.262 N047.07.47.081 W118.23.15.385 RVM
                          N047.07.47.081 W118.23.15.385 N047.07.45.716 W118.23.08.771 RVM
                          N047.07.45.716 W118.23.08.771 N047.07.43.499 W118.23.02.677 RVM
                          N047.07.43.499 W118.23.02.677 N047.07.40.516 W118.22.57.335 RVM
                          N047.07.40.516 W118.22.57.335 N047.07.36.882 W118.22.52.952 RVM
                          N047.07.36.882 W118.22.52.952 N047.07.32.735 W118.22.49.695 RVM
                          N047.07.32.735 W118.22.49.695 N047.07.28.236 W118.22.47.690 RVM
                          N047.07.28.236 W118.22.47.690 N047.07.23.557 W118.22.47.014 RVM
                          N047.07.23.557 W118.22.47.014 N047.07.18.878 W118.22.47.692 RVM
                          N047.07.18.878 W118.22.47.692 N047.07.14.379 W118.22.49.698 RVM
                          N047.07.14.379 W118.22.49.698 N047.07.10.232 W118.22.52.956 RVM
                          N047.07.10.232 W118.22.52.956 N047.07.06.598 W118.22.57.340 RVM
                          N047.07.06.598 W118.22.57.340 N047.07.03.616 W118.23.02.681 RVM
                          N047.07.03.616 W118.23.02.681 N047.07.01.400 W118.23.08.775 RVM
                          N047.07.01.400 W118.23.08.775 N047.07.00.035 W118.23.15.386 RVM
                          N047.07.00.035 W118.23.15.386 N047.06.59.574 W118.23.22.262 RVM
                          N047.06.59.574 W118.23.22.262 N047.07.00.035 W118.23.29.138 RVM
                          N047.07.00.035 W118.23.29.138 N047.07.01.400 W118.23.35.749 RVM
                          N047.07.01.400 W118.23.35.749 N047.07.03.616 W118.23.41.843 RVM
                          N047.07.03.616 W118.23.41.843 N047.07.06.598 W118.23.47.184 RVM
                          N047.07.06.598 W118.23.47.184 N047.07.10.232 W118.23.51.568 RVM
                          N047.07.10.232 W118.23.51.568 N047.07.14.379 W118.23.54.826 RVM
                          N047.07.14.379 W118.23.54.826 N047.07.18.878 W118.23.56.832 RVM
                          N047.07.18.878 W118.23.56.832 N047.07.23.557 W118.23.57.510 RVM
                          N047.07.23.557 W118.23.57.510 N047.07.28.236 W118.23.56.834 RVM
                          N047.07.28.236 W118.23.56.834 N047.07.32.735 W118.23.54.829 RVM
                          N047.07.32.735 W118.23.54.829 N047.07.36.882 W118.23.51.572 RVM
                          N047.07.36.882 W118.23.51.572 N047.07.40.516 W118.23.47.189 RVM
                          N047.07.40.516 W118.23.47.189 N047.07.43.499 W118.23.41.847 RVM
                          N047.07.43.499 W118.23.41.847 N047.07.45.716 W118.23.35.752 RVM
                          N047.07.45.716 W118.23.35.752 N047.07.47.081 W118.23.29.139 RVM
                          N047.07.47.081 W118.23.29.139 N047.07.47.542 W118.23.22.262 RVM
                          N047.07.47.542 W118.23.22.262 N047.07.59.534 W118.23.22.262 RVM
                          N047.07.23.557 W118.22.47.014 N047.07.23.555 W118.22.29.390 RVM
                          N047.06.59.574 W118.23.22.262 N047.06.47.582 W118.23.22.262 RVM
                          N047.07.23.557 W118.23.57.510 N047.07.23.555 W118.24.15.134 RVM
    ; S94
                          N046.51.55.330 W117.24.50.692 N046.51.54.869 W117.24.43.849 RVM
                          N046.51.54.869 W117.24.43.849 N046.51.53.504 W117.24.37.268 RVM
                          N046.51.53.504 W117.24.37.268 N046.51.51.287 W117.24.31.204 RVM
                          N046.51.51.287 W117.24.31.204 N046.51.48.304 W117.24.25.889 RVM
                          N046.51.48.304 W117.24.25.889 N046.51.44.670 W117.24.21.527 RVM
                          N046.51.44.670 W117.24.21.527 N046.51.40.523 W117.24.18.286 RVM
                          N046.51.40.523 W117.24.18.286 N046.51.36.024 W117.24.16.291 RVM
                          N046.51.36.024 W117.24.16.291 N046.51.31.345 W117.24.15.618 RVM
                          N046.51.31.345 W117.24.15.618 N046.51.26.666 W117.24.16.292 RVM
                          N046.51.26.666 W117.24.16.292 N046.51.22.167 W117.24.18.289 RVM
                          N046.51.22.167 W117.24.18.289 N046.51.18.020 W117.24.21.531 RVM
                          N046.51.18.020 W117.24.21.531 N046.51.14.386 W117.24.25.893 RVM
                          N046.51.14.386 W117.24.25.893 N046.51.11.404 W117.24.31.208 RVM
                          N046.51.11.404 W117.24.31.208 N046.51.09.188 W117.24.37.271 RVM
                          N046.51.09.188 W117.24.37.271 N046.51.07.823 W117.24.43.850 RVM
                          N046.51.07.823 W117.24.43.850 N046.51.07.362 W117.24.50.692 RVM
                          N046.51.07.362 W117.24.50.692 N046.51.07.823 W117.24.57.534 RVM
                          N046.51.07.823 W117.24.57.534 N046.51.09.188 W117.25.04.113 RVM
                          N046.51.09.188 W117.25.04.113 N046.51.11.404 W117.25.10.176 RVM
                          N046.51.11.404 W117.25.10.176 N046.51.14.386 W117.25.15.491 RVM
                          N046.51.14.386 W117.25.15.491 N046.51.18.020 W117.25.19.853 RVM
                          N046.51.18.020 W117.25.19.853 N046.51.22.167 W117.25.23.095 RVM
                          N046.51.22.167 W117.25.23.095 N046.51.26.666 W117.25.25.092 RVM
                          N046.51.26.666 W117.25.25.092 N046.51.31.345 W117.25.25.766 RVM
                          N046.51.31.345 W117.25.25.766 N046.51.36.024 W117.25.25.093 RVM
                          N046.51.36.024 W117.25.25.093 N046.51.40.523 W117.25.23.098 RVM
                          N046.51.40.523 W117.25.23.098 N046.51.44.670 W117.25.19.857 RVM
                          N046.51.44.670 W117.25.19.857 N046.51.48.304 W117.25.15.495 RVM
                          N046.51.48.304 W117.25.15.495 N046.51.51.287 W117.25.10.180 RVM
                          N046.51.51.287 W117.25.10.180 N046.51.53.504 W117.25.04.116 RVM
                          N046.51.53.504 W117.25.04.116 N046.51.54.869 W117.24.57.535 RVM
                          N046.51.54.869 W117.24.57.535 N046.51.55.330 W117.24.50.692 RVM
                          N046.51.55.330 W117.24.50.692 N046.52.07.322 W117.24.50.692 RVM
                          N046.51.31.345 W117.24.15.618 N046.51.31.343 W117.23.58.081 RVM
                          N046.51.07.362 W117.24.50.692 N046.50.55.370 W117.24.50.692 RVM
                          N046.51.31.345 W117.25.25.766 N046.51.31.343 W117.25.43.303 RVM
    ; S72
                          N047.20.03.658 W116.34.38.606 N047.20.03.197 W116.34.31.702 RVM
                          N047.20.03.197 W116.34.31.702 N047.20.01.832 W116.34.25.063 RVM
                          N047.20.01.832 W116.34.25.063 N047.19.59.615 W116.34.18.945 RVM
                          N047.19.59.615 W116.34.18.945 N047.19.56.632 W116.34.13.583 RVM
                          N047.19.56.632 W116.34.13.583 N047.19.52.998 W116.34.09.183 RVM
                          N047.19.52.998 W116.34.09.183 N047.19.48.851 W116.34.05.913 RVM
                          N047.19.48.851 W116.34.05.913 N047.19.44.352 W116.34.03.901 RVM
                          N047.19.44.352 W116.34.03.901 N047.19.39.672 W116.34.03.221 RVM
                          N047.19.39.672 W116.34.03.221 N047.19.34.994 W116.34.03.902 RVM
                          N047.19.34.994 W116.34.03.902 N047.19.30.494 W116.34.05.917 RVM
                          N047.19.30.494 W116.34.05.917 N047.19.26.348 W116.34.09.187 RVM
                          N047.19.26.348 W116.34.09.187 N047.19.22.714 W116.34.13.588 RVM
                          N047.19.22.714 W116.34.13.588 N047.19.19.732 W116.34.18.949 RVM
                          N047.19.19.732 W116.34.18.949 N047.19.17.516 W116.34.25.067 RVM
                          N047.19.17.516 W116.34.25.067 N047.19.16.151 W116.34.31.704 RVM
                          N047.19.16.151 W116.34.31.704 N047.19.15.690 W116.34.38.606 RVM
                          N047.19.15.690 W116.34.38.606 N047.19.16.151 W116.34.45.508 RVM
                          N047.19.16.151 W116.34.45.508 N047.19.17.516 W116.34.52.146 RVM
                          N047.19.17.516 W116.34.52.146 N047.19.19.732 W116.34.58.263 RVM
                          N047.19.19.732 W116.34.58.263 N047.19.22.714 W116.35.03.624 RVM
                          N047.19.22.714 W116.35.03.624 N047.19.26.348 W116.35.08.025 RVM
                          N047.19.26.348 W116.35.08.025 N047.19.30.494 W116.35.11.295 RVM
                          N047.19.30.494 W116.35.11.295 N047.19.34.994 W116.35.13.310 RVM
                          N047.19.34.994 W116.35.13.310 N047.19.39.672 W116.35.13.991 RVM
                          N047.19.39.672 W116.35.13.991 N047.19.44.352 W116.35.13.312 RVM
                          N047.19.44.352 W116.35.13.312 N047.19.48.851 W116.35.11.299 RVM
                          N047.19.48.851 W116.35.11.299 N047.19.52.998 W116.35.08.029 RVM
                          N047.19.52.998 W116.35.08.029 N047.19.56.632 W116.35.03.629 RVM
                          N047.19.56.632 W116.35.03.629 N047.19.59.615 W116.34.58.267 RVM
                          N047.19.59.615 W116.34.58.267 N047.20.01.832 W116.34.52.149 RVM
                          N047.20.01.832 W116.34.52.149 N047.20.03.197 W116.34.45.510 RVM
                          N047.20.03.197 W116.34.45.510 N047.20.03.658 W116.34.38.606 RVM
                          N047.20.03.658 W116.34.38.606 N047.20.15.650 W116.34.38.606 RVM
                          N047.19.39.672 W116.34.03.221 N047.19.39.671 W116.33.45.529 RVM
                          N047.19.15.690 W116.34.38.606 N047.19.03.698 W116.34.38.606 RVM
                          N047.19.39.672 W116.35.13.991 N047.19.39.671 W116.35.31.683 RVM
    ; 1S6
                          N048.11.48.654 W116.54.33.712 N048.11.48.193 W116.54.26.693 RVM
                          N048.11.48.193 W116.54.26.693 N048.11.46.828 W116.54.19.943 RVM
                          N048.11.46.828 W116.54.19.943 N048.11.44.611 W116.54.13.723 RVM
                          N048.11.44.611 W116.54.13.723 N048.11.41.628 W116.54.08.271 RVM
                          N048.11.41.628 W116.54.08.271 N048.11.37.994 W116.54.03.797 RVM
                          N048.11.37.994 W116.54.03.797 N048.11.33.847 W116.54.00.473 RVM
                          N048.11.33.847 W116.54.00.473 N048.11.29.348 W116.53.58.426 RVM
                          N048.11.29.348 W116.53.58.426 N048.11.24.668 W116.53.57.736 RVM
                          N048.11.24.668 W116.53.57.736 N048.11.19.989 W116.53.58.428 RVM
                          N048.11.19.989 W116.53.58.428 N048.11.15.490 W116.54.00.476 RVM
                          N048.11.15.490 W116.54.00.476 N048.11.11.344 W116.54.03.801 RVM
                          N048.11.11.344 W116.54.03.801 N048.11.07.710 W116.54.08.275 RVM
                          N048.11.07.710 W116.54.08.275 N048.11.04.728 W116.54.13.727 RVM
                          N048.11.04.728 W116.54.13.727 N048.11.02.512 W116.54.19.946 RVM
                          N048.11.02.512 W116.54.19.946 N048.11.01.147 W116.54.26.694 RVM
                          N048.11.01.147 W116.54.26.694 N048.11.00.686 W116.54.33.712 RVM
                          N048.11.00.686 W116.54.33.712 N048.11.01.147 W116.54.40.730 RVM
                          N048.11.01.147 W116.54.40.730 N048.11.02.512 W116.54.47.478 RVM
                          N048.11.02.512 W116.54.47.478 N048.11.04.728 W116.54.53.697 RVM
                          N048.11.04.728 W116.54.53.697 N048.11.07.710 W116.54.59.149 RVM
                          N048.11.07.710 W116.54.59.149 N048.11.11.344 W116.55.03.623 RVM
                          N048.11.11.344 W116.55.03.623 N048.11.15.490 W116.55.06.948 RVM
                          N048.11.15.490 W116.55.06.948 N048.11.19.989 W116.55.08.996 RVM
                          N048.11.19.989 W116.55.08.996 N048.11.24.668 W116.55.09.688 RVM
                          N048.11.24.668 W116.55.09.688 N048.11.29.348 W116.55.08.998 RVM
                          N048.11.29.348 W116.55.08.998 N048.11.33.847 W116.55.06.951 RVM
                          N048.11.33.847 W116.55.06.951 N048.11.37.994 W116.55.03.627 RVM
                          N048.11.37.994 W116.55.03.627 N048.11.41.628 W116.54.59.153 RVM
                          N048.11.41.628 W116.54.59.153 N048.11.44.611 W116.54.53.701 RVM
                          N048.11.44.611 W116.54.53.701 N048.11.46.828 W116.54.47.481 RVM
                          N048.11.46.828 W116.54.47.481 N048.11.48.193 W116.54.40.731 RVM
                          N048.11.48.193 W116.54.40.731 N048.11.48.654 W116.54.33.712 RVM
                          N048.11.48.654 W116.54.33.712 N048.12.00.646 W116.54.33.712 RVM
                          N048.11.24.668 W116.53.57.736 N048.11.24.666 W116.53.39.748 RVM
                          N048.11.00.686 W116.54.33.712 N048.10.48.694 W116.54.33.712 RVM
                          N048.11.24.668 W116.55.09.688 N048.11.24.666 W116.55.27.676 RVM
    ; 1S9
                          N048.19.14.673 W117.44.36.205 N048.19.14.212 W117.44.29.169 RVM
                          N048.19.14.212 W117.44.29.169 N048.19.12.847 W117.44.22.403 RVM
                          N048.19.12.847 W117.44.22.403 N048.19.10.630 W117.44.16.167 RVM
                          N048.19.10.630 W117.44.16.167 N048.19.07.647 W117.44.10.702 RVM
                          N048.19.07.647 W117.44.10.702 N048.19.04.013 W117.44.06.217 RVM
                          N048.19.04.013 W117.44.06.217 N048.18.59.866 W117.44.02.885 RVM
                          N048.18.59.866 W117.44.02.885 N048.18.55.367 W117.44.00.834 RVM
                          N048.18.55.367 W117.44.00.834 N048.18.50.687 W117.44.00.142 RVM
                          N048.18.50.687 W117.44.00.142 N048.18.46.008 W117.44.00.836 RVM
                          N048.18.46.008 W117.44.00.836 N048.18.41.509 W117.44.02.889 RVM
                          N048.18.41.509 W117.44.02.889 N048.18.37.363 W117.44.06.222 RVM
                          N048.18.37.363 W117.44.06.222 N048.18.33.729 W117.44.10.707 RVM
                          N048.18.33.729 W117.44.10.707 N048.18.30.747 W117.44.16.171 RVM
                          N048.18.30.747 W117.44.16.171 N048.18.28.531 W117.44.22.406 RVM
                          N048.18.28.531 W117.44.22.406 N048.18.27.166 W117.44.29.170 RVM
                          N048.18.27.166 W117.44.29.170 N048.18.26.705 W117.44.36.205 RVM
                          N048.18.26.705 W117.44.36.205 N048.18.27.166 W117.44.43.240 RVM
                          N048.18.27.166 W117.44.43.240 N048.18.28.531 W117.44.50.004 RVM
                          N048.18.28.531 W117.44.50.004 N048.18.30.747 W117.44.56.239 RVM
                          N048.18.30.747 W117.44.56.239 N048.18.33.729 W117.45.01.703 RVM
                          N048.18.33.729 W117.45.01.703 N048.18.37.363 W117.45.06.188 RVM
                          N048.18.37.363 W117.45.06.188 N048.18.41.509 W117.45.09.522 RVM
                          N048.18.41.509 W117.45.09.522 N048.18.46.008 W117.45.11.574 RVM
                          N048.18.46.008 W117.45.11.574 N048.18.50.687 W117.45.12.268 RVM
                          N048.18.50.687 W117.45.12.268 N048.18.55.367 W117.45.11.576 RVM
                          N048.18.55.367 W117.45.11.576 N048.18.59.866 W117.45.09.525 RVM
                          N048.18.59.866 W117.45.09.525 N048.19.04.013 W117.45.06.193 RVM
                          N048.19.04.013 W117.45.06.193 N048.19.07.647 W117.45.01.708 RVM
                          N048.19.07.647 W117.45.01.708 N048.19.10.630 W117.44.56.243 RVM
                          N048.19.10.630 W117.44.56.243 N048.19.12.847 W117.44.50.008 RVM
                          N048.19.12.847 W117.44.50.008 N048.19.14.212 W117.44.43.242 RVM
                          N048.19.14.212 W117.44.43.242 N048.19.14.673 W117.44.36.205 RVM
                          N048.19.14.673 W117.44.36.205 N048.19.26.665 W117.44.36.205 RVM
                          N048.18.50.687 W117.44.00.142 N048.18.50.685 W117.43.42.110 RVM
                          N048.18.26.705 W117.44.36.205 N048.18.14.713 W117.44.36.205 RVM
                          N048.18.50.687 W117.45.12.268 N048.18.50.685 W117.45.30.300 RVM
    ; 73S
                          N047.14.31.906 W117.02.37.499 N047.14.31.445 W117.02.30.607 RVM
                          N047.14.31.445 W117.02.30.607 N047.14.30.080 W117.02.23.980 RVM
                          N047.14.30.080 W117.02.23.980 N047.14.27.863 W117.02.17.873 RVM
                          N047.14.27.863 W117.02.17.873 N047.14.24.880 W117.02.12.520 RVM
                          N047.14.24.880 W117.02.12.520 N047.14.21.246 W117.02.08.127 RVM
                          N047.14.21.246 W117.02.08.127 N047.14.17.099 W117.02.04.863 RVM
                          N047.14.17.099 W117.02.04.863 N047.14.12.600 W117.02.02.854 RVM
                          N047.14.12.600 W117.02.02.854 N047.14.07.920 W117.02.02.176 RVM
                          N047.14.07.920 W117.02.02.176 N047.14.03.242 W117.02.02.856 RVM
                          N047.14.03.242 W117.02.02.856 N047.13.58.743 W117.02.04.866 RVM
                          N047.13.58.743 W117.02.04.866 N047.13.54.596 W117.02.08.131 RVM
                          N047.13.54.596 W117.02.08.131 N047.13.50.962 W117.02.12.524 RVM
                          N047.13.50.962 W117.02.12.524 N047.13.47.980 W117.02.17.877 RVM
                          N047.13.47.980 W117.02.17.877 N047.13.45.764 W117.02.23.983 RVM
                          N047.13.45.764 W117.02.23.983 N047.13.44.399 W117.02.30.609 RVM
                          N047.13.44.399 W117.02.30.609 N047.13.43.938 W117.02.37.499 RVM
                          N047.13.43.938 W117.02.37.499 N047.13.44.399 W117.02.44.389 RVM
                          N047.13.44.399 W117.02.44.389 N047.13.45.764 W117.02.51.015 RVM
                          N047.13.45.764 W117.02.51.015 N047.13.47.980 W117.02.57.121 RVM
                          N047.13.47.980 W117.02.57.121 N047.13.50.962 W117.03.02.474 RVM
                          N047.13.50.962 W117.03.02.474 N047.13.54.596 W117.03.06.867 RVM
                          N047.13.54.596 W117.03.06.867 N047.13.58.743 W117.03.10.132 RVM
                          N047.13.58.743 W117.03.10.132 N047.14.03.242 W117.03.12.142 RVM
                          N047.14.03.242 W117.03.12.142 N047.14.07.920 W117.03.12.822 RVM
                          N047.14.07.920 W117.03.12.822 N047.14.12.600 W117.03.12.144 RVM
                          N047.14.12.600 W117.03.12.144 N047.14.17.099 W117.03.10.135 RVM
                          N047.14.17.099 W117.03.10.135 N047.14.21.246 W117.03.06.871 RVM
                          N047.14.21.246 W117.03.06.871 N047.14.24.880 W117.03.02.478 RVM
                          N047.14.24.880 W117.03.02.478 N047.14.27.863 W117.02.57.125 RVM
                          N047.14.27.863 W117.02.57.125 N047.14.30.080 W117.02.51.018 RVM
                          N047.14.30.080 W117.02.51.018 N047.14.31.445 W117.02.44.391 RVM
                          N047.14.31.445 W117.02.44.391 N047.14.31.906 W117.02.37.499 RVM
                          N047.14.31.906 W117.02.37.499 N047.14.43.898 W117.02.37.499 RVM
                          N047.14.07.920 W117.02.02.176 N047.14.07.919 W117.01.44.515 RVM
                          N047.13.43.938 W117.02.37.499 N047.13.31.946 W117.02.37.499 RVM
                          N047.14.07.920 W117.03.12.822 N047.14.07.919 W117.03.30.483 RVM
    ; S76
                          N047.40.43.643 W116.47.09.679 N047.40.43.182 W116.47.02.729 RVM
                          N047.40.43.182 W116.47.02.729 N047.40.41.817 W116.46.56.047 RVM
                          N047.40.41.817 W116.46.56.047 N047.40.39.600 W116.46.49.889 RVM
                          N047.40.39.600 W116.46.49.889 N047.40.36.617 W116.46.44.491 RVM
                          N047.40.36.617 W116.46.44.491 N047.40.32.983 W116.46.40.062 RVM
                          N047.40.32.983 W116.46.40.062 N047.40.28.836 W116.46.36.771 RVM
                          N047.40.28.836 W116.46.36.771 N047.40.24.337 W116.46.34.745 RVM
                          N047.40.24.337 W116.46.34.745 N047.40.19.657 W116.46.34.062 RVM
                          N047.40.19.657 W116.46.34.062 N047.40.14.979 W116.46.34.747 RVM
