((EUG-APP))               N000.00.00.000 E000.00.00.000 N000.00.00.000 E000.00.00.000
                          N044.32.11.426 W122.55.46.321 N044.32.10.965 W122.55.39.757 RVM 
                          N044.32.10.965 W122.55.39.757 N044.32.09.600 W122.55.33.445 RVM 
                          N044.32.09.600 W122.55.33.445 N044.32.07.383 W122.55.27.628 RVM 
                          N044.32.07.383 W122.55.27.628 N044.32.04.400 W122.55.22.530 RVM 
                          N044.32.04.400 W122.55.22.530 N044.32.00.766 W122.55.18.346 RVM 
                          N044.32.00.766 W122.55.18.346 N044.31.56.619 W122.55.15.237 RVM 
                          N044.31.56.619 W122.55.15.237 N044.31.52.120 W122.55.13.323 RVM 
                          N044.31.52.120 W122.55.13.323 N044.31.47.441 W122.55.12.678 RVM 
                          N044.31.47.441 W122.55.12.678 N044.31.42.762 W122.55.13.325 RVM 
                          N044.31.42.762 W122.55.13.325 N044.31.38.263 W122.55.15.240 RVM 
                          N044.31.38.263 W122.55.15.240 N044.31.34.116 W122.55.18.349 RVM 
                          N044.31.34.116 W122.55.18.349 N044.31.30.482 W122.55.22.534 RVM 
                          N044.31.30.482 W122.55.22.534 N044.31.27.500 W122.55.27.632 RVM 
                          N044.31.27.500 W122.55.27.632 N044.31.25.284 W122.55.33.448 RVM 
                          N044.31.25.284 W122.55.33.448 N044.31.23.919 W122.55.39.758 RVM 
                          N044.31.23.919 W122.55.39.758 N044.31.23.458 W122.55.46.321 RVM 
                          N044.31.23.458 W122.55.46.321 N044.31.23.919 W122.55.52.884 RVM 
                          N044.31.23.919 W122.55.52.884 N044.31.25.284 W122.55.59.194 RVM 
                          N044.31.25.284 W122.55.59.194 N044.31.27.500 W122.56.05.010 RVM 
                          N044.31.27.500 W122.56.05.010 N044.31.30.482 W122.56.10.108 RVM 
                          N044.31.30.482 W122.56.10.108 N044.31.34.116 W122.56.14.293 RVM 
                          N044.31.34.116 W122.56.14.293 N044.31.38.263 W122.56.17.402 RVM 
                          N044.31.38.263 W122.56.17.402 N044.31.42.762 W122.56.19.317 RVM 
                          N044.31.42.762 W122.56.19.317 N044.31.47.441 W122.56.19.964 RVM 
                          N044.31.47.441 W122.56.19.964 N044.31.52.120 W122.56.19.319 RVM 
                          N044.31.52.120 W122.56.19.319 N044.31.56.619 W122.56.17.405 RVM 
                          N044.31.56.619 W122.56.17.405 N044.32.00.766 W122.56.14.296 RVM 
                          N044.32.00.766 W122.56.14.296 N044.32.04.400 W122.56.10.112 RVM 
                          N044.32.04.400 W122.56.10.112 N044.32.07.383 W122.56.05.014 RVM 
                          N044.32.07.383 W122.56.05.014 N044.32.09.600 W122.55.59.197 RVM 
                          N044.32.09.600 W122.55.59.197 N044.32.10.965 W122.55.52.885 RVM 
                          N044.32.10.965 W122.55.52.885 N044.32.11.426 W122.55.46.321 RVM 
                          N044.32.11.426 W122.55.46.321 N044.32.23.418 W122.55.46.321 RVM 
                          N044.31.47.441 W122.55.12.678 N044.31.47.439 W122.54.55.856 RVM 
                          N044.31.23.458 W122.55.46.321 N044.31.11.466 W122.55.46.321 RVM 
                          N044.31.47.441 W122.56.19.964 N044.31.47.439 W122.56.36.786 RVM 
    ; OR78                                                     
                          N044.16.43.430 W123.03.39.319 N044.16.42.969 W123.03.32.784 RVM 
                          N044.16.42.969 W123.03.32.784 N044.16.41.604 W123.03.26.500 RVM 
                          N044.16.41.604 W123.03.26.500 N044.16.39.387 W123.03.20.708 RVM 
                          N044.16.39.387 W123.03.20.708 N044.16.36.404 W123.03.15.632 RVM 
                          N044.16.36.404 W123.03.15.632 N044.16.32.770 W123.03.11.467 RVM 
                          N044.16.32.770 W123.03.11.467 N044.16.28.623 W123.03.08.372 RVM 
                          N044.16.28.623 W123.03.08.372 N044.16.24.124 W123.03.06.466 RVM 
                          N044.16.24.124 W123.03.06.466 N044.16.19.445 W123.03.05.824 RVM 
                          N044.16.19.445 W123.03.05.824 N044.16.14.766 W123.03.06.468 RVM 
                          N044.16.14.766 W123.03.06.468 N044.16.10.267 W123.03.08.375 RVM 
                          N044.16.10.267 W123.03.08.375 N044.16.06.120 W123.03.11.470 RVM 
                          N044.16.06.120 W123.03.11.470 N044.16.02.486 W123.03.15.636 RVM 
                          N044.16.02.486 W123.03.15.636 N044.15.59.504 W123.03.20.712 RVM 
                          N044.15.59.504 W123.03.20.712 N044.15.57.288 W123.03.26.502 RVM 
                          N044.15.57.288 W123.03.26.502 N044.15.55.923 W123.03.32.785 RVM 
                          N044.15.55.923 W123.03.32.785 N044.15.55.462 W123.03.39.319 RVM 
                          N044.15.55.462 W123.03.39.319 N044.15.55.923 W123.03.45.853 RVM 
                          N044.15.55.923 W123.03.45.853 N044.15.57.288 W123.03.52.136 RVM 
                          N044.15.57.288 W123.03.52.136 N044.15.59.504 W123.03.57.926 RVM 
                          N044.15.59.504 W123.03.57.926 N044.16.02.486 W123.04.03.002 RVM 
                          N044.16.02.486 W123.04.03.002 N044.16.06.120 W123.04.07.168 RVM 
                          N044.16.06.120 W123.04.07.168 N044.16.10.267 W123.04.10.263 RVM 
                          N044.16.10.267 W123.04.10.263 N044.16.14.766 W123.04.12.170 RVM 
                          N044.16.14.766 W123.04.12.170 N044.16.19.445 W123.04.12.814 RVM 
                          N044.16.19.445 W123.04.12.814 N044.16.24.124 W123.04.12.171 RVM 
                          N044.16.24.124 W123.04.12.171 N044.16.28.623 W123.04.10.266 RVM 
                          N044.16.28.623 W123.04.10.266 N044.16.32.770 W123.04.07.171 RVM 
                          N044.16.32.770 W123.04.07.171 N044.16.36.404 W123.04.03.006 RVM 
                          N044.16.36.404 W123.04.03.006 N044.16.39.387 W123.03.57.930 RVM 
