SEA_GLASR                 N000.00.00.000 W000.00.00.000 N000.00.00.000 W000.00.00.000
                          N047.27.24.851 W115.38.45.762 N047.43.47.620 W119.29.03.790
                          N047.43.47.620 W119.29.03.790 N047.49.40.390 W120.47.54.880
                          N047.49.40.390 W120.47.54.880 N047.51.15.400 W121.11.34.090
                          N049.33.17.949 W116.05.15.730 N048.57.28.820 W118.00.00.030
                          N048.57.28.820 W118.00.00.030 N048.11.41.690 W120.14.54.790
                          N048.11.41.690 W120.14.54.790 N048.04.38.900 W120.34.40.720
                          N048.04.38.900 W120.34.40.720 N047.51.15.400 W121.11.34.090
                          N047.51.15.400 W121.11.34.090 N047.53.11.210 W121.42.13.380
                          N047.53.11.210 W121.42.13.380 N047.46.07.460 W121.51.47.700
                          N047.46.07.460 W121.51.47.700 N047.33.32.570 W122.08.41.860
