Map 2- ILS Finals         N000.00.00.000 E000.00.00.000 N000.00.00.000 E000.00.00.000
                          N043.23.26.893 W124.18.45.237 N043.23.30.176 W124.18.48.750 
                          N043.23.30.176 W124.18.48.750 N043.23.33.694 W124.18.51.804 
                          N043.23.33.694 W124.18.51.804 N043.23.37.413 W124.18.54.369 
                          N043.23.37.413 W124.18.54.369 N043.23.41.296 W124.18.56.419 
                          N043.23.41.296 W124.18.56.419 N043.23.45.307 W124.18.57.936 
                          N043.23.45.307 W124.18.57.936 N043.23.49.407 W124.18.58.905 
                          N043.23.49.407 W124.18.58.905 N043.23.53.555 W124.18.59.316 
                          N043.23.53.555 W124.18.59.316 N043.23.57.713 W124.18.59.166 
                          N043.23.57.713 W124.18.59.166 N043.24.01.841 W124.18.58.455 
                          N043.24.01.841 W124.18.58.455 N043.24.05.898 W124.18.57.191 
                          N043.24.05.873 W124.18.57.200 N043.24.04.562 W124.18.51.767 
                          N043.24.04.562 W124.18.51.767 N043.24.02.869 W124.18.46.538 
                          N043.24.02.869 W124.18.46.538 N043.24.00.812 W124.18.41.562 
                          N043.24.00.812 W124.18.41.562 N043.23.58.411 W124.18.36.887 
                          N043.23.58.411 W124.18.36.887 N043.23.55.689 W124.18.32.559 
                          N043.23.55.689 W124.18.32.559 N043.23.52.671 W124.18.28.620 
                          N043.23.52.671 W124.18.28.620 N043.23.49.387 W124.18.25.106 
                          N043.23.49.387 W124.18.25.106 N043.23.45.869 W124.18.22.053 
                          N043.23.45.869 W124.18.22.053 N043.23.42.150 W124.18.19.488 
                          N043.23.42.150 W124.18.19.488 N043.23.38.266 W124.18.17.438 
                          N043.23.38.266 W124.18.17.438 N043.23.34.255 W124.18.15.922 
                          N043.23.34.255 W124.18.15.922 N043.23.30.156 W124.18.14.954 
                          N043.23.30.156 W124.18.14.954 N043.23.26.007 W124.18.14.544 
                          N043.23.26.007 W124.18.14.544 N043.23.21.849 W124.18.14.695 
                          N043.23.21.849 W124.18.14.695 N043.23.17.722 W124.18.15.407 
                          N043.23.17.722 W124.18.15.407 N043.23.13.665 W124.18.16.671 
                          N044.35.12.635 W124.03.33.738 N044.34.19.390 W124.03.30.257 
                          N044.34.19.390 W124.03.30.257 N044.35.12.635 W124.03.33.738 
                          N044.34.43.449 W124.03.34.727 N044.35.07.008 W124.03.09.590 
                          N044.35.07.008 W124.03.09.590 N044.34.43.449 W124.03.34.727 
    ; KONP 16 centerline                                   
                          N044.41.33.482 W124.03.58.684 N044.42.33.376 W124.04.02.616 
                          N044.43.33.271 W124.04.06.550 N044.44.33.165 W124.04.10.486 
                          N044.45.33.059 W124.04.14.424 N044.46.32.953 W124.04.18.365 
                          N044.47.32.848 W124.04.22.308 N044.48.32.742 W124.04.26.253 
                          N044.49.32.636 W124.04.30.200 N044.50.32.530 W124.04.34.150 
                          N044.51.32.424 W124.04.38.102 N044.52.32.318 W124.04.42.056 
                          N044.53.32.212 W124.04.46.013 N044.54.32.106 W124.04.49.971 
    ; KONP 16 center cross at BOILR                        
                          N044.50.28.799 W124.05.23.003 N044.50.32.035 W124.03.45.017 
                          N044.40.32.216 W124.04.36.868 N044.40.35.151 W124.04.32.721 
                          N044.40.35.151 W124.04.32.721 N044.40.37.783 W124.04.28.189 
                          N044.40.37.783 W124.04.28.189 N044.40.40.086 W124.04.23.316 
                          N044.40.40.086 W124.04.23.316 N044.40.42.038 W124.04.18.149 
                          N044.40.42.038 W124.04.18.149 N044.40.43.621 W124.04.12.738 
                          N044.40.43.621 W124.04.12.738 N044.40.44.819 W124.04.07.135 
                          N044.40.44.819 W124.04.07.135 N044.40.45.621 W124.04.01.393 
                          N044.40.45.621 W124.04.01.393 N044.40.46.018 W124.03.55.568 
                          N044.40.46.018 W124.03.55.568 N044.40.46.007 W124.03.49.717 
                          N044.40.46.007 W124.03.49.717 N044.40.45.589 W124.03.43.895 
                          N044.40.45.589 W124.03.43.895 N044.40.44.767 W124.03.38.160 
                          N044.40.44.767 W124.03.38.160 N044.40.43.549 W124.03.32.565 
                          N044.40.43.549 W124.03.32.565 N044.40.41.947 W124.03.27.165 
                          N044.40.41.947 W124.03.27.165 N044.40.39.976 W124.03.22.012 
                          N044.40.39.976 W124.03.22.012 N044.40.37.655 W124.03.17.155 
                          N044.40.37.655 W124.03.17.155 N044.40.35.007 W124.03.12.642 
                          N044.40.35.009 W124.03.12.645 N044.40.32.075 W124.03.16.794 
                          N044.40.32.075 W124.03.16.794 N044.40.29.444 W124.03.21.326 
                          N044.40.29.444 W124.03.21.326 N044.40.27.142 W124.03.26.199 
                          N044.40.27.142 W124.03.26.199 N044.40.25.190 W124.03.31.367 
                          N044.40.25.190 W124.03.31.367 N044.40.23.608 W124.03.36.778 
                          N044.40.23.608 W124.03.36.778 N044.40.22.410 W124.03.42.381 
                          N044.40.22.410 W124.03.42.381 N044.40.21.609 W124.03.48.122 
                          N044.40.21.609 W124.03.48.122 N044.40.21.212 W124.03.53.946 
                          N044.40.21.212 W124.03.53.946 N044.40.21.222 W124.03.59.796 
                          N044.40.21.222 W124.03.59.796 N044.40.21.640 W124.04.05.617 
                          N044.40.21.640 W124.04.05.617 N044.40.22.462 W124.04.11.353 
                          N044.40.22.462 W124.04.11.353 N044.40.23.680 W124.04.16.947 
                          N044.40.23.680 W124.04.16.947 N044.40.25.281 W124.04.22.347 
                          N044.40.25.281 W124.04.22.347 N044.40.27.251 W124.04.27.500 
                          N044.40.27.251 W124.04.27.500 N044.40.29.571 W124.04.32.357 
                          N044.40.29.571 W124.04.32.357 N044.40.32.218 W124.04.36.871 
                          N046.09.35.399 W123.53.23.082 N046.09.29.926 W123.52.01.143 
                          N046.09.29.926 W123.52.01.143 N046.09.35.399 W123.53.23.082 
                          N046.09.46.265 W123.53.00.448 N046.09.02.079 W123.52.28.920 
                          N046.09.02.079 W123.52.28.920 N046.09.46.265 W123.53.00.448 
    ; KAST 26 centerline                                   
                          N046.08.08.910 W123.32.12.554 N046.08.02.906 W123.30.46.463 
                          N046.07.56.885 W123.29.20.376 N046.07.50.845 W123.27.54.295 
                          N046.07.44.788 W123.26.28.219 N046.07.38.712 W123.25.02.149 
                          N046.07.32.619 W123.23.36.083 N046.07.26.508 W123.22.10.023 
                          N046.07.20.379 W123.20.43.969 N046.07.19.765 W123.20.35.363 
    ; KAST 26 center cross at 12.8                         
                          N046.08.49.512 W123.33.33.840 N046.07.40.279 W123.33.43.460 
    ; KAST 26 center cross at 19.0                         
                          N046.08.12.112 W123.24.40.125 N046.07.02.879 W123.24.49.743 
                          N046.58.20.660 W123.55.36.146 N046.58.11.952 W123.56.47.113 
                          N046.58.11.952 W123.56.47.113 N046.58.20.660 W123.55.36.146 
    ; KHQM 24 centerline                                   
                          N046.59.28.848 W123.46.17.581 N046.59.39.342 W123.44.51.033 
                          N046.59.49.817 W123.43.24.474 N047.00.00.275 W123.41.57.907 
                          N047.00.10.714 W123.40.31.330 N047.00.21.135 W123.39.04.743 
                          N047.00.31.539 W123.37.38.147 N047.00.41.924 W123.36.11.542 
                          N047.00.52.290 W123.34.44.928 N047.01.02.639 W123.33.18.304 
                          N047.01.12.970 W123.31.51.671 N047.01.23.282 W123.30.25.028 
                          N047.01.33.576 W123.28.58.376 N047.01.43.853 W123.27.31.715 
    ; KHQM 24 center cross at NEYDI                        
                          N046.59.52.563 W123.47.53.152 N046.58.44.109 W123.47.35.093 
    ; KHQM 24 center cross at LAMMB                        
                          N047.00.57.852 W123.38.53.069 N046.59.49.398 W123.38.35.004 
    ; KHQM 24 center cross at 16.6                         
                          N047.01.48.678 W123.31.48.265 N047.00.40.225 W123.31.30.195 
                          N041.47.05.936 W124.14.29.568 N041.46.32.118 W124.13.41.419 
                          N041.46.32.118 W124.13.41.419 N041.47.05.936 W124.14.29.568 
                          N041.47.12.162 W124.14.10.016 N041.46.24.048 W124.14.25.078 
                          N041.46.24.048 W124.14.25.078 N041.47.12.162 W124.14.10.016 
    ; KCEC 11 centerline                                   
                          N041.50.58.890 W124.20.01.739 N041.51.39.953 W124.21.00.399 
                          N041.52.21.007 W124.21.59.080 N041.53.02.054 W124.22.57.783 
                          N041.53.43.091 W124.23.56.506 N041.54.24.121 W124.24.55.250 
                          N041.55.05.142 W124.25.54.015 N041.55.46.155 W124.26.52.801 
                          N041.56.27.159 W124.27.51.609 N041.57.08.155 W124.28.50.437 
                          N041.57.49.143 W124.29.49.286 N041.58.30.122 W124.30.48.156 
                          N041.59.11.093 W124.31.47.047 N041.59.52.056 W124.32.45.960 
                          N042.00.33.010 W124.33.44.893 N042.00.46.551 W124.34.04.385 
    ; KCEC 11 center cross at SLAMM                        
                          N041.49.52.505 W124.19.35.102 N041.50.43.132 W124.18.31.089 
    ; KCEC 11 center cross at 14.7                         
                          N041.56.44.097 W124.29.24.301 N041.57.34.725 W124.28.20.173 
                          N040.58.15.661 W124.06.12.341 N040.59.08.357 W124.06.48.165 
                          N040.59.08.357 W124.06.48.165 N040.58.15.661 W124.06.12.341 
                          N040.58.20.850 W124.06.46.509 N040.58.59.444 W124.06.17.413 
                          N040.58.59.444 W124.06.17.413 N040.58.20.850 W124.06.46.509 
    ; KACV 32 centerline                                   
                          N040.52.15.311 W124.02.07.778 N040.51.21.946 W124.01.31.631 
                          N040.50.28.577 W124.00.55.501 N040.49.35.206 W124.00.19.386 
                          N040.48.41.831 W123.59.43.288 N040.47.48.453 W123.59.07.206 
