((LMT-APP))               N000.00.00.000 E000.00.00.000 N000.00.00.000 E000.00.00.000
                          N042.22.49.358 W122.52.12.175 N042.22.47.141 W122.52.06.562 RVM
                          N042.22.47.141 W122.52.06.562 N042.22.44.158 W122.52.01.642 RVM
                          N042.22.44.158 W122.52.01.642 N042.22.40.524 W122.51.57.605 RVM
                          N042.22.40.524 W122.51.57.605 N042.22.36.377 W122.51.54.605 RVM
                          N042.22.36.377 W122.51.54.605 N042.22.31.878 W122.51.52.758 RVM
                          N042.22.31.878 W122.51.52.758 N042.22.27.199 W122.51.52.135 RVM
                          N042.22.27.199 W122.51.52.135 N042.22.22.520 W122.51.52.759 RVM
                          N042.22.22.520 W122.51.52.759 N042.22.18.021 W122.51.54.607 RVM
                          N042.22.18.021 W122.51.54.607 N042.22.13.874 W122.51.57.608 RVM
                          N042.22.13.874 W122.51.57.608 N042.22.10.240 W122.52.01.645 RVM
                          N042.22.10.240 W122.52.01.645 N042.22.07.258 W122.52.06.565 RVM
                          N042.22.07.258 W122.52.06.565 N042.22.05.042 W122.52.12.177 RVM
                          N042.22.05.042 W122.52.12.177 N042.22.03.677 W122.52.18.267 RVM
                          N042.22.03.677 W122.52.18.267 N042.22.03.216 W122.52.24.600 RVM
                          N042.22.03.216 W122.52.24.600 N042.22.03.677 W122.52.30.933 RVM
                          N042.22.03.677 W122.52.30.933 N042.22.05.042 W122.52.37.023 RVM
                          N042.22.05.042 W122.52.37.023 N042.22.07.258 W122.52.42.635 RVM
                          N042.22.07.258 W122.52.42.635 N042.22.10.240 W122.52.47.555 RVM
                          N042.22.10.240 W122.52.47.555 N042.22.13.874 W122.52.51.592 RVM
                          N042.22.13.874 W122.52.51.592 N042.22.18.021 W122.52.54.593 RVM
                          N042.22.18.021 W122.52.54.593 N042.22.22.520 W122.52.56.441 RVM
                          N042.22.22.520 W122.52.56.441 N042.22.27.199 W122.52.57.065 RVM
                          N042.22.27.199 W122.52.57.065 N042.22.31.878 W122.52.56.442 RVM
                          N042.22.31.878 W122.52.56.442 N042.22.36.377 W122.52.54.595 RVM
                          N042.22.36.377 W122.52.54.595 N042.22.40.524 W122.52.51.595 RVM
                          N042.22.40.524 W122.52.51.595 N042.22.44.158 W122.52.47.558 RVM
                          N042.22.44.158 W122.52.47.558 N042.22.47.141 W122.52.42.638 RVM
                          N042.22.47.141 W122.52.42.638 N042.22.49.358 W122.52.37.025 RVM
                          N042.22.49.358 W122.52.37.025 N042.22.50.723 W122.52.30.934 RVM
                          N042.22.50.723 W122.52.30.934 N042.22.51.184 W122.52.24.600 RVM
                          N042.22.50.061 W122.52.14.783 N042.23.01.491 W122.52.09.873 RVM
                          N042.22.19.947 W122.51.53.656 N042.22.16.319 W122.51.38.184 RVM
                          N042.22.04.339 W122.52.34.415 N042.21.52.908 W122.52.39.322 RVM
                          N042.22.34.451 W122.52.55.546 N042.22.38.075 W122.53.11.020 RVM
    ; 2S7
                          N042.35.23.474 W121.52.34.054 N042.35.23.013 W121.52.27.699 RVM
                          N042.35.23.013 W121.52.27.699 N042.35.21.648 W121.52.21.587 RVM
                          N042.35.21.648 W121.52.21.587 N042.35.19.431 W121.52.15.955 RVM
                          N042.35.19.431 W121.52.15.955 N042.35.16.448 W121.52.11.019 RVM
                          N042.35.16.448 W121.52.11.019 N042.35.12.814 W121.52.06.968 RVM
                          N042.35.12.814 W121.52.06.968 N042.35.08.667 W121.52.03.959 RVM
                          N042.35.08.667 W121.52.03.959 N042.35.04.168 W121.52.02.106 RVM
                          N042.35.04.168 W121.52.02.106 N042.34.59.489 W121.52.01.480 RVM
                          N042.34.59.489 W121.52.01.480 N042.34.54.810 W121.52.02.107 RVM
                          N042.34.54.810 W121.52.02.107 N042.34.50.311 W121.52.03.961 RVM
                          N042.34.50.311 W121.52.03.961 N042.34.46.164 W121.52.06.972 RVM
                          N042.34.46.164 W121.52.06.972 N042.34.42.530 W121.52.11.023 RVM
                          N042.34.42.530 W121.52.11.023 N042.34.39.548 W121.52.15.959 RVM
                          N042.34.39.548 W121.52.15.959 N042.34.37.332 W121.52.21.590 RVM
                          N042.34.37.332 W121.52.21.590 N042.34.35.967 W121.52.27.700 RVM
                          N042.34.35.967 W121.52.27.700 N042.34.35.506 W121.52.34.054 RVM
                          N042.34.35.506 W121.52.34.054 N042.34.35.967 W121.52.40.408 RVM
                          N042.34.35.967 W121.52.40.408 N042.34.37.332 W121.52.46.518 RVM
                          N042.34.37.332 W121.52.46.518 N042.34.39.548 W121.52.52.149 RVM
                          N042.34.39.548 W121.52.52.149 N042.34.42.530 W121.52.57.085 RVM
                          N042.34.42.530 W121.52.57.085 N042.34.46.164 W121.53.01.136 RVM
                          N042.34.46.164 W121.53.01.136 N042.34.50.311 W121.53.04.147 RVM
                          N042.34.50.311 W121.53.04.147 N042.34.54.810 W121.53.06.001 RVM
                          N042.34.54.810 W121.53.06.001 N042.34.59.489 W121.53.06.628 RVM
                          N042.34.59.489 W121.53.06.628 N042.35.04.168 W121.53.06.002 RVM
                          N042.35.04.168 W121.53.06.002 N042.35.08.667 W121.53.04.149 RVM
                          N042.35.08.667 W121.53.04.149 N042.35.12.814 W121.53.01.140 RVM
                          N042.35.12.814 W121.53.01.140 N042.35.16.448 W121.52.57.089 RVM
                          N042.35.16.448 W121.52.57.089 N042.35.19.431 W121.52.52.153 RVM
                          N042.35.19.431 W121.52.52.153 N042.35.21.648 W121.52.46.521 RVM
                          N042.35.21.648 W121.52.46.521 N042.35.23.013 W121.52.40.409 RVM
                          N042.35.23.013 W121.52.40.409 N042.35.23.474 W121.52.34.054 RVM
                          N042.35.22.351 W121.52.24.204 N042.35.33.781 W121.52.19.278 RVM
                          N042.34.52.237 W121.52.03.006 N042.34.48.609 W121.51.47.483 RVM
                          N042.34.36.629 W121.52.43.902 N042.34.25.198 W121.52.48.826 RVM
                          N042.35.06.741 W121.53.05.104 N042.35.10.365 W121.53.20.630 RVM
    ; 4S7
                          N042.00.27.544 W121.23.46.966 N042.00.27.083 W121.23.40.669 RVM
                          N042.00.27.083 W121.23.40.669 N042.00.25.718 W121.23.34.614 RVM
                          N042.00.25.718 W121.23.34.614 N042.00.23.501 W121.23.29.034 RVM
                          N042.00.23.501 W121.23.29.034 N042.00.20.518 W121.23.24.143 RVM
                          N042.00.20.518 W121.23.24.143 N042.00.16.884 W121.23.20.130 RVM
                          N042.00.16.884 W121.23.20.130 N042.00.12.737 W121.23.17.148 RVM
                          N042.00.12.737 W121.23.17.148 N042.00.08.238 W121.23.15.312 RVM
                          N042.00.08.238 W121.23.15.312 N042.00.03.559 W121.23.14.692 RVM
                          N042.00.03.559 W121.23.14.692 N041.59.58.880 W121.23.15.313 RVM
                          N041.59.58.880 W121.23.15.313 N041.59.54.381 W121.23.17.150 RVM
                          N041.59.54.381 W121.23.17.150 N041.59.50.234 W121.23.20.133 RVM
                          N041.59.50.234 W121.23.20.133 N041.59.46.600 W121.23.24.147 RVM
                          N041.59.46.600 W121.23.24.147 N041.59.43.618 W121.23.29.037 RVM
                          N041.59.43.618 W121.23.29.037 N041.59.41.402 W121.23.34.616 RVM
                          N041.59.41.402 W121.23.34.616 N041.59.40.037 W121.23.40.670 RVM
                          N041.59.40.037 W121.23.40.670 N041.59.39.576 W121.23.46.966 RVM
                          N041.59.39.576 W121.23.46.966 N041.59.40.037 W121.23.53.262 RVM
                          N041.59.40.037 W121.23.53.262 N041.59.41.402 W121.23.59.315 RVM
                          N041.59.41.402 W121.23.59.315 N041.59.43.618 W121.24.04.895 RVM
                          N041.59.43.618 W121.24.04.895 N041.59.46.600 W121.24.09.785 RVM
                          N041.59.46.600 W121.24.09.785 N041.59.50.234 W121.24.13.799 RVM
                          N041.59.50.234 W121.24.13.799 N041.59.54.381 W121.24.16.782 RVM
                          N041.59.54.381 W121.24.16.782 N041.59.58.880 W121.24.18.619 RVM
                          N041.59.58.880 W121.24.18.619 N042.00.03.559 W121.24.19.240 RVM
                          N042.00.03.559 W121.24.19.240 N042.00.08.238 W121.24.18.620 RVM
                          N042.00.08.238 W121.24.18.620 N042.00.12.737 W121.24.16.784 RVM
                          N042.00.12.737 W121.24.16.784 N042.00.16.884 W121.24.13.802 RVM
                          N042.00.16.884 W121.24.13.802 N042.00.20.518 W121.24.09.789 RVM
                          N042.00.20.518 W121.24.09.789 N042.00.23.501 W121.24.04.898 RVM
                          N042.00.23.501 W121.24.04.898 N042.00.25.718 W121.23.59.318 RVM
                          N042.00.25.718 W121.23.59.318 N042.00.27.083 W121.23.53.263 RVM
                          N042.00.27.083 W121.23.53.263 N042.00.27.544 W121.23.46.966 RVM
                          N042.00.26.421 W121.23.37.206 N042.00.37.851 W121.23.32.326 RVM
                          N041.59.56.307 W121.23.16.204 N041.59.52.679 W121.23.00.823 RVM
                          N041.59.40.699 W121.23.56.724 N041.59.29.268 W121.24.01.602 RVM
                          N042.00.10.811 W121.24.17.730 N042.00.14.435 W121.24.33.113 RVM
    ; O81
                          N041.53.38.552 W121.21.33.959 N041.53.38.091 W121.21.27.673 RVM
                          N041.53.38.091 W121.21.27.673 N041.53.36.726 W121.21.21.629 RVM
                          N041.53.36.726 W121.21.21.629 N041.53.34.509 W121.21.16.059 RVM
                          N041.53.34.509 W121.21.16.059 N041.53.31.526 W121.21.11.177 RVM
                          N041.53.31.526 W121.21.11.177 N041.53.27.892 W121.21.07.170 RVM
                          N041.53.27.892 W121.21.07.170 N041.53.23.745 W121.21.04.194 RVM
                          N041.53.23.745 W121.21.04.194 N041.53.19.246 W121.21.02.361 RVM
                          N041.53.19.246 W121.21.02.361 N041.53.14.567 W121.21.01.743 RVM
                          N041.53.14.567 W121.21.01.743 N041.53.09.888 W121.21.02.362 RVM
                          N041.53.09.888 W121.21.02.362 N041.53.05.389 W121.21.04.196 RVM
                          N041.53.05.389 W121.21.04.196 N041.53.01.242 W121.21.07.174 RVM
                          N041.53.01.242 W121.21.07.174 N041.52.57.608 W121.21.11.180 RVM
                          N041.52.57.608 W121.21.11.180 N041.52.54.626 W121.21.16.062 RVM
                          N041.52.54.626 W121.21.16.062 N041.52.52.410 W121.21.21.632 RVM
                          N041.52.52.410 W121.21.21.632 N041.52.51.045 W121.21.27.675 RVM
                          N041.52.51.045 W121.21.27.675 N041.52.50.584 W121.21.33.959 RVM
                          N041.52.50.584 W121.21.33.959 N041.52.51.045 W121.21.40.243 RVM
                          N041.52.51.045 W121.21.40.243 N041.52.52.410 W121.21.46.287 RVM
                          N041.52.52.410 W121.21.46.287 N041.52.54.626 W121.21.51.856 RVM
                          N041.52.54.626 W121.21.51.856 N041.52.57.608 W121.21.56.738 RVM
                          N041.52.57.608 W121.21.56.738 N041.53.01.242 W121.22.00.744 RVM
                          N041.53.01.242 W121.22.00.744 N041.53.05.389 W121.22.03.722 RVM
                          N041.53.05.389 W121.22.03.722 N041.53.09.888 W121.22.05.556 RVM
                          N041.53.09.888 W121.22.05.556 N041.53.14.567 W121.22.06.175 RVM
                          N041.53.14.567 W121.22.06.175 N041.53.19.246 W121.22.05.557 RVM
                          N041.53.19.246 W121.22.05.557 N041.53.23.745 W121.22.03.724 RVM
                          N041.53.23.745 W121.22.03.724 N041.53.27.892 W121.22.00.748 RVM
                          N041.53.27.892 W121.22.00.748 N041.53.31.526 W121.21.56.741 RVM
                          N041.53.31.526 W121.21.56.741 N041.53.34.509 W121.21.51.859 RVM
                          N041.53.34.509 W121.21.51.859 N041.53.36.726 W121.21.46.289 RVM
                          N041.53.36.726 W121.21.46.289 N041.53.38.091 W121.21.40.245 RVM
                          N041.53.38.091 W121.21.40.245 N041.53.38.552 W121.21.33.959 RVM
                          N041.53.37.429 W121.21.24.217 N041.53.48.859 W121.21.19.345 RVM
                          N041.53.07.315 W121.21.03.252 N041.53.03.687 W121.20.47.899 RVM
                          N041.52.51.707 W121.21.43.699 N041.52.40.276 W121.21.48.569 RVM
                          N041.53.21.819 W121.22.04.668 N041.53.25.443 W121.22.20.024 RVM
    ; A32
                          N041.53.38.034 W121.58.32.140 N041.53.37.573 W121.58.25.854 RVM
                          N041.53.37.573 W121.58.25.854 N041.53.36.208 W121.58.19.810 RVM
                          N041.53.36.208 W121.58.19.810 N041.53.33.991 W121.58.14.240 RVM
                          N041.53.33.991 W121.58.14.240 N041.53.31.008 W121.58.09.358 RVM
                          N041.53.31.008 W121.58.09.358 N041.53.27.374 W121.58.05.352 RVM
                          N041.53.27.374 W121.58.05.352 N041.53.23.227 W121.58.02.375 RVM
                          N041.53.23.227 W121.58.02.375 N041.53.18.728 W121.58.00.542 RVM
                          N041.53.18.728 W121.58.00.542 N041.53.14.049 W121.57.59.924 RVM
                          N041.53.14.049 W121.57.59.924 N041.53.09.370 W121.58.00.543 RVM
                          N041.53.09.370 W121.58.00.543 N041.53.04.871 W121.58.02.377 RVM
                          N041.53.04.871 W121.58.02.377 N041.53.00.724 W121.58.05.355 RVM
                          N041.53.00.724 W121.58.05.355 N041.52.57.090 W121.58.09.361 RVM
                          N041.52.57.090 W121.58.09.361 N041.52.54.108 W121.58.14.243 RVM
                          N041.52.54.108 W121.58.14.243 N041.52.51.892 W121.58.19.813 RVM
                          N041.52.51.892 W121.58.19.813 N041.52.50.527 W121.58.25.856 RVM
                          N041.52.50.527 W121.58.25.856 N041.52.50.066 W121.58.32.140 RVM
                          N041.52.50.066 W121.58.32.140 N041.52.50.527 W121.58.38.424 RVM
                          N041.52.50.527 W121.58.38.424 N041.52.51.892 W121.58.44.467 RVM
                          N041.52.51.892 W121.58.44.467 N041.52.54.108 W121.58.50.037 RVM
                          N041.52.54.108 W121.58.50.037 N041.52.57.090 W121.58.54.919 RVM
                          N041.52.57.090 W121.58.54.919 N041.53.00.724 W121.58.58.925 RVM
                          N041.53.00.724 W121.58.58.925 N041.53.04.871 W121.59.01.903 RVM
                          N041.53.04.871 W121.59.01.903 N041.53.09.370 W121.59.03.737 RVM
                          N041.53.09.370 W121.59.03.737 N041.53.14.049 W121.59.04.356 RVM
                          N041.53.14.049 W121.59.04.356 N041.53.18.728 W121.59.03.738 RVM
                          N041.53.18.728 W121.59.03.738 N041.53.23.227 W121.59.01.905 RVM
                          N041.53.23.227 W121.59.01.905 N041.53.27.374 W121.58.58.928 RVM
                          N041.53.27.374 W121.58.58.928 N041.53.31.008 W121.58.54.922 RVM
                          N041.53.31.008 W121.58.54.922 N041.53.33.991 W121.58.50.040 RVM
                          N041.53.33.991 W121.58.50.040 N041.53.36.208 W121.58.44.470 RVM
                          N041.53.36.208 W121.58.44.470 N041.53.37.573 W121.58.38.426 RVM
                          N041.53.37.573 W121.58.38.426 N041.53.38.034 W121.58.32.140 RVM
                          N041.53.36.911 W121.58.22.398 N041.53.48.341 W121.58.17.526 RVM
                          N041.53.06.797 W121.58.01.433 N041.53.03.169 W121.57.46.080 RVM
                          N041.52.51.189 W121.58.41.880 N041.52.39.758 W121.58.46.750 RVM
                          N041.53.21.301 W121.59.02.849 N041.53.24.925 W121.59.18.205 RVM
    ; 24S
                          N042.07.00.704 W122.22.59.490 N042.07.00.243 W122.22.53.182 RVM
                          N042.07.00.243 W122.22.53.182 N042.06.58.878 W122.22.47.117 RVM
                          N042.06.58.878 W122.22.47.117 N042.06.56.661 W122.22.41.527 RVM
                          N042.06.56.661 W122.22.41.527 N042.06.53.678 W122.22.36.628 RVM
                          N042.06.53.678 W122.22.36.628 N042.06.50.044 W122.22.32.607 RVM
                          N042.06.50.044 W122.22.32.607 N042.06.45.897 W122.22.29.620 RVM
                          N042.06.45.897 W122.22.29.620 N042.06.41.398 W122.22.27.781 RVM
                          N042.06.41.398 W122.22.27.781 N042.06.36.719 W122.22.27.161 RVM
                          N042.06.36.719 W122.22.27.161 N042.06.32.040 W122.22.27.782 RVM
                          N042.06.32.040 W122.22.27.782 N042.06.27.541 W122.22.29.623 RVM
                          N042.06.27.541 W122.22.29.623 N042.06.23.394 W122.22.32.611 RVM
                          N042.06.23.394 W122.22.32.611 N042.06.19.760 W122.22.36.631 RVM
                          N042.06.19.760 W122.22.36.631 N042.06.16.778 W122.22.41.530 RVM
                          N042.06.16.778 W122.22.41.530 N042.06.14.562 W122.22.47.119 RVM
                          N042.06.14.562 W122.22.47.119 N042.06.13.197 W122.22.53.184 RVM
                          N042.06.13.197 W122.22.53.184 N042.06.12.736 W122.22.59.490 RVM
                          N042.06.12.736 W122.22.59.490 N042.06.13.197 W122.23.05.797 RVM
                          N042.06.13.197 W122.23.05.797 N042.06.14.562 W122.23.11.861 RVM
                          N042.06.14.562 W122.23.11.861 N042.06.16.778 W122.23.17.450 RVM
                          N042.06.16.778 W122.23.17.450 N042.06.19.760 W122.23.22.349 RVM
                          N042.06.19.760 W122.23.22.349 N042.06.23.394 W122.23.26.369 RVM
                          N042.06.23.394 W122.23.26.369 N042.06.27.541 W122.23.29.357 RVM
                          N042.06.27.541 W122.23.29.357 N042.06.32.040 W122.23.31.198 RVM
                          N042.06.32.040 W122.23.31.198 N042.06.36.719 W122.23.31.819 RVM
                          N042.06.36.719 W122.23.31.819 N042.06.41.398 W122.23.31.199 RVM
                          N042.06.41.398 W122.23.31.199 N042.06.45.897 W122.23.29.360 RVM
                          N042.06.45.897 W122.23.29.360 N042.06.50.044 W122.23.26.373 RVM
                          N042.06.50.044 W122.23.26.373 N042.06.53.678 W122.23.22.352 RVM
                          N042.06.53.678 W122.23.22.352 N042.06.56.661 W122.23.17.453 RVM
                          N042.06.56.661 W122.23.17.453 N042.06.58.878 W122.23.11.863 RVM
                          N042.06.58.878 W122.23.11.863 N042.07.00.243 W122.23.05.798 RVM
                          N042.07.00.243 W122.23.05.798 N042.07.00.704 W122.22.59.490 RVM
                          N042.06.59.581 W122.22.49.714 N042.07.11.011 W122.22.44.825 RVM
                          N042.06.29.467 W122.22.28.675 N042.06.25.839 W122.22.13.268 RVM
                          N042.06.13.859 W122.23.09.264 N042.06.02.428 W122.23.14.151 RVM
                          N042.06.43.971 W122.23.30.307 N042.06.47.595 W122.23.45.716 RVM
                          N042.10.09.135 W121.44.25.456 N042.08.34.647 W121.43.34.737 RVM
                          N042.08.34.647 W121.43.34.737 N042.10.09.135 W121.44.25.456 RVM
                          N042.09.22.747 W121.44.33.344 N042.09.22.366 W121.43.23.549 RVM
                          N042.09.22.366 W121.43.23.549 N042.09.22.747 W121.44.33.344 RVM
    ; KLMT 32 centerline
                          N042.07.38.937 W121.43.04.840 N042.06.43.225 W121.42.34.957 RVM
                          N042.05.47.511 W121.42.05.089 N042.04.51.794 W121.41.35.235 RVM
                          N042.03.56.076 W121.41.05.396 N042.03.00.355 W121.40.35.572 RVM
                          N042.02.04.632 W121.40.05.762 N042.01.08.907 W121.39.35.966 RVM
                          N042.00.13.180 W121.39.06.186 N041.59.17.451 W121.38.36.419 RVM
                          N041.58.21.720 W121.38.06.667 N041.57.25.986 W121.37.36.930 RVM
                          N041.56.30.250 W121.37.07.207 N041.55.34.513 W121.36.37.498 RVM
                          N041.54.38.773 W121.36.07.804 N041.53.43.031 W121.35.38.124 RVM
    ; KLMT 32 center cross at SRCUS
                          N042.05.15.636 W121.40.57.580 N042.04.49.915 W121.42.24.653 RVM
    ; KLMT 32 center cross at MZAMA
                          N042.02.37.832 W121.39.33.133 N042.02.12.111 W121.41.00.146 RVM
    ; KLMT 32 center cross at TAHNE
                          N041.53.32.232 W121.34.42.127 N041.53.06.511 W121.36.08.933 RVM
    ; LMT VORTAC final approach course 134 from 1.5 to 20.0
                          N042.11.22.420 W121.45.17.166 N042.12.14.850 W121.45.56.431 RVM
                          N042.13.07.277 W121.46.35.714 N042.13.59.701 W121.47.15.015 RVM
                          N042.14.52.120 W121.47.54.334 N042.15.44.536 W121.48.33.672 RVM
                          N042.16.36.948 W121.49.13.027 N042.17.29.356 W121.49.52.401 RVM
                          N042.18.21.760 W121.50.31.793 N042.19.14.161 W121.51.11.203 RVM
                          N042.20.06.558 W121.51.50.631 N042.20.58.951 W121.52.30.078 RVM
                          N042.21.51.341 W121.53.09.543 N042.22.43.727 W121.53.49.026 RVM
                          N042.23.36.109 W121.54.28.528 N042.24.28.487 W121.55.08.047 RVM
                          N042.25.20.861 W121.55.47.586 N042.26.13.232 W121.56.27.142 RVM
    ; LMT VORTAC DME Arc Left cross at NECIE
                          N042.24.46.801 W122.00.34.694 N042.24.00.267 W122.01.44.703 RVM
                          N042.23.38.058 W122.01.17.434 N042.24.22.474 W122.02.11.978 RVM
    ; LMT VORTAC final approach Full cross at MUPEE
                          N042.26.22.569 W121.57.28.154 N042.26.56.289 W121.56.05.717 RVM
    ; LMT VORTAC final approach Full cross at KOTTA
                          N042.20.37.424 W121.53.07.717 N042.21.11.144 W121.51.45.407 RVM
    ; LMT VORTAC final approach Full cross at EYOWO
                          N042.16.22.586 W121.49.56.011 N042.16.56.306 W121.48.33.793 RVM
    ; LMT VORTAC final approach Full cross at HIVPO
                          N042.21.39.716 W121.53.54.653 N042.22.13.436 W121.52.32.320 RVM
    ; LMT VORTAC final approach Full cross at UPPER
                          N042.20.15.902 W121.52.51.507 N042.20.49.622 W121.51.29.205 RVM
    ; LMT VORTAC final approach Full cross at 8.0
                          N042.15.53.880 W121.49.34.448 N042.16.27.600 W121.48.12.240 RVM
    ; LMT VORTAC DME Arc Left cross at BIDDS
                          N042.13.26.606 W121.24.13.180 N042.14.31.541 W121.24.46.840 RVM
                          N042.14.20.899 W121.25.24.698 N042.14.42.180 W121.24.08.978 RVM
    ; LMT VORTAC final approach Full cross at CEKUG
                          N041.50.00.699 W121.35.57.066 N041.49.42.697 W121.37.27.230 RVM
    ; LMT VORTAC final approach Full cross at FARMI
                          N041.54.50.716 W121.37.40.873 N041.54.32.714 W121.39.11.151 RVM
    ; LMT VORTAC final approach Full cross at JIDAL
                          N042.02.34.514 W121.40.27.447 N042.02.16.512 W121.41.57.908 RVM
    ; LMT VORTAC final approach course 328 from JIDAL to CURVN
                          N042.01.27.591 W121.40.51.826 N042.00.29.666 W121.40.30.983 RVM
                          N041.59.31.739 W121.40.10.151 N041.58.33.812 W121.39.49.330 RVM
                          N041.57.35.883 W121.39.28.518 N041.56.37.954 W121.39.07.718 RVM
                          N041.55.40.023 W121.38.46.928 N041.54.42.092 W121.38.26.148 RVM
                          N041.53.44.159 W121.38.05.379 N041.52.46.225 W121.37.44.620 RVM
    ; LMT VORTAC final approach Full cross at CURVN
                          N041.52.54.647 W121.36.59.295 N041.52.36.645 W121.38.29.528 RVM
    ; LMT VORTAC final approach Full cross at JIDAL
                          N042.02.34.514 W121.40.27.447 N042.02.16.512 W121.41.57.908 RVM
    ; LFA NDB
                          N041.59.18.538 W121.38.33.982 N041.59.18.307 W121.38.30.834 RVM
                          N041.59.18.307 W121.38.30.834 N041.59.17.625 W121.38.27.808 RVM
                          N041.59.17.625 W121.38.27.808 N041.59.16.517 W121.38.25.019 RVM
                          N041.59.16.517 W121.38.25.019 N041.59.15.025 W121.38.22.574 RVM
                          N041.59.15.025 W121.38.22.574 N041.59.13.208 W121.38.20.568 RVM
                          N041.59.13.208 W121.38.20.568 N041.59.11.135 W121.38.19.077 RVM
                          N041.59.11.135 W121.38.19.077 N041.59.08.885 W121.38.18.159 RVM
                          N041.59.08.885 W121.38.18.159 N041.59.06.546 W121.38.17.849 RVM
                          N041.59.06.546 W121.38.17.849 N041.59.04.206 W121.38.18.159 RVM
                          N041.59.04.206 W121.38.18.159 N041.59.01.957 W121.38.19.077 RVM
                          N041.59.01.957 W121.38.19.077 N041.58.59.883 W121.38.20.568 RVM
                          N041.58.59.883 W121.38.20.568 N041.58.58.066 W121.38.22.575 RVM
                          N041.58.58.066 W121.38.22.575 N041.58.56.575 W121.38.25.019 RVM
                          N041.58.56.575 W121.38.25.019 N041.58.55.467 W121.38.27.809 RVM
                          N041.58.55.467 W121.38.27.809 N041.58.54.785 W121.38.30.835 RVM
                          N041.58.54.785 W121.38.30.835 N041.58.54.554 W121.38.33.982 RVM
                          N041.58.54.554 W121.38.33.982 N041.58.54.785 W121.38.37.129 RVM
                          N041.58.54.785 W121.38.37.129 N041.58.55.467 W121.38.40.156 RVM
                          N041.58.55.467 W121.38.40.156 N041.58.56.575 W121.38.42.945 RVM
                          N041.58.56.575 W121.38.42.945 N041.58.58.066 W121.38.45.389 RVM
                          N041.58.58.066 W121.38.45.389 N041.58.59.883 W121.38.47.396 RVM
                          N041.58.59.883 W121.38.47.396 N041.59.01.957 W121.38.48.887 RVM
                          N041.59.01.957 W121.38.48.887 N041.59.04.206 W121.38.49.805 RVM
                          N041.59.04.206 W121.38.49.805 N041.59.06.546 W121.38.50.115 RVM
                          N041.59.06.546 W121.38.50.115 N041.59.08.885 W121.38.49.805 RVM
                          N041.59.08.885 W121.38.49.805 N041.59.11.135 W121.38.48.887 RVM
                          N041.59.11.135 W121.38.48.887 N041.59.13.208 W121.38.47.396 RVM
                          N041.59.13.208 W121.38.47.396 N041.59.15.025 W121.38.45.390 RVM
                          N041.59.15.025 W121.38.45.390 N041.59.16.517 W121.38.42.945 RVM
                          N041.59.16.517 W121.38.42.945 N041.59.17.625 W121.38.40.156 RVM
                          N041.59.17.625 W121.38.40.156 N041.59.18.307 W121.38.37.130 RVM
                          N041.59.18.307 W121.38.37.130 N041.59.18.538 W121.38.33.982 RVM
    ; OED VORTAC
                          N042.28.58.459 W122.54.46.561 N042.28.58.228 W122.54.43.389 RVM
                          N042.28.58.228 W122.54.43.389 N042.28.57.546 W122.54.40.338 RVM
                          N042.28.57.546 W122.54.40.338 N042.28.56.438 W122.54.37.527 RVM
                          N042.28.56.438 W122.54.37.527 N042.28.54.946 W122.54.35.063 RVM
                          N042.28.54.946 W122.54.35.063 N042.28.53.129 W122.54.33.041 RVM
                          N042.28.53.129 W122.54.33.041 N042.28.51.056 W122.54.31.539 RVM
                          N042.28.51.056 W122.54.31.539 N042.28.48.806 W122.54.30.613 RVM
                          N042.28.48.806 W122.54.30.613 N042.28.46.467 W122.54.30.301 RVM
                          N042.28.46.467 W122.54.30.301 N042.28.44.127 W122.54.30.614 RVM
                          N042.28.44.127 W122.54.30.614 N042.28.41.878 W122.54.31.539 RVM
                          N042.28.41.878 W122.54.31.539 N042.28.39.804 W122.54.33.042 RVM
                          N042.28.39.804 W122.54.33.042 N042.28.37.987 W122.54.35.064 RVM
                          N042.28.37.987 W122.54.35.064 N042.28.36.496 W122.54.37.528 RVM
                          N042.28.36.496 W122.54.37.528 N042.28.35.388 W122.54.40.339 RVM
                          N042.28.35.388 W122.54.40.339 N042.28.34.706 W122.54.43.389 RVM
                          N042.28.34.706 W122.54.43.389 N042.28.34.475 W122.54.46.561 RVM
                          N042.28.34.475 W122.54.46.561 N042.28.34.706 W122.54.49.733 RVM
                          N042.28.34.706 W122.54.49.733 N042.28.35.388 W122.54.52.783 RVM
                          N042.28.35.388 W122.54.52.783 N042.28.36.496 W122.54.55.594 RVM
                          N042.28.36.496 W122.54.55.594 N042.28.37.987 W122.54.58.058 RVM
                          N042.28.37.987 W122.54.58.058 N042.28.39.804 W122.55.00.080 RVM
                          N042.28.39.804 W122.55.00.080 N042.28.41.878 W122.55.01.583 RVM
                          N042.28.41.878 W122.55.01.583 N042.28.44.127 W122.55.02.508 RVM
                          N042.28.44.127 W122.55.02.508 N042.28.46.467 W122.55.02.821 RVM
                          N042.28.46.467 W122.55.02.821 N042.28.48.806 W122.55.02.509 RVM
                          N042.28.48.806 W122.55.02.509 N042.28.51.056 W122.55.01.583 RVM
                          N042.28.51.056 W122.55.01.583 N042.28.53.129 W122.55.00.081 RVM
                          N042.28.53.129 W122.55.00.081 N042.28.54.946 W122.54.58.059 RVM
                          N042.28.54.946 W122.54.58.059 N042.28.56.438 W122.54.55.595 RVM
                          N042.28.56.438 W122.54.55.595 N042.28.57.546 W122.54.52.784 RVM
