PDX_KRATR                 N000.00.00.000 W000.00.00.000 N000.00.00.000 W000.00.00.000
                          N046.57.08.190 W122.18.34.620 N046.15.25.100 W122.18.34.580
                          N046.15.25.100 W122.18.34.580 N046.05.23.570 W122.24.09.900
                          N046.05.23.570 W122.24.09.900 N045.55.51.240 W122.29.18.230
                          N045.55.51.240 W122.29.18.230 N045.46.42.840 W122.40.50.820
                          N045.46.42.840 W122.40.50.820 N045.44.43.960 W122.44.15.320
                          N045.44.43.960 W122.44.15.320 N045.46.04.320 W122.48.34.490
                          N045.55.51.240 W122.29.18.230 N045.44.52.120 W122.35.29.532
                          N045.55.51.240 W122.29.18.230 N045.49.48.200 W122.27.22.660
                          N045.49.48.200 W122.27.22.660 N045.37.03.520 W122.23.20.640
                          N045.37.03.520 W122.23.20.640 N045.33.18.570 W122.15.47.070
