((YKM-APP))               N000.00.00.000 E000.00.00.000 N000.00.00.000 E000.00.00.000
                          N046.20.01.448 W119.58.13.305 N046.20.13.440 W119.58.13.305 RVM
                          N046.19.37.463 W119.57.38.573 N046.19.37.461 W119.57.21.207 RVM
                          N046.19.13.480 W119.58.13.305 N046.19.01.488 W119.58.13.305 RVM
                          N046.19.37.463 W119.58.48.037 N046.19.37.461 W119.59.05.403 RVM
    ; 4S6
                          N046.38.39.169 W121.07.26.324 N046.38.38.708 W121.07.19.509 RVM
                          N046.38.38.708 W121.07.19.509 N046.38.37.343 W121.07.12.955 RVM
                          N046.38.37.343 W121.07.12.955 N046.38.35.126 W121.07.06.916 RVM
                          N046.38.35.126 W121.07.06.916 N046.38.32.143 W121.07.01.622 RVM
                          N046.38.32.143 W121.07.01.622 N046.38.28.509 W121.06.57.278 RVM
                          N046.38.28.509 W121.06.57.278 N046.38.24.362 W121.06.54.051 RVM
                          N046.38.24.362 W121.06.54.051 N046.38.19.863 W121.06.52.064 RVM
                          N046.38.19.863 W121.06.52.064 N046.38.15.184 W121.06.51.393 RVM
                          N046.38.15.184 W121.06.51.393 N046.38.10.505 W121.06.52.065 RVM
                          N046.38.10.505 W121.06.52.065 N046.38.06.006 W121.06.54.054 RVM
                          N046.38.06.006 W121.06.54.054 N046.38.01.859 W121.06.57.282 RVM
                          N046.38.01.859 W121.06.57.282 N046.37.58.225 W121.07.01.626 RVM
                          N046.37.58.225 W121.07.01.626 N046.37.55.243 W121.07.06.920 RVM
                          N046.37.55.243 W121.07.06.920 N046.37.53.027 W121.07.12.958 RVM
                          N046.37.53.027 W121.07.12.958 N046.37.51.662 W121.07.19.510 RVM
                          N046.37.51.662 W121.07.19.510 N046.37.51.201 W121.07.26.324 RVM
                          N046.37.51.201 W121.07.26.324 N046.37.51.662 W121.07.33.138 RVM
                          N046.37.51.662 W121.07.33.138 N046.37.53.027 W121.07.39.690 RVM
                          N046.37.53.027 W121.07.39.690 N046.37.55.243 W121.07.45.728 RVM
                          N046.37.55.243 W121.07.45.728 N046.37.58.225 W121.07.51.022 RVM
                          N046.37.58.225 W121.07.51.022 N046.38.01.859 W121.07.55.366 RVM
                          N046.38.01.859 W121.07.55.366 N046.38.06.006 W121.07.58.594 RVM
                          N046.38.06.006 W121.07.58.594 N046.38.10.505 W121.08.00.583 RVM
                          N046.38.10.505 W121.08.00.583 N046.38.15.184 W121.08.01.255 RVM
                          N046.38.15.184 W121.08.01.255 N046.38.19.863 W121.08.00.584 RVM
                          N046.38.19.863 W121.08.00.584 N046.38.24.362 W121.07.58.597 RVM
                          N046.38.24.362 W121.07.58.597 N046.38.28.509 W121.07.55.370 RVM
                          N046.38.28.509 W121.07.55.370 N046.38.32.143 W121.07.51.026 RVM
                          N046.38.32.143 W121.07.51.026 N046.38.35.126 W121.07.45.732 RVM
                          N046.38.35.126 W121.07.45.732 N046.38.37.343 W121.07.39.693 RVM
                          N046.38.37.343 W121.07.39.693 N046.38.38.708 W121.07.33.139 RVM
                          N046.38.38.708 W121.07.33.139 N046.38.39.169 W121.07.26.324 RVM
                          N046.38.39.169 W121.07.26.324 N046.38.51.161 W121.07.26.324 RVM
                          N046.38.15.184 W121.06.51.393 N046.38.15.182 W121.06.33.928 RVM
                          N046.37.51.201 W121.07.26.324 N046.37.39.209 W121.07.26.324 RVM
                          N046.38.15.184 W121.08.01.255 N046.38.15.182 W121.08.18.720 RVM
    ; KFCT
                          N046.40.23.441 W120.27.14.232 N046.40.22.980 W120.27.07.413 RVM
                          N046.40.22.980 W120.27.07.413 N046.40.21.615 W120.27.00.856 RVM
                          N046.40.21.615 W120.27.00.856 N046.40.19.398 W120.26.54.813 RVM
                          N046.40.19.398 W120.26.54.813 N046.40.16.415 W120.26.49.517 RVM
                          N046.40.16.415 W120.26.49.517 N046.40.12.781 W120.26.45.171 RVM
                          N046.40.12.781 W120.26.45.171 N046.40.08.634 W120.26.41.941 RVM
                          N046.40.08.634 W120.26.41.941 N046.40.04.135 W120.26.39.953 RVM
                          N046.40.04.135 W120.26.39.953 N046.39.59.456 W120.26.39.283 RVM
                          N046.39.59.456 W120.26.39.283 N046.39.54.777 W120.26.39.955 RVM
                          N046.39.54.777 W120.26.39.955 N046.39.50.278 W120.26.41.944 RVM
                          N046.39.50.278 W120.26.41.944 N046.39.46.131 W120.26.45.175 RVM
                          N046.39.46.131 W120.26.45.175 N046.39.42.497 W120.26.49.521 RVM
                          N046.39.42.497 W120.26.49.521 N046.39.39.515 W120.26.54.817 RVM
                          N046.39.39.515 W120.26.54.817 N046.39.37.299 W120.27.00.859 RVM
                          N046.39.37.299 W120.27.00.859 N046.39.35.934 W120.27.07.415 RVM
                          N046.39.35.934 W120.27.07.415 N046.39.35.473 W120.27.14.232 RVM
                          N046.39.35.473 W120.27.14.232 N046.39.35.934 W120.27.21.049 RVM
                          N046.39.35.934 W120.27.21.049 N046.39.37.299 W120.27.27.605 RVM
                          N046.39.37.299 W120.27.27.605 N046.39.39.515 W120.27.33.647 RVM
                          N046.39.39.515 W120.27.33.647 N046.39.42.497 W120.27.38.943 RVM
                          N046.39.42.497 W120.27.38.943 N046.39.46.131 W120.27.43.289 RVM
                          N046.39.46.131 W120.27.43.289 N046.39.50.278 W120.27.46.520 RVM
                          N046.39.50.278 W120.27.46.520 N046.39.54.777 W120.27.48.509 RVM
                          N046.39.54.777 W120.27.48.509 N046.39.59.456 W120.27.49.181 RVM
                          N046.39.59.456 W120.27.49.181 N046.40.04.135 W120.27.48.511 RVM
                          N046.40.04.135 W120.27.48.511 N046.40.08.634 W120.27.46.523 RVM
                          N046.40.08.634 W120.27.46.523 N046.40.12.781 W120.27.43.293 RVM
                          N046.40.12.781 W120.27.43.293 N046.40.16.415 W120.27.38.947 RVM
                          N046.40.16.415 W120.27.38.947 N046.40.19.398 W120.27.33.651 RVM
                          N046.40.19.398 W120.27.33.651 N046.40.21.615 W120.27.27.608 RVM
                          N046.40.21.615 W120.27.27.608 N046.40.22.980 W120.27.21.051 RVM
                          N046.40.22.980 W120.27.21.051 N046.40.23.441 W120.27.14.232 RVM
                          N046.40.23.441 W120.27.14.232 N046.40.35.433 W120.27.14.232 RVM
                          N046.39.59.456 W120.26.39.283 N046.39.59.454 W120.26.21.808 RVM
                          N046.39.35.473 W120.27.14.232 N046.39.23.481 W120.27.14.232 RVM
                          N046.39.59.456 W120.27.49.181 N046.39.59.454 W120.28.06.656 RVM
    ; M94
                          N046.41.38.088 W119.55.11.014 N046.41.37.627 W119.55.04.192 RVM
                          N046.41.37.627 W119.55.04.192 N046.41.36.262 W119.54.57.633 RVM
                          N046.41.36.262 W119.54.57.633 N046.41.34.045 W119.54.51.588 RVM
                          N046.41.34.045 W119.54.51.588 N046.41.31.062 W119.54.46.289 RVM
                          N046.41.31.062 W119.54.46.289 N046.41.27.428 W119.54.41.941 RVM
                          N046.41.27.428 W119.54.41.941 N046.41.23.281 W119.54.38.711 RVM
                          N046.41.23.281 W119.54.38.711 N046.41.18.782 W119.54.36.722 RVM
                          N046.41.18.782 W119.54.36.722 N046.41.14.103 W119.54.36.051 RVM
                          N046.41.14.103 W119.54.36.051 N046.41.09.424 W119.54.36.724 RVM
                          N046.41.09.424 W119.54.36.724 N046.41.04.925 W119.54.38.714 RVM
                          N046.41.04.925 W119.54.38.714 N046.41.00.778 W119.54.41.945 RVM
                          N046.41.00.778 W119.54.41.945 N046.40.57.144 W119.54.46.294 RVM
                          N046.40.57.144 W119.54.46.294 N046.40.54.162 W119.54.51.592 RVM
                          N046.40.54.162 W119.54.51.592 N046.40.51.946 W119.54.57.636 RVM
                          N046.40.51.946 W119.54.57.636 N046.40.50.581 W119.55.04.194 RVM
                          N046.40.50.581 W119.55.04.194 N046.40.50.120 W119.55.11.014 RVM
                          N046.40.50.120 W119.55.11.014 N046.40.50.581 W119.55.17.834 RVM
