((YKM-APP))               N000.00.00.000 E000.00.00.000 N000.00.00.000 E000.00.00.000
                          N046.25.19.404 W119.57.13.497 N046.24.16.367 W119.57.56.131 RVM
    ; YKM VORTAC DME Arc Left cross at FITIM
                          N046.31.40.872 W120.08.06.603 N046.32.50.044 W120.07.56.036 RVM
                          N046.32.53.293 W120.08.39.370 N046.32.46.790 W120.07.12.703 RVM
    ; KYKM 27 center cross at 12.0
                          N046.30.20.518 W120.15.12.825 N046.29.15.174 W120.15.47.442 RVM
    ; ELN VORTAC DME Arc Right cross at GEBTE
                          N046.51.25.796 W120.28.37.694 N046.51.39.080 W120.30.17.538 RVM
                          N046.52.08.512 W120.30.09.196 N046.51.09.647 W120.30.25.877 RVM
    ; ELN VORTAC final approach cross at FEDVU
                          N046.55.20.473 W120.15.55.139 N046.54.27.981 W120.17.01.941 RVM
                          N046.55.33.666 W120.17.34.670 N046.54.54.228 W120.16.28.545 RVM
    ; ELN VORTAC DME Arc Right cross at KADSE
                          N046.54.22.414 W120.27.47.507 N046.54.35.697 W120.29.27.442 RVM
                          N046.55.05.128 W120.29.19.085 N046.54.06.266 W120.29.35.797 RVM
    ; YKM VORTAC
                          N046.34.24.864 W120.26.40.692 N046.34.24.633 W120.26.37.289 RVM
                          N046.34.24.633 W120.26.37.289 N046.34.23.951 W120.26.34.016 RVM
                          N046.34.23.951 W120.26.34.016 N046.34.22.843 W120.26.31.000 RVM
                          N046.34.22.843 W120.26.31.000 N046.34.21.351 W120.26.28.357 RVM
                          N046.34.21.351 W120.26.28.357 N046.34.19.534 W120.26.26.188 RVM
                          N046.34.19.534 W120.26.26.188 N046.34.17.461 W120.26.24.576 RVM
                          N046.34.17.461 W120.26.24.576 N046.34.15.211 W120.26.23.583 RVM
                          N046.34.15.211 W120.26.23.583 N046.34.12.872 W120.26.23.248 RVM
                          N046.34.12.872 W120.26.23.248 N046.34.10.532 W120.26.23.584 RVM
                          N046.34.10.532 W120.26.23.584 N046.34.08.283 W120.26.24.577 RVM
                          N046.34.08.283 W120.26.24.577 N046.34.06.209 W120.26.26.189 RVM
                          N046.34.06.209 W120.26.26.189 N046.34.04.392 W120.26.28.358 RVM
                          N046.34.04.392 W120.26.28.358 N046.34.02.901 W120.26.31.001 RVM
                          N046.34.02.901 W120.26.31.001 N046.34.01.793 W120.26.34.017 RVM
                          N046.34.01.793 W120.26.34.017 N046.34.01.110 W120.26.37.289 RVM
                          N046.34.01.110 W120.26.37.289 N046.34.00.880 W120.26.40.692 RVM
                          N046.34.00.880 W120.26.40.692 N046.34.01.110 W120.26.44.095 RVM
                          N046.34.01.110 W120.26.44.095 N046.34.01.793 W120.26.47.367 RVM
                          N046.34.01.793 W120.26.47.367 N046.34.02.901 W120.26.50.383 RVM
                          N046.34.02.901 W120.26.50.383 N046.34.04.392 W120.26.53.026 RVM
                          N046.34.04.392 W120.26.53.026 N046.34.06.209 W120.26.55.195 RVM
                          N046.34.06.209 W120.26.55.195 N046.34.08.283 W120.26.56.807 RVM
                          N046.34.08.283 W120.26.56.807 N046.34.10.532 W120.26.57.800 RVM
                          N046.34.10.532 W120.26.57.800 N046.34.12.872 W120.26.58.136 RVM
                          N046.34.12.872 W120.26.58.136 N046.34.15.211 W120.26.57.801 RVM
                          N046.34.15.211 W120.26.57.801 N046.34.17.461 W120.26.56.808 RVM
                          N046.34.17.461 W120.26.56.808 N046.34.19.534 W120.26.55.196 RVM
                          N046.34.19.534 W120.26.55.196 N046.34.21.351 W120.26.53.027 RVM
                          N046.34.21.351 W120.26.53.027 N046.34.22.843 W120.26.50.384 RVM
                          N046.34.22.843 W120.26.50.384 N046.34.23.951 W120.26.47.368 RVM
                          N046.34.23.951 W120.26.47.368 N046.34.24.633 W120.26.44.095 RVM
                          N046.34.24.633 W120.26.44.095 N046.34.24.864 W120.26.40.692 RVM
    ; ELN VORTAC
                          N047.01.39.654 W120.27.30.228 N047.01.39.423 W120.27.26.796 RVM
                          N047.01.39.423 W120.27.26.796 N047.01.38.741 W120.27.23.496 RVM
                          N047.01.38.741 W120.27.23.496 N047.01.37.633 W120.27.20.454 RVM
                          N047.01.37.633 W120.27.20.454 N047.01.36.141 W120.27.17.788 RVM
                          N047.01.36.141 W120.27.17.788 N047.01.34.324 W120.27.15.601 RVM
                          N047.01.34.324 W120.27.15.601 N047.01.32.251 W120.27.13.975 RVM
                          N047.01.32.251 W120.27.13.975 N047.01.30.001 W120.27.12.974 RVM
                          N047.01.30.001 W120.27.12.974 N047.01.27.662 W120.27.12.637 RVM
                          N047.01.27.662 W120.27.12.637 N047.01.25.322 W120.27.12.975 RVM
                          N047.01.25.322 W120.27.12.975 N047.01.23.073 W120.27.13.976 RVM
                          N047.01.23.073 W120.27.13.976 N047.01.20.999 W120.27.15.602 RVM
                          N047.01.20.999 W120.27.15.602 N047.01.19.182 W120.27.17.789 RVM
                          N047.01.19.182 W120.27.17.789 N047.01.17.691 W120.27.20.455 RVM
                          N047.01.17.691 W120.27.20.455 N047.01.16.583 W120.27.23.496 RVM
                          N047.01.16.583 W120.27.23.496 N047.01.15.901 W120.27.26.796 RVM
                          N047.01.15.901 W120.27.26.796 N047.01.15.670 W120.27.30.228 RVM
                          N047.01.15.670 W120.27.30.228 N047.01.15.901 W120.27.33.660 RVM
                          N047.01.15.901 W120.27.33.660 N047.01.16.583 W120.27.36.960 RVM
                          N047.01.16.583 W120.27.36.960 N047.01.17.691 W120.27.40.001 RVM
                          N047.01.17.691 W120.27.40.001 N047.01.19.182 W120.27.42.667 RVM
                          N047.01.19.182 W120.27.42.667 N047.01.20.999 W120.27.44.854 RVM
                          N047.01.20.999 W120.27.44.854 N047.01.23.073 W120.27.46.480 RVM
                          N047.01.23.073 W120.27.46.480 N047.01.25.322 W120.27.47.481 RVM
                          N047.01.25.322 W120.27.47.481 N047.01.27.662 W120.27.47.820 RVM
                          N047.01.27.662 W120.27.47.820 N047.01.30.001 W120.27.47.482 RVM
                          N047.01.30.001 W120.27.47.482 N047.01.32.251 W120.27.46.481 RVM
                          N047.01.32.251 W120.27.46.481 N047.01.34.324 W120.27.44.855 RVM
                          N047.01.34.324 W120.27.44.855 N047.01.36.141 W120.27.42.668 RVM
                          N047.01.36.141 W120.27.42.668 N047.01.37.633 W120.27.40.002 RVM
                          N047.01.37.633 W120.27.40.002 N047.01.38.741 W120.27.36.960 RVM
                          N047.01.38.741 W120.27.36.960 N047.01.39.423 W120.27.33.660 RVM
                          N047.01.39.423 W120.27.33.660 N047.01.39.654 W120.27.30.228 RVM
    ; LTJ VORDME
                          N045.43.00.831 W121.06.03.049 N045.43.00.600 W121.05.59.698 RVM
                          N045.43.00.600 W121.05.59.698 N045.42.59.918 W121.05.56.476 RVM
                          N045.42.59.918 W121.05.56.476 N045.42.58.810 W121.05.53.507 RVM
                          N045.42.58.810 W121.05.53.507 N045.42.57.318 W121.05.50.904 RVM
                          N045.42.57.318 W121.05.50.904 N045.42.55.501 W121.05.48.769 RVM
                          N045.42.55.501 W121.05.48.769 N045.42.53.428 W121.05.47.182 RVM
                          N045.42.53.428 W121.05.47.182 N045.42.51.178 W121.05.46.204 RVM
                          N045.42.51.178 W121.05.46.204 N045.42.48.839 W121.05.45.875 RVM
                          N045.42.48.839 W121.05.45.875 N045.42.46.499 W121.05.46.205 RVM
                          N045.42.46.499 W121.05.46.205 N045.42.44.250 W121.05.47.182 RVM
                          N045.42.44.250 W121.05.47.182 N045.42.42.176 W121.05.48.770 RVM
                          N045.42.42.176 W121.05.48.770 N045.42.40.359 W121.05.50.905 RVM
                          N045.42.40.359 W121.05.50.905 N045.42.38.868 W121.05.53.508 RVM
                          N045.42.38.868 W121.05.53.508 N045.42.37.760 W121.05.56.477 RVM
                          N045.42.37.760 W121.05.56.477 N045.42.37.078 W121.05.59.699 RVM
                          N045.42.37.078 W121.05.59.699 N045.42.36.847 W121.06.03.049 RVM
                          N045.42.36.847 W121.06.03.049 N045.42.37.078 W121.06.06.399 RVM
                          N045.42.37.078 W121.06.06.399 N045.42.37.760 W121.06.09.621 RVM
                          N045.42.37.760 W121.06.09.621 N045.42.38.868 W121.06.12.590 RVM
                          N045.42.38.868 W121.06.12.590 N045.42.40.359 W121.06.15.193 RVM
                          N045.42.40.359 W121.06.15.193 N045.42.42.176 W121.06.17.328 RVM
                          N045.42.42.176 W121.06.17.328 N045.42.44.250 W121.06.18.916 RVM
                          N045.42.44.250 W121.06.18.916 N045.42.46.499 W121.06.19.893 RVM
                          N045.42.46.499 W121.06.19.893 N045.42.48.839 W121.06.20.223 RVM
                          N045.42.48.839 W121.06.20.223 N045.42.51.178 W121.06.19.894 RVM
                          N045.42.51.178 W121.06.19.894 N045.42.53.428 W121.06.18.916 RVM
                          N045.42.53.428 W121.06.18.916 N045.42.55.501 W121.06.17.329 RVM
                          N045.42.55.501 W121.06.17.329 N045.42.57.318 W121.06.15.194 RVM
                          N045.42.57.318 W121.06.15.194 N045.42.58.810 W121.06.12.591 RVM
                          N045.42.58.810 W121.06.12.591 N045.42.59.918 W121.06.09.622 RVM
                          N045.42.59.918 W121.06.09.622 N045.43.00.600 W121.06.06.400 RVM
                          N045.43.00.600 W121.06.06.400 N045.43.00.831 W121.06.03.049 RVM
    ; ADOJA
                          N045.58.54.761 W121.20.39.347 N045.57.38.051 W121.22.34.631 RVM
                          N045.58.02.834 W121.22.54.370 N045.58.29.972 W121.20.19.620 RVM
    ; AMPLE
                          N046.06.44.706 W119.38.36.627 N046.07.55.864 W119.40.39.395 RVM
                          N046.07.39.844 W119.38.23.116 N046.07.00.722 W119.40.52.869 RVM
    ; ANGOO
                          N046.17.04.091 W121.12.35.670 N046.16.10.757 W121.14.56.391 RVM
                          N046.15.42.659 W121.13.33.413 N046.17.32.201 W121.13.58.674 RVM
    ; AYISO
                          N047.03.21.358 W120.26.15.403 N047.05.02.559 W120.25.08.719 RVM
                          N047.03.49.244 W120.24.27.787 N047.04.34.663 W120.26.56.370 RVM
    ; BANDR
                          N047.15.47.294 W121.30.49.726 N047.15.12.972 W121.28.14.308 RVM
                          N047.14.37.398 W121.29.57.288 N047.16.22.880 W121.29.06.718 RVM
    ; BAKCA
                          N046.29.21.945 W119.09.46.581 N046.31.11.734 W119.10.09.585 RVM
                          N046.29.45.526 W119.08.51.578 N046.30.48.143 W119.11.04.604 RVM
    ; BEEHI
                          N047.19.42.944 W120.15.28.586 N047.18.01.713 W120.16.35.476 RVM
                          N047.18.58.735 W120.14.40.780 N047.18.45.909 W120.17.23.295 RVM
    ; BEEZR
                          N047.07.11.355 W120.52.26.700 N047.07.46.491 W120.55.01.334 RVM
                          N047.06.40.537 W120.53.04.192 N047.08.17.320 W120.54.23.848 RVM
    ; BENTY
                          N046.16.43.531 W119.24.05.045 N046.16.52.134 W119.26.45.059 RVM
                          N046.15.59.933 W119.24.44.619 N046.17.35.743 W119.26.05.500 RVM
    ; BOVYA
                          N047.03.28.122 W120.15.33.126 N047.03.54.503 W120.12.54.963 RVM
                          N047.02.47.448 W120.13.54.692 N047.04.35.191 W120.14.33.419 RVM
    ; BRUKK
                          N046.10.53.342 W119.45.46.481 N046.12.04.369 W119.47.49.561 RVM
                          N046.12.21.859 W119.46.24.395 N046.10.35.859 W119.47.11.612 RVM
    ; CADED
                          N046.43.21.723 W120.45.51.453 N046.44.24.806 W120.48.04.569 RVM
                          N046.44.38.888 W120.46.11.971 N046.43.07.647 W120.47.44.008 RVM
    ; CASHS
                          N047.24.19.322 W120.26.08.124 N047.24.23.262 W120.28.51.917 RVM
                          N047.23.25.837 W120.27.30.028 N047.25.16.763 W120.27.30.012 RVM
    ; CIDOG
                          N046.46.16.939 W120.27.02.354 N046.48.07.841 W120.27.05.687 RVM
                          N046.47.13.523 W120.25.43.036 N046.47.11.241 W120.28.25.003 RVM
    ; CHINS
                          N046.48.09.961 W120.56.00.334 N046.49.12.868 W120.58.13.827 RVM
                          N046.49.11.170 W120.55.58.672 N046.48.11.658 W120.58.15.447 RVM
    ; COYYA
                          N047.15.05.994 W119.47.53.001 N047.14.16.293 W119.50.19.080 RVM
                          N047.15.09.173 W119.50.16.558 N047.14.13.115 W119.47.55.562 RVM
    ; DATVE
                          N046.48.15.511 W120.38.00.730 N046.49.52.485 W120.39.19.429 RVM
                          N046.49.30.922 W120.37.29.206 N046.48.37.066 W120.39.50.914 RVM
    ; DOFDO
                          N047.06.33.398 W119.56.53.309 N047.06.59.347 W119.54.14.840 RVM
                          N047.05.52.456 W119.55.15.021 N047.07.40.303 W119.55.53.149 RVM
    ; EDSEW
                          N047.07.50.678 W119.49.00.323 N047.08.16.447 W119.46.21.726 RVM
                          N047.07.09.624 W119.47.22.095 N047.08.57.515 W119.47.59.975 RVM
    ; FEBUS
                          N046.53.23.454 W119.53.15.495 N046.54.34.336 W119.51.10.622 RVM
                          N046.54.15.542 W119.53.30.505 N046.53.42.244 W119.50.55.649 RVM
    ; GLEED
                          N046.37.16.721 W120.33.03.831 N046.38.20.148 W120.35.16.351 RVM
                          N046.38.42.907 W120.33.54.844 N046.36.53.972 W120.34.25.307 RVM
    ; GROMO
                          N046.34.20.760 W120.38.22.359 N046.34.22.405 W120.41.03.702 RVM
                          N046.35.17.046 W120.39.41.833 N046.33.26.134 W120.39.44.226 RVM
    ; GUBSE
                          N046.20.56.114 W120.36.58.328 N046.19.18.203 W120.38.13.833 RVM
                          N046.20.33.220 W120.38.47.005 N046.19.41.088 W120.36.25.194 RVM
    ; HITCH
                          N046.23.55.197 W120.42.35.579 N046.22.39.095 W120.44.32.578 RVM
                          N046.23.57.497 W120.44.29.266 N046.22.36.795 W120.42.38.937 RVM
    ; MARLI
                          N046.21.41.130 W119.31.56.970 N046.22.16.716 W119.34.29.224 RVM
                          N046.22.53.413 W119.32.58.049 N046.21.04.446 W119.33.28.123 RVM
    ; MARRK
                          N046.28.00.268 W119.59.15.427 N046.27.25.258 W119.56.42.626 RVM
                          N046.28.30.584 W119.57.18.213 N046.26.54.952 W119.58.39.807 RVM
    ; NIALS
                          N046.34.24.159 W119.28.38.324 N046.35.50.474 W119.30.19.698 RVM
                          N046.36.01.812 W119.29.13.967 N046.34.12.828 W119.29.44.025 RVM
    ; ODECE
                          N046.53.47.269 W119.14.56.823 N046.51.57.511 W119.14.33.343 RVM
                          N046.52.44.358 W119.16.05.366 N046.53.00.407 W119.13.24.787 RVM
    ; OLFUS
                          N046.38.27.040 W119.11.41.480 N046.40.16.820 W119.12.04.647 RVM
                          N046.39.29.873 W119.10.33.086 N046.39.13.972 W119.13.13.027 RVM
    ; OZODU
                          N046.08.52.944 W119.33.56.035 N046.08.14.203 W119.36.26.050 RVM
                          N046.09.25.549 W119.35.39.014 N046.07.41.609 W119.34.43.100 RVM
    ; OZONI
                          N046.36.04.589 W119.11.11.495 N046.37.54.370 W119.11.34.632 RVM
                          N046.37.07.418 W119.10.03.144 N046.36.51.526 W119.12.42.970 RVM
    ; PAIDS
                          N046.20.34.708 W119.26.19.399 N046.21.11.898 W119.28.50.795 RVM
                          N046.21.48.425 W119.27.26.102 N046.19.58.195 W119.27.44.073 RVM
    ; PAPPS
                          N046.26.33.376 W119.52.56.411 N046.25.58.230 W119.50.23.743 RVM
                          N046.27.05.859 W119.51.05.384 N046.25.25.759 W119.52.14.738 RVM
    ; PEBLA
                          N046.23.31.185 W119.39.49.811 N046.24.06.581 W119.42.22.243 RVM
                          N046.24.41.452 W119.40.40.351 N046.22.56.326 W119.41.31.675 RVM
    ; PERTT
                          N046.53.53.489 W120.42.35.577 N046.55.30.407 W120.43.54.563 RVM
                          N046.55.11.561 W120.42.06.405 N046.54.12.328 W120.44.23.694 RVM
    ; PLUSS
                          N047.11.16.723 W119.32.28.625 N047.09.34.374 W119.33.31.538 RVM
                          N047.10.38.265 W119.31.40.671 N047.10.12.820 W119.34.19.498 RVM
    ; QUINT
                          N047.12.25.383 W119.55.44.000 N047.13.15.184 W119.53.18.081 RVM
                          N047.12.50.064 W119.53.09.400 N047.12.50.500 W119.55.52.701 RVM
    ; RADDY
                          N047.04.59.193 W121.32.05.452 N047.03.56.976 W121.29.50.610 RVM
                          N047.04.34.601 W121.32.18.895 N047.04.21.564 W121.29.37.150 RVM
    ; RUBEL
                          N047.02.27.810 W119.37.12.358 N047.01.17.141 W119.39.17.799 RVM
                          N047.01.52.079 W119.39.36.459 N047.01.52.865 W119.36.53.721 RVM
    ; SELAH
                          N046.42.57.473 W120.32.43.753 N046.41.08.546 W120.33.14.318 RVM
                          N046.41.14.482 W120.32.19.889 N046.42.51.534 W120.33.38.211 RVM
    ; SIMCO
                          N046.23.54.426 W120.52.20.281 N046.25.42.453 W120.51.43.749 RVM
                          N046.25.14.876 W120.50.51.297 N046.24.21.992 W120.53.12.724 RVM
    ; SUNED
                          N046.18.16.957 W119.58.37.801 N046.17.06.134 W119.56.34.242 RVM
                          N046.18.31.626 W119.57.01.497 N046.16.51.471 W119.58.10.506 RVM
    ; SWANY
                          N046.08.38.540 W121.04.36.162 N046.10.29.380 W121.04.29.896 RVM
                          N046.10.12.170 W121.03.34.987 N046.08.55.741 W121.05.31.051 RVM
    ; TAMPO
                          N046.34.27.703 W120.50.34.353 N046.34.29.061 W120.53.15.708 RVM
                          N046.35.15.617 W120.51.12.719 N046.33.41.159 W120.52.37.320 RVM
    ; THICK
                          N047.02.25.407 W120.48.15.859 N047.02.32.657 W120.50.58.284 RVM
                          N047.01.40.618 W120.48.57.389 N047.03.17.458 W120.50.16.771 RVM
    ; TITON
                          N046.42.11.836 W120.43.23.583 N046.43.14.993 W120.45.36.578 RVM
                          N046.43.30.604 W120.43.47.551 N046.41.56.231 W120.45.12.569 RVM
    ; TROTS
                          N045.56.04.919 W121.34.02.338 N045.56.32.307 W121.31.27.771 RVM
                          N045.55.46.174 W121.31.40.383 N045.56.51.056 W121.33.49.758 RVM
    ; TUDGY
                          N046.34.27.396 W120.49.58.323 N046.34.28.768 W120.52.39.677 RVM
                          N046.35.23.548 W120.51.18.002 N046.33.32.632 W120.51.19.998 RVM
    ; VIRTU
                          N046.12.34.524 W119.20.20.358 N046.11.58.103 W119.22.51.748 RVM
                          N046.11.28.389 W119.20.55.743 N046.13.04.247 W119.22.16.396 RVM
    ; WENAS
                          N046.35.02.886 W120.38.18.755 N046.35.14.219 W120.40.59.310 RVM
                          N046.36.03.732 W120.39.30.783 N046.34.13.388 W120.39.47.272 RVM
    ; WHYTE
                          N046.34.42.291 W121.37.16.331 N046.34.42.553 W121.39.57.709 RVM
                          N046.35.05.849 W121.39.50.167 N046.34.18.998 W121.37.23.890 RVM
    ; WIKIK
                          N046.28.30.879 W120.42.05.158 N046.27.38.169 W120.44.26.863 RVM
                          N046.28.53.329 W120.43.54.294 N046.27.15.728 W120.42.37.765 RVM
    ; WOREM
                          N046.34.30.951 W120.57.12.400 N046.34.32.154 W120.59.53.760 RVM
                          N046.35.27.019 W120.58.32.205 N046.33.36.101 W120.58.33.955 RVM
    ; YABLU
                          N046.20.03.225 W120.37.39.320 N046.18.25.312 W120.38.54.802 RVM
                          N046.19.40.329 W120.39.27.967 N046.18.48.199 W120.37.06.192 RVM
                          N047.09.27.746 W121.41.49.598 N047.05.32.822 W121.33.18.412 RVM
                          N047.03.20.805 W121.28.32.294 N046.50.23.352 W121.00.43.776 RVM
                          N047.05.44.348 W120.52.17.792 N047.03.59.749 W120.50.51.668 RVM
                          N047.00.44.352 W120.48.11.265 N046.56.22.555 W120.44.37.159 RVM
                          N046.59.29.929 W120.28.03.651 N046.55.34.454 W120.29.10.375 RVM
                          N046.59.27.769 W120.27.26.567 N046.55.27.983 W120.27.19.257 RVM
                          N046.52.42.249 W119.54.28.015 N046.46.56.773 W120.04.33.944 RVM
                          N045.44.34.976 W121.04.43.089 N046.14.36.905 W120.41.50.714 RVM
                          N045.56.48.201 W121.29.57.938 N045.57.47.160 W121.24.23.544 RVM
                          N045.59.39.307 W121.19.32.298 N046.07.55.897 W121.07.01.903 RVM
                          N046.10.56.543 W121.02.27.469 N046.17.48.881 W120.51.58.090 RVM
                          N046.03.41.330 W121.47.33.020 N046.15.46.925 W121.15.59.230 RVM
                          N046.17.35.066 W121.11.13.870 N046.19.58.911 W121.04.53.057 RVM
                          N046.34.42.111 W121.35.42.558 N046.34.35.402 W121.08.05.217 RVM
                          N046.35.33.049 W121.41.15.199 N046.41.00.596 W121.58.25.360 RVM
                          N046.22.08.910 W120.05.23.546 N046.19.35.995 W120.00.55.873 RVM
                          N046.16.24.957 W119.55.22.492 N046.12.34.919 W119.48.42.560 RVM
                          N046.10.12.073 W119.44.34.976 N046.08.16.813 W119.41.15.619 RVM
                          N046.06.03.341 W119.37.25.329 N045.58.20.755 W119.24.11.458 RVM
                          N046.25.37.698 W119.48.55.096 N046.24.21.275 W119.43.25.341 RVM
                          N046.23.10.651 W119.38.21.232 N046.22.32.346 W119.35.36.507 RVM
                          N046.20.13.072 W119.24.51.452 N046.16.30.606 W119.09.52.641 RVM
                          N046.23.20.000 W121.07.34.000 N046.24.30.000 W121.11.30.000 RVM
                          N046.24.30.000 W121.11.30.000 N046.26.57.903 W121.10.18.511 RVM
                          N046.39.32.173 W121.04.12.152 N046.42.00.000 W121.03.00.000 RVM
                          N046.42.00.000 W121.03.00.000 N046.44.25.314 W121.01.37.654 RVM
                          N046.54.04.768 W120.56.07.965 N046.56.30.000 W120.54.45.000 RVM
                          N046.56.30.000 W120.54.45.000 N046.56.20.299 W120.50.57.112 RVM
                          N046.55.40.328 W120.35.47.770 N046.55.30.000 W120.32.00.000 RVM
                          N046.55.30.000 W120.32.00.000 N046.55.16.842 W120.28.12.557 RVM
                          N046.54.43.594 W120.18.47.333 N046.54.30.000 W120.15.00.000 RVM
                          N046.54.30.000 W120.15.00.000 N046.53.30.000 W120.11.30.000 RVM
                          N046.53.30.000 W120.11.30.000 N046.52.30.000 W120.09.30.000 RVM
                          N046.52.30.000 W120.09.30.000 N046.51.00.000 W120.08.30.000 RVM
                          N046.51.00.000 W120.08.30.000 N046.49.30.000 W120.09.30.000 RVM
                          N046.49.30.000 W120.09.30.000 N046.47.49.436 W120.06.35.949 RVM
                          N046.45.40.731 W120.02.53.640 N046.44.00.000 W120.00.00.000 RVM
                          N046.44.00.000 W120.00.00.000 N046.44.00.000 W119.55.30.000 RVM
                          N046.44.00.000 W119.55.30.000 N046.41.24.105 W119.55.30.000 RVM
                          N046.40.05.895 W119.55.30.000 N046.37.30.000 W119.55.30.000 RVM
                          N046.37.30.000 W119.55.30.000 N046.34.54.105 W119.55.30.000 RVM
                          N046.32.35.895 W119.55.30.000 N046.30.00.000 W119.55.30.000 RVM
                          N046.30.00.000 W119.55.30.000 N046.27.58.028 W119.57.50.999 RVM
                          N046.17.02.276 W120.10.25.112 N046.15.00.000 W120.12.45.000 RVM
                          N046.15.00.000 W120.12.45.000 N046.15.00.409 W120.16.30.439 RVM
                          N046.15.00.409 W120.37.44.561 N046.15.00.000 W120.41.30.000 RVM
                          N046.15.00.000 W120.41.30.000 N046.16.05.824 W120.44.54.392 RVM
                          N046.22.14.850 W121.04.08.704 N046.23.20.000 W121.07.34.000 RVM
                          N046.44.00.000 W119.55.30.000 N046.43.57.217 W119.51.42.585 RVM
                          N046.43.19.921 W119.11.27.024 N046.43.15.684 W119.07.39.705 RVM
                          N046.43.15.684 W119.07.39.705 N046.43.19.921 W119.11.27.024 RVM
                          N046.43.57.217 W119.51.42.585 N046.44.00.000 W119.55.30.000 RVM
                          N046.51.00.000 W120.08.30.000 N046.53.24.908 W120.07.05.912 RVM
                          N047.06.35.203 W119.59.24.909 N047.09.00.000 W119.58.00.000 RVM
                          N047.09.00.000 W119.58.00.000 N047.06.35.203 W119.59.24.909 RVM
                          N046.53.24.908 W120.07.05.912 N046.51.00.000 W120.08.30.000 RVM
                          N046.15.00.000 W120.12.45.000 N046.13.26.217 W120.09.44.959 RVM
                          N045.54.34.792 W119.33.57.834 N045.53.00.000 W119.31.00.000 RVM
                          N045.53.00.000 W119.31.00.000 N045.54.34.792 W119.33.57.834 RVM
                          N046.13.26.217 W120.09.44.959 N046.15.00.000 W120.12.45.000 RVM
