((PSC-APP))               N000.00.00.000 E000.00.00.000 N000.00.00.000 E000.00.00.000
                          N046.33.25.489 W118.32.10.948 N046.33.25.028 W118.32.04.143 RVM 
                          N046.33.25.028 W118.32.04.143 N046.33.23.663 W118.31.57.601 RVM 
                          N046.33.23.663 W118.31.57.601 N046.33.21.446 W118.31.51.571 RVM 
                          N046.33.21.446 W118.31.51.571 N046.33.18.463 W118.31.46.286 RVM 
                          N046.33.18.463 W118.31.46.286 N046.33.14.829 W118.31.41.949 RVM 
                          N046.33.14.829 W118.31.41.949 N046.33.10.682 W118.31.38.727 RVM 
                          N046.33.10.682 W118.31.38.727 N046.33.06.183 W118.31.36.743 RVM 
                          N046.33.06.183 W118.31.36.743 N046.33.01.504 W118.31.36.073 RVM 
                          N046.33.01.504 W118.31.36.073 N046.32.56.825 W118.31.36.744 RVM 
                          N046.32.56.825 W118.31.36.744 N046.32.52.326 W118.31.38.730 RVM 
                          N046.32.52.326 W118.31.38.730 N046.32.48.179 W118.31.41.953 RVM 
                          N046.32.48.179 W118.31.41.953 N046.32.44.545 W118.31.46.290 RVM 
                          N046.32.44.545 W118.31.46.290 N046.32.41.563 W118.31.51.575 RVM 
                          N046.32.41.563 W118.31.51.575 N046.32.39.347 W118.31.57.604 RVM 
                          N046.32.39.347 W118.31.57.604 N046.32.37.982 W118.32.04.145 RVM 
                          N046.32.37.982 W118.32.04.145 N046.32.37.521 W118.32.10.948 RVM 
                          N046.32.37.521 W118.32.10.948 N046.32.37.982 W118.32.17.751 RVM 
                          N046.32.37.982 W118.32.17.751 N046.32.39.347 W118.32.24.292 RVM 
                          N046.32.39.347 W118.32.24.292 N046.32.41.563 W118.32.30.321 RVM 
                          N046.32.41.563 W118.32.30.321 N046.32.44.545 W118.32.35.606 RVM 
                          N046.32.44.545 W118.32.35.606 N046.32.48.179 W118.32.39.943 RVM 
                          N046.32.48.179 W118.32.39.943 N046.32.52.326 W118.32.43.166 RVM 
                          N046.32.52.326 W118.32.43.166 N046.32.56.825 W118.32.45.152 RVM 
                          N046.32.56.825 W118.32.45.152 N046.33.01.504 W118.32.45.823 RVM 
                          N046.33.01.504 W118.32.45.823 N046.33.06.183 W118.32.45.153 RVM 
                          N046.33.06.183 W118.32.45.153 N046.33.10.682 W118.32.43.169 RVM 
                          N046.33.10.682 W118.32.43.169 N046.33.14.829 W118.32.39.947 RVM 
                          N046.33.14.829 W118.32.39.947 N046.33.18.463 W118.32.35.610 RVM 
                          N046.33.18.463 W118.32.35.610 N046.33.21.446 W118.32.30.325 RVM 
                          N046.33.21.446 W118.32.30.325 N046.33.23.663 W118.32.24.295 RVM 
                          N046.33.23.663 W118.32.24.295 N046.33.25.028 W118.32.17.752 RVM 
                          N046.33.25.028 W118.32.17.752 N046.33.25.489 W118.32.10.948 RVM 
                          N046.33.25.489 W118.32.10.948 N046.33.37.481 W118.32.10.948 RVM 
                          N046.33.01.504 W118.31.36.073 N046.33.01.502 W118.31.18.636 RVM 
                          N046.32.37.521 W118.32.10.948 N046.32.25.529 W118.32.10.948 RVM 
                          N046.33.01.504 W118.32.45.823 N046.33.01.502 W118.33.03.260 RVM 
    ; 1S5
                          N046.20.01.448 W119.58.13.305 N046.20.00.987 W119.58.06.528 RVM 
                          N046.20.00.987 W119.58.06.528 N046.19.59.622 W119.58.00.012 RVM 
                          N046.19.59.622 W119.58.00.012 N046.19.57.405 W119.57.54.007 RVM 
                          N046.19.57.405 W119.57.54.007 N046.19.54.422 W119.57.48.744 RVM 
                          N046.19.54.422 W119.57.48.744 N046.19.50.788 W119.57.44.425 RVM 
                          N046.19.50.788 W119.57.44.425 N046.19.46.641 W119.57.41.215 RVM 
                          N046.19.46.641 W119.57.41.215 N046.19.42.142 W119.57.39.240 RVM 
                          N046.19.42.142 W119.57.39.240 N046.19.37.463 W119.57.38.573 RVM 
                          N046.19.37.463 W119.57.38.573 N046.19.32.784 W119.57.39.241 RVM 
                          N046.19.32.784 W119.57.39.241 N046.19.28.285 W119.57.41.218 RVM 
                          N046.19.28.285 W119.57.41.218 N046.19.24.138 W119.57.44.428 RVM 
                          N046.19.24.138 W119.57.44.428 N046.19.20.504 W119.57.48.748 RVM 
                          N046.19.20.504 W119.57.48.748 N046.19.17.522 W119.57.54.011 RVM 
                          N046.19.17.522 W119.57.54.011 N046.19.15.306 W119.58.00.015 RVM 
                          N046.19.15.306 W119.58.00.015 N046.19.13.941 W119.58.06.530 RVM 
                          N046.19.13.941 W119.58.06.530 N046.19.13.480 W119.58.13.305 RVM 
                          N046.19.13.480 W119.58.13.305 N046.19.13.941 W119.58.20.080 RVM 
                          N046.19.13.941 W119.58.20.080 N046.19.15.306 W119.58.26.595 RVM 
                          N046.19.15.306 W119.58.26.595 N046.19.17.522 W119.58.32.599 RVM 
                          N046.19.17.522 W119.58.32.599 N046.19.20.504 W119.58.37.862 RVM 
                          N046.19.20.504 W119.58.37.862 N046.19.24.138 W119.58.42.182 RVM 
                          N046.19.24.138 W119.58.42.182 N046.19.28.285 W119.58.45.392 RVM 
                          N046.19.28.285 W119.58.45.392 N046.19.32.784 W119.58.47.369 RVM 
                          N046.19.32.784 W119.58.47.369 N046.19.37.463 W119.58.48.037 RVM 
                          N046.19.37.463 W119.58.48.037 N046.19.42.142 W119.58.47.370 RVM 
                          N046.19.42.142 W119.58.47.370 N046.19.46.641 W119.58.45.395 RVM 
                          N046.19.46.641 W119.58.45.395 N046.19.50.788 W119.58.42.185 RVM 
                          N046.19.50.788 W119.58.42.185 N046.19.54.422 W119.58.37.866 RVM 
                          N046.19.54.422 W119.58.37.866 N046.19.57.405 W119.58.32.603 RVM 
                          N046.19.57.405 W119.58.32.603 N046.19.59.622 W119.58.26.598 RVM 
                          N046.19.59.622 W119.58.26.598 N046.20.00.987 W119.58.20.082 RVM 
                          N046.20.00.987 W119.58.20.082 N046.20.01.448 W119.58.13.305 RVM 
                          N046.20.01.448 W119.58.13.305 N046.20.13.440 W119.58.13.305 RVM 
                          N046.19.37.463 W119.57.38.573 N046.19.37.461 W119.57.21.207 RVM 
                          N046.19.13.480 W119.58.13.305 N046.19.01.488 W119.58.13.305 RVM 
                          N046.19.37.463 W119.58.48.037 N046.19.37.461 W119.59.05.403 RVM 
    ; KHRI
                          N045.50.05.584 W119.15.33.000 N045.50.05.123 W119.15.26.284 RVM 
                          N045.50.05.123 W119.15.26.284 N045.50.03.758 W119.15.19.827 RVM 
                          N045.50.03.758 W119.15.19.827 N045.50.01.541 W119.15.13.876 RVM 
                          N045.50.01.541 W119.15.13.876 N045.49.58.558 W119.15.08.660 RVM 
