;(S31)                     N000.00.00.000 E000.00.00.000 N000.00.00.000 E000.00.00.000
                          N047.08.00.000 W120.22.00.000 N047.17.54.000 W120.08.03.000 sector  ; 26-25-CL
                          N047.17.54.000 W120.08.03.000 N047.36.17.000 W120.06.08.000 sector  ; 25-24-CL
                          N047.36.17.000 W120.06.08.000 N047.52.10.000 W120.14.00.000 sector  ; 24-23-CL
                          N047.52.10.000 W120.14.00.000 N048.06.30.000 W120.28.40.000 sector  ; 23-20-CL
                          N047.13.00.000 W120.45.00.000 N047.44.00.000 W120.39.00.000 sector  ; 18-19-CL
                          N048.06.30.000 W120.28.40.000 N047.44.00.000 W120.39.00.000 sector  ; 19-20-CL
                          N048.11.50.000 W121.31.19.000 N048.06.30.000 W120.28.40.000 sector  ; 54-12
                          N047.19.00.000 W121.53.00.000 N047.21.00.000 W121.42.00.000 sector  ; Overlap13-Overlap14
                          N047.21.00.000 W121.42.00.000 N047.21.00.000 W121.31.00.000 sector  ; Overlap14-55
                          N047.21.00.000 W121.31.00.000 N047.13.00.000 W120.45.00.000 sector  ; 55-52
                          N048.10.00.000 W121.58.00.000 N048.11.50.000 W121.31.19.000 sector  ; Overlap20-54
                          N047.37.00.000 W121.58.00.000 N048.00.00.000 W121.58.00.000 sector  ; Overlap16-Overlap19
                          N048.00.00.000 W121.58.00.000 N048.10.00.000 W121.58.00.000 sector  ; Overlap19-Overlap20
                          N047.37.01.000 W122.10.00.000 N047.37.00.000 W121.58.00.000 sector  ; Overlap11-Overlap16
                          N047.37.00.000 W121.58.00.000 N047.19.00.000 W121.53.00.000 sector  ; Overlap16-Overlap13
                          N047.19.00.000 W121.53.00.000 N047.19.00.000 W122.10.00.000 sector  ; Overlap13-Overlap12
                          N047.19.00.000 W122.10.00.000 N047.37.01.000 W122.10.00.000 sector  ; Overlap12-Overlap11
                          N047.13.00.000 W120.45.00.000 N047.08.00.000 W120.22.00.000 sector  ; 18-26-CL


