;(S42)                     N000.00.00.000 E000.00.00.000 N000.00.00.000 E000.00.00.000
                          N043.28.00.000 W122.33.00.000 N043.28.00.000 W122.58.00.000 sector  ; 22-23
                          N043.28.00.000 W122.58.00.000 N044.04.00.000 W125.20.00.000 sector  ; 23-25
                          N044.04.00.000 W125.20.00.000 N044.04.00.000 W126.36.00.000 sector  ; 25-26
                          N044.04.00.000 W126.36.00.000 N045.00.00.000 W126.30.00.000 sector  ; 26-27
                          N045.00.00.000 W126.30.00.000 N045.48.35.000 W126.50.49.000 sector  ; 27-1
                          N045.48.35.000 W126.50.49.000 N046.20.25.000 W125.43.37.000 sector  ; 1-3
                          N046.20.00.000 W123.50.00.000 N046.20.25.000 W125.43.37.000 sector  ; 5-3
                          N046.20.00.000 W123.50.00.000 N046.00.00.000 W123.18.31.000 sector  ; 5-6
                          N046.00.00.000 W123.18.31.000 N046.00.00.000 W122.48.00.000 sector  ; 6-7
                          N046.00.00.000 W122.48.00.000 N045.20.00.000 W122.51.00.000 sector  ; 7-29
                          N045.20.00.000 W122.51.00.000 N045.05.00.000 W122.47.00.000 sector  ; 29-30
                          N045.05.00.000 W122.47.00.000 N044.52.00.000 W122.32.00.000 sector  ; 30-31
                          N044.52.00.000 W122.32.00.000 N043.28.00.000 W122.33.00.000 sector  ; 31-22


