;(S46)                     N000.00.00.000 E000.00.00.000 N000.00.00.000 E000.00.00.000
                          N046.00.00.000 W122.48.00.000 N046.00.00.000 W122.10.00.000 sector  ; 7-8
                          N046.00.00.000 W122.10.00.000 N046.04.03.000 W121.57.15.000 sector  ; 8-9
                          N044.10.00.000 W121.15.49.000 N043.28.00.000 W122.33.00.000 sector  ; 20-22
                          N044.10.00.000 W121.15.49.000 N044.50.52.000 W121.26.04.000 sector  ; 20-33
                          N044.50.52.000 W121.26.04.000 N045.00.13.000 W121.42.17.000 sector  ; 33-32
                          N045.00.13.000 W121.42.17.000 N046.04.03.000 W121.57.15.000 sector  ; 32-9
                          N046.00.00.000 W122.48.00.000 N045.20.00.000 W122.51.00.000 sector  ; 7-29
                          N045.20.00.000 W122.51.00.000 N045.05.00.000 W122.47.00.000 sector  ; 29-30
                          N045.05.00.000 W122.47.00.000 N044.52.00.000 W122.32.00.000 sector  ; 30-31
                          N044.52.00.000 W122.32.00.000 N043.28.00.000 W122.33.00.000 sector  ; 31-22


