;(S13)                     N000.00.00.000 E000.00.00.000 N000.00.00.000 E000.00.00.000
                          N043.55.00.000 W121.47.00.000 N041.00.00.000 W121.01.25.000 sector ; 6-16
                          N043.55.00.000 W121.47.00.000 N044.10.00.000 W121.20.00.000 sector ; 6-7
                          N044.10.00.000 W121.20.00.000 N044.10.00.000 W119.45.00.000 sector ; 7-8
                          N044.10.00.000 W119.45.00.000 N043.44.00.000 W119.13.00.000 sector ; 8-9
                          N043.44.00.000 W119.13.00.000 N043.38.00.000 W119.17.00.000 sector ; 9-10
                          N043.38.00.000 W119.17.00.000 N042.40.00.000 W119.00.00.000 sector ; 10-12
                          N042.40.00.000 W119.00.00.000 N041.00.00.000 W119.30.00.000 sector ; 12-14
                          N041.00.00.000 W119.30.00.000 N041.00.00.000 W121.01.25.000 sector ; 14-16


