;(S36)                     N000.00.00.000 E000.00.00.000 N000.00.00.000 E000.00.00.000
                          N043.32.00.000 W126.40.00.000 N044.00.00.000 W125.30.00.000 sector ; 1-2
                          N044.00.00.000 W125.30.00.000 N044.00.00.000 W123.38.00.000 sector ; 2-3
                          N044.00.00.000 W123.38.00.000 N044.05.00.000 W123.17.00.000 sector ; 3-5
                          N044.05.00.000 W123.17.00.000 N044.03.00.000 W122.59.00.000 sector ; 5-6
                          N044.03.00.000 W122.59.00.000 N043.55.49.000 W122.35.11.000 sector ; 6-7
                          N043.55.49.000 W122.35.11.000 N043.47.21.000 W121.58.59.000 sector ; 7-8
                          N043.47.21.000 W121.58.59.000 N043.26.00.000 W121.54.00.000 sector ; 8-9
                          N042.23.00.000 W122.25.00.000 N042.42.00.000 W122.25.00.000 sector ; 33-34
                          N043.26.00.000 W121.54.00.000 N042.42.00.000 W122.25.00.000 sector ; 9-34
                          N042.25.00.000 W126.47.00.000 N042.25.00.000 W123.20.00.000 sector ; 28-31
                          N042.25.00.000 W123.20.00.000 N042.35.00.000 W122.54.00.000 sector ; 31-32
                          N042.35.00.000 W122.54.00.000 N042.23.00.000 W122.25.00.000 sector ; 32-33
                          N043.32.00.000 W126.40.00.000 N042.25.00.000 W126.47.00.000 sector ; 1-28


