;(S4)                     N000.00.00.000 E000.00.00.000 N000.00.00.000 E000.00.00.000
                          N045.48.35.000 W126.50.49.000 N046.20.25.000 W125.43.37.000 sector  ; 1-3
                          N046.20.25.000 W125.43.37.000 N046.20.00.000 W123.50.00.000 sector  ; 3-5
                          N045.00.00.000 W126.30.00.000 N045.48.35.000 W126.50.49.000 sector  ; 33-1
                          N046.20.00.000 W123.50.00.000 N046.50.00.000 W123.14.00.000 sector  ; 5-6
                          N046.50.00.000 W123.14.00.000 N046.42.30.000 W122.31.30.000 sector  ; 6-7
                          N046.42.30.000 W122.31.30.000 N046.20.00.000 W122.35.00.000 sector  ; 7-8
                          N046.20.00.000 W122.35.00.000 N046.00.00.000 W122.30.00.000 sector  ; 8-10
                          N046.00.00.000 W122.30.00.000 N046.00.00.000 W122.24.00.000 sector  ; 10-Nonumber
                          N045.00.00.000 W126.30.00.000 N045.00.00.000 W124.00.00.000 sector  ; 33-34
                          N045.00.00.000 W124.00.00.000 N045.38.00.000 W122.54.57.000 sector  ; 34-Overlap5
                          N045.38.00.000 W122.54.57.000 N045.38.00.000 W122.50.21.000 sector  ; Overlap5-Overlap6
                          N045.38.00.000 W122.50.21.000 N045.38.00.000 W122.45.00.000 sector  ; Overlap6-Overlap7
                          N045.38.00.000 W122.45.00.000 N045.47.00.000 W122.45.00.000 sector  ; Overlap7-Overlap2
                          N045.47.00.000 W122.45.00.000 N045.55.55.000 W123.11.48.000 sector  ; Overlap2-Overlap1
                          N045.55.55.000 W123.11.48.000 N046.20.00.000 W123.50.00.000 sector  ; Overlap1-5
                          N045.47.00.000 W122.45.00.000 N045.56.00.000 W122.25.00.000 sector  ; Overlap2-Overlap3
                          N045.56.00.000 W122.25.00.000 N046.00.00.000 W122.24.00.000 sector  ; Overlap3-Nonumber


