;(S1)                      N000.00.00.000 E000.00.00.000 N000.00.00.000 E000.00.00.000
                          N046.42.00.000 W121.03.00.000 N046.56.30.000 W120.54.45.000 sector  ; 16-17-CL
                          N046.56.30.000 W120.54.45.000 N047.13.00.000 W120.45.00.000 sector  ; 17-18-CL
                          N046.35.00.000 W120.40.00.000 N046.55.20.000 W120.28.58.000 sector  ; 29-27-CL
                          N046.55.20.000 W120.28.58.000 N047.08.00.000 W120.22.00.000 sector  ; 27-26-CL
                          N047.13.00.000 W120.45.00.000 N047.08.00.000 W120.22.00.000 sector  ; 18-26-CL
                          N046.56.30.000 W120.54.45.000 N046.55.20.000 W120.28.58.000 sector  ; 17-27-CL
                          N046.42.00.000 W121.03.00.000 N046.35.00.000 W120.40.00.000 sector  ; 16-29-CL
                          N046.42.00.000 W121.03.00.000 N047.00.26.000 W121.51.33.000 sector  ; 50-48
                          N047.00.26.000 W121.51.33.000 N047.10.00.000 W121.54.00.000 sector  ; 48-Overlap15
                          N047.10.00.000 W121.54.00.000 N047.19.00.000 W121.53.00.000 sector  ; Overlap15-Overlap13
                          N047.19.00.000 W121.53.00.000 N047.21.00.000 W121.42.00.000 sector  ; Overlap13-Overlap14
                          N047.21.00.000 W121.42.00.000 N047.21.00.000 W121.31.00.000 sector  ; Overlap14-55
                          N047.21.00.000 W121.31.00.000 N047.13.00.000 W120.45.00.000 sector  ; 55-52


