;(S9)                      N000.00.00.000 E000.00.00.000 N000.00.00.000 E000.00.00.000
                          N045.20.00.000 W117.30.00.000 N045.20.00.000 W117.45.00.000 sector  ; 6-7
                          N044.51.00.000 W118.27.00.000 N045.20.00.000 W117.45.00.000 sector  ; 10-7
                          N044.51.00.000 W118.27.00.000 N045.16.00.000 W119.54.00.000 sector  ; 10-11
                          N045.16.00.000 W119.54.00.000 N045.45.00.000 W120.24.00.000 sector  ; 11-12
                          N045.45.00.000 W120.24.00.000 N046.16.49.000 W121.23.53.000 sector  ; 12-13
                          N046.16.49.000 W121.23.53.000 N046.23.20.000 W121.07.34.000 sector  ; 13-14
                          N046.16.49.000 W121.23.53.000 N046.23.20.000 W121.07.34.000 sector  ; 13-14
                          N046.23.20.000 W121.07.34.000 N046.35.00.000 W120.40.00.000 sector  ; 14-29
                          N046.35.00.000 W120.40.00.000 N046.55.20.000 W120.28.58.000 sector  ; 29-27
                          N046.55.20.000 W120.28.58.000 N047.08.00.000 W120.22.00.000 sector  ; 27-26
                          N046.23.20.000 W121.07.34.000 N046.24.30.000 W121.11.30.000 sector  ; 14-15
                          N046.24.30.000 W121.11.30.000 N046.42.00.000 W121.03.00.000 sector  ; 15-16
                          N046.42.00.000 W121.03.00.000 N046.56.30.000 W120.54.45.000 sector  ; 16-17
                          N046.56.30.000 W120.54.45.000 N047.13.00.000 W120.45.00.000 sector  ; 17-18
                          N045.20.00.000 W117.30.00.000 N045.43.00.000 W117.30.00.000 sector  ; 6-37
                          N045.43.00.000 W117.30.00.000 N046.00.00.000 W118.20.00.000 sector  ; 37-35
                          N046.00.00.000 W118.20.00.000 N046.22.00.000 W118.52.00.000 sector  ; 35-34
                          N047.08.00.000 W120.22.00.000 N047.09.00.000 W119.58.00.000 sector  ; 26-31
                          N047.09.00.000 W119.58.00.000 N046.22.00.000 W118.52.00.000 sector  ; 31-34
                          N047.13.00.000 W120.45.00.000 N047.08.00.000 W120.22.00.000 sector  ; 18-26
                          N046.56.30.000 W120.54.45.000 N046.55.20.000 W120.28.58.000 sector  ; 17-27
                          N046.42.00.000 W121.03.00.000 N046.35.00.000 W120.40.00.000 sector  ; 16-29


