;(S5)                      N000.00.00.000 E000.00.00.000 N000.00.00.000 E000.00.00.000
                          N045.16.00.000 W118.27.00.000 N044.51.00.000 W118.27.00.000 sector  ; 15-16
                          N044.51.00.000 W118.27.00.000 N043.38.00.000 W119.17.00.000 sector  ; 16-19
                          N043.38.00.000 W119.17.00.000 N043.32.00.000 W119.15.00.000 sector  ; 19-20
                          N043.32.00.000 W119.15.00.000 N043.25.00.000 W119.23.00.000 sector  ; 20-21
                          N043.25.00.000 W119.23.00.000 N043.26.12.000 W120.18.00.000 sector  ; 21-46
                          N043.26.12.000 W120.18.00.000 N044.30.00.000 W120.20.00.000 sector  ; 46-45
                          N044.30.00.000 W120.20.00.000 N044.49.14.000 W121.20.26.000 sector  ; 45-44
                          N044.49.14.000 W121.20.26.000 N044.45.00.000 W121.42.00.000 sector  ; 44-42
                          N044.45.00.000 W121.42.00.000 N044.31.47.000 W122.09.31.000 sector  ; 42-41
                          N044.31.47.000 W122.09.31.000 N044.46.10.000 W122.13.09.000 sector  ; 41-Overlap14
                          N044.46.10.000 W122.13.09.000 N044.56.06.000 W122.28.40.000 sector  ; Overlap14-Overlap13
                          N044.46.10.000 W122.13.09.000 N044.58.10.000 W122.16.07.000 sector  ; Overlap14-Overlap12
                          N044.58.10.000 W122.16.07.000 N044.56.06.000 W122.28.40.000 sector  ; Overlap12-Overlap13
                          N044.58.10.000 W122.16.07.000 N045.04.30.000 W122.18.10.000 sector  ; Overlap12-Overlap11
                          N045.04.30.000 W122.18.10.000 N045.35.00.000 W122.18.00.000 sector  ; Overlap11-Overlap9
                          N045.35.00.000 W122.18.00.000 N045.22.00.000 W121.50.00.000 sector  ; Overlap9-37
                          N045.22.00.000 W121.50.00.000 N044.57.00.000 W120.24.00.000 sector  ; 37-39
                          N044.57.00.000 W120.24.00.000 N045.16.00.000 W118.27.00.000 sector  ; 39-15
                          N045.04.30.000 W122.18.10.000 N045.27.00.000 W122.51.15.000 sector  ; Overlap11-Overlap15
                          N045.27.00.000 W122.51.15.000 N045.38.00.000 W122.50.21.000 sector  ; Overlap15-Overlap6
                          N045.38.00.000 W122.50.21.000 N045.38.00.000 W122.45.00.000 sector  ; Overlap6-Overlap7
                          N045.38.00.000 W122.45.00.000 N045.38.00.000 W122.41.29.000 sector  ; Overlap7-Overlap8
                          N045.38.00.000 W122.41.29.000 N045.35.00.000 W122.18.00.000 sector  ; Overlap8-Overlap9


