;(S10)                    N000.00.00.000 E000.00.00.000 N000.00.00.000 E000.00.00.000
                          N043.26.00.000 W121.54.00.000 N043.26.00.000 W119.23.00.000 sector ; 9-10
                          N043.26.00.000 W119.23.00.000 N043.32.00.000 W119.15.00.000 sector ; 10-11
                          N043.32.00.000 W119.15.00.000 N042.40.00.000 W119.00.00.000 sector ; 11-12
                          N042.40.00.000 W119.00.00.000 N041.00.00.000 W119.30.00.000 sector ; 12-14
                          N041.00.00.000 W119.30.00.000 N041.00.00.000 W121.15.00.000 sector ; 14-16
                          N041.00.00.000 W121.15.00.000 N041.17.30.000 W122.16.30.000 sector ; 16-19
                          N041.17.30.000 W122.16.30.000 N041.53.00.000 W122.18.00.000 sector ; 19-36
                          N041.53.00.000 W122.18.00.000 N042.00.00.000 W122.25.00.000 sector ; 36-35
                          N042.00.00.000 W122.25.00.000 N042.23.00.000 W122.25.00.000 sector ; 35-33
                          N042.23.00.000 W122.25.00.000 N042.42.00.000 W122.25.00.000 sector ; 33-34
                          N043.26.00.000 W121.54.00.000 N042.42.00.000 W122.25.00.000 sector ; 9-34


