                          N047.05.30.000 W121.23.56.093 N047.05.48.030 W121.24.14.874
                          N047.05.39.015 W121.28.34.056 N047.05.39.015 W121.29.12.370
                          N047.05.48.030 W121.24.27.646 N047.05.30.000 W121.24.46.427
                          N047.05.48.030 W121.24.14.874 N047.05.48.030 W121.24.27.646
                          N047.05.48.030 W121.24.14.874 N047.06.06.061 W121.23.56.093
                          N047.05.48.030 W121.21.22.086 N047.06.33.106 W121.21.22.086
                          N047.05.48.030 W121.22.30.450 N047.06.33.106 W121.22.30.450
                          N047.05.57.045 W121.21.40.116 N047.05.57.045 W121.21.52.136
                          N047.05.57.045 W121.21.52.136 N047.05.57.045 W121.22.17.679
                          N047.05.57.045 W121.22.17.679 N047.05.48.030 W121.22.30.450
                          N047.05.57.045 W121.20.31.752 N047.05.57.045 W121.20.44.524
                          N047.05.57.045 W121.20.44.524 N047.05.57.045 W121.21.09.315
                          N047.05.57.045 W121.21.09.315 N047.05.48.030 W121.21.22.086
                          N047.06.06.061 W121.25.48.029 N047.06.33.106 W121.25.29.248
                          N047.06.06.061 W121.26.56.393 N047.06.33.106 W121.26.36.861
                          N047.06.06.061 W121.23.56.093 N047.06.15.076 W121.23.56.093
                          N047.06.06.061 W121.24.46.427 N047.05.48.030 W121.24.27.646
                          N047.06.15.076 W121.24.46.427 N047.06.06.061 W121.24.46.427
                          N047.06.15.076 W121.23.56.093 N047.06.33.106 W121.24.08.864
                          N047.06.33.106 W121.26.36.861 N047.05.02.955 W121.26.36.861
                          N047.06.33.106 W121.25.29.248 N047.05.02.955 W121.25.29.248
                          N047.06.33.106 W121.32.11.168 N047.05.02.955 W121.32.11.168
                          N047.06.33.106 W121.30.44.023 N047.06.33.106 W121.31.34.357
                          N047.06.33.106 W121.22.30.450 N047.06.33.106 W121.21.40.116
                          N047.06.33.106 W121.21.22.086 N047.06.33.106 W121.20.31.752
                          N047.06.33.106 W121.24.33.656 N047.06.15.076 W121.24.46.427
                          N047.06.33.106 W121.24.08.864 N047.06.33.106 W121.24.33.656
                          N047.10.00.043 W121.54.00.220 N047.19.00.354 W121.52.59.875
                          N047.11.47.353 W122.51.41.263 N047.11.47.353 W122.52.31.597
                          N047.11.47.353 W122.46.51.280 N047.12.05.383 W122.46.51.280
                          N047.11.47.353 W122.46.00.946 N047.11.47.353 W122.46.51.280
                          N047.11.47.353 W122.53.08.409 N047.11.56.368 W122.52.55.637
                          N047.11.47.353 W122.53.20.429 N047.11.47.353 W122.53.08.409
                          N047.11.47.353 W122.52.31.597 N047.12.05.383 W122.52.31.597
                          N047.11.47.353 W122.45.05.354 N047.12.05.383 W122.44.53.334
                          N047.11.47.353 W122.44.16.522 N047.11.47.353 W122.44.16.522
                          N047.11.47.353 W122.42.56.138 N047.11.56.368 W122.42.43.367
                          N047.11.47.353 W122.43.08.158 N047.11.47.353 W122.42.56.138
                          N047.11.47.353 W122.45.30.896 N047.11.47.353 W122.45.05.354
                          N047.11.47.353 W122.44.10.512 N047.11.56.368 W122.44.10.512
                          N047.11.47.353 W122.44.16.522 N047.11.47.353 W122.44.10.512
                          N047.11.56.368 W122.53.33.200 N047.11.56.368 W122.53.33.200
                          N047.11.56.368 W122.53.33.200 N047.11.47.353 W122.53.20.429
                          N047.11.56.368 W122.52.55.637 N047.12.14.398 W122.52.48.876
                          N047.11.56.368 W122.44.16.522 N047.11.47.353 W122.44.16.522
                          N047.11.56.368 W122.43.20.930 N047.11.47.353 W122.43.08.158
                          N047.11.56.368 W122.42.43.367 N047.12.05.383 W122.42.37.357
                          N047.11.56.368 W122.44.10.512 N047.11.56.368 W122.44.16.522
                          N047.12.05.383 W122.44.53.334 N047.12.14.398 W122.44.53.334
                          N047.12.05.383 W122.46.51.280 N047.12.50.458 W122.46.00.946
                          N047.12.05.383 W122.52.31.597 N047.12.50.458 W122.51.41.263
                          N047.12.05.383 W122.43.27.691 N047.11.56.368 W122.43.20.930
                          N047.12.05.383 W122.42.37.357 N047.12.23.413 W122.42.37.357
                          N047.12.05.383 W122.45.43.667 N047.11.47.353 W122.45.30.896
                          N047.12.14.398 W122.52.48.876 N047.12.50.458 W122.52.48.876
                          N047.12.14.398 W122.53.39.210 N047.11.56.368 W122.53.33.200
                          N047.12.14.398 W122.45.43.667 N047.12.05.383 W122.45.43.667
                          N047.12.14.398 W122.44.53.334 N047.12.32.428 W122.45.12.115
                          N047.12.23.413 W122.49.31.297 N047.12.23.413 W122.50.08.859
                          N047.12.23.413 W122.42.37.357 N047.12.32.428 W122.42.43.367
                          N047.12.32.428 W122.45.24.886 N047.12.14.398 W122.45.43.667
                          N047.12.32.428 W122.45.12.115 N047.12.32.428 W122.45.24.886
                          N047.12.32.428 W122.42.43.367 N047.12.41.443 W122.42.56.138
                          N047.12.32.428 W122.45.12.115 N047.12.50.458 W122.44.53.334
                          N047.12.41.443 W122.43.08.158 N047.13.17.503 W122.42.43.367
                          N047.12.41.443 W122.42.56.138 N047.12.41.443 W122.43.08.158
                          N047.12.50.458 W122.51.41.263 N047.13.08.488 W122.51.41.263
                          N047.12.50.458 W122.52.48.876 N047.13.08.488 W122.52.55.637
                          N047.12.50.458 W122.53.39.210 N047.12.14.398 W122.53.39.210
                          N047.12.50.458 W122.47.52.883 N047.13.17.503 W122.47.34.101
                          N047.12.50.458 W122.44.53.334 N047.12.59.473 W122.44.53.334
                          N047.12.50.458 W122.45.43.667 N047.12.32.428 W122.45.24.886
                          N047.12.50.458 W122.46.00.946 N047.13.08.488 W122.46.00.946
                          N047.12.59.473 W122.45.43.667 N047.12.50.458 W122.45.43.667
                          N047.12.59.473 W122.44.53.334 N047.13.17.503 W122.45.05.354
                          N047.13.00.519 W120.45.03.234 N047.08.00.470 W120.22.03.680
                          N047.13.08.488 W122.52.55.637 N047.13.17.503 W122.53.08.409
                          N047.13.08.488 W122.53.33.200 N047.12.50.458 W122.53.39.210
                          N047.13.08.488 W122.46.00.946 N047.13.17.503 W122.46.13.717
                          N047.13.08.488 W122.51.41.263 N047.13.17.503 W122.51.54.035
                          N047.13.17.503 W122.51.54.035 N047.13.17.503 W122.52.18.826
                          N047.13.17.503 W122.47.34.101 N047.11.47.353 W122.47.34.101
                          N047.13.17.503 W122.52.18.826 N047.13.08.488 W122.52.31.597
                          N047.13.17.503 W122.53.20.429 N047.13.08.488 W122.53.33.200
                          N047.13.17.503 W122.53.08.409 N047.13.17.503 W122.53.20.429
                          N047.13.17.503 W122.45.05.354 N047.13.17.503 W122.45.30.896
                          N047.13.17.503 W122.42.43.367 N047.13.17.503 W122.43.20.930
                          N047.13.17.503 W122.45.30.896 N047.12.59.473 W122.45.43.667
                          N047.13.17.503 W122.46.38.509 N047.13.08.488 W122.46.51.280
                          N047.13.17.503 W122.46.13.717 N047.13.17.503 W122.46.38.509
