;(S6)                      N000.00.00.000 E000.00.00.000 N000.00.00.000 E000.00.00.000
                          N043.47.21.000 W121.58.59.000 N044.03.00.000 W122.59.00.000 sector  ; 23-25
                          N044.03.00.000 W122.59.00.000 N044.05.00.000 W123.17.00.000 sector  ; 25-26
                          N044.05.00.000 W123.17.00.000 N044.00.00.000 W123.38.00.000 sector  ; 26-28
                          N044.00.00.000 W123.38.00.000 N044.00.00.000 W125.30.00.000 sector  ; 28-29
                          N044.00.00.000 W125.30.00.000 N043.32.00.000 W126.40.00.000 sector  ; 29-30
                          N043.32.00.000 W126.40.00.000 N045.00.00.000 W126.30.00.000 sector  ; 30-33
                          N045.00.00.000 W126.30.00.000 N045.00.00.000 W124.00.00.000 sector  ; 33-34
                          N045.00.00.000 W124.00.00.000 N045.38.00.000 W122.54.57.000 sector  ; 34-Overlap5
                          N045.38.00.000 W122.54.57.000 N045.38.00.000 W122.50.21.000 sector  ; Overlap5-Overlap6
                          N045.38.00.000 W122.50.21.000 N045.38.00.000 W122.45.00.000 sector  ; Overlap6-Overlap7
                          N043.47.21.000 W121.58.59.000 N044.31.47.000 W122.09.31.000 sector  ; 23-41
                          N044.31.47.000 W122.09.31.000 N044.46.10.000 W122.13.09.000 sector  ; 41-Overlap14
                          N044.46.10.000 W122.13.09.000 N044.56.06.000 W122.28.40.000 sector  ; Overlap14-Overlap13
                          N044.46.10.000 W122.13.09.000 N044.58.10.000 W122.16.07.000 sector  ; Overlap14-Overlap12
                          N044.58.10.000 W122.16.07.000 N044.56.06.000 W122.28.40.000 sector  ; Overlap12-Overlap13
                          N044.58.10.000 W122.16.07.000 N045.04.30.000 W122.18.10.000 sector  ; Overlap12-Overlap11
                          N045.04.30.000 W122.18.10.000 N045.35.00.000 W122.18.00.000 sector  ; Overlap11-Overlap9
                          N045.04.30.000 W122.18.10.000 N045.27.00.000 W122.51.15.000 sector  ; Overlap11-Overlap15
                          N045.27.00.000 W122.51.15.000 N045.38.00.000 W122.50.21.000 sector  ; Overlap15-Overlap6
                          N045.38.00.000 W122.45.00.000 N045.38.00.000 W122.41.29.000 sector  ; Overlap7-Overlap8
                          N045.38.00.000 W122.41.29.000 N045.35.00.000 W122.18.00.000 sector  ; Overlap8-Overlap9


