;(S34)                     N000.00.00.000 E000.00.00.00 N000.00.00.000 E000.00.00.000
                          N046.20.00.000 W123.50.00.00 N046.50.00.000 W123.14.00.000 sector  ; 5-6
                          N046.50.00.000 W123.14.00.00 N046.42.30.000 W122.31.30.000 sector  ; 6-7
                          N046.42.30.000 W122.31.30.00 N046.20.00.000 W122.35.00.000 sector  ; 7-8
                          N046.20.00.000 W122.35.00.00 N046.00.00.000 W122.30.00.000 sector  ; 8-10
                          N046.00.00.000 W122.30.00.00 N046.00.00.000 W122.24.00.000 sector  ; 10-Nonumber
                          N046.00.00.000 W122.24.00.00 N046.00.00.000 W122.10.00.000 sector  ; Nonumber-11
                          N046.00.00.000 W122.10.00.00 N046.16.49.000 W121.23.53.000 sector  ; 11-13
                          N046.16.49.000 W121.23.53.00 N045.45.00.000 W120.24.00.000 sector  ; 13-14
                          N045.45.00.000 W120.24.00.00 N045.16.00.000 W118.27.00.000 sector  ; 14-15
                          N045.47.00.000 W122.45.00.00 N045.55.55.000 W123.11.48.000 sector  ; Overlap2-Overlap1
                          N045.55.55.000 W123.11.48.00 N046.20.00.000 W123.50.00.000 sector  ; Overlap1-5
                          N045.47.00.000 W122.45.00.00 N045.56.00.000 W122.25.00.000 sector  ; Overlap2-Overlap3
                          N045.56.00.000 W122.25.00.00 N046.00.00.000 W122.24.00.000 sector  ; Overlap3-Nonumber
                          N045.38.00.000 W122.45.00.00 N045.47.00.000 W122.45.00.000 sector  ; Overlap7-Overlap2
                          N045.38.00.000 W122.45.00.00 N045.38.00.000 W122.41.29.000 sector  ; Overlap7-Overlap8
                          N045.38.00.000 W122.41.29.00 N045.35.00.000 W122.18.00.000 sector  ; Overlap8-Overlap9
                          N045.35.00.000 W122.18.00.00 N045.22.00.000 W121.50.00.000 sector  ; Overlap9-37
                          N045.22.00.000 W121.50.00.00 N044.57.00.000 W120.24.00.000 sector  ; 37-39
                          N044.57.00.000 W120.24.00.00 N045.16.00.000 W118.27.00.000 sector  ; 39-15


