;(S12)                     N000.00.00.000 E000.00.00.000 N000.00.00.000 E000.00.00.000
                          N048.54.52.000 W122.54.27.000 N048.56.16.000 W122.53.59.000 sector  ; Delegated17-Delegated18
                          N048.56.16.000 W122.53.59.000 N049.01.29.000 W122.46.46.000 sector  ; Delegated18-Delegated19
                          N049.01.29.000 W122.46.46.000 N049.02.45.000 W122.19.34.000 sector  ; Delegated19-Delegated20
                          N049.02.45.000 W122.19.34.000 N048.57.05.000 W122.20.44.000 sector  ; Delegated20-Delegated21
                          N048.57.05.000 W122.20.44.000 N048.51.37.000 W121.59.22.000 sector  ; Delegated21-Delegated22
                          N048.51.37.000 W121.59.22.000 N048.51.00.000 W121.02.25.000 sector  ; Delegated22-9
                          N048.51.00.000 W121.02.25.000 N048.49.51.000 W120.05.07.000 sector  ; 9-10
                          N048.49.51.000 W120.05.07.000 N048.06.30.000 W120.28.40.000 sector  ; 10-12
                          N048.54.52.000 W122.54.27.000 N048.47.25.000 W122.46.13.000 sector  ; Delegated17-Delegated12
                          N048.47.25.000 W122.46.13.000 N048.47.25.000 W122.17.00.000 sector  ; Delegated12-Delegated11
                          N048.47.25.000 W122.17.00.000 N048.51.42.000 W122.17.00.000 sector  ; Delegated11-Delegated10
                          N048.51.42.000 W122.17.00.000 N048.51.37.000 W121.59.22.000 sector  ; Delegated10-Delegated22
                          N048.38.28.000 W122.45.25.000 N048.38.30.000 W121.58.00.000 sector  ; DelegatedIntersection-Delegated23
                          N048.38.30.000 W121.58.00.000 N048.51.37.000 W121.59.22.000 sector  ; Delegated23-Delegated22
                          N048.47.25.000 W122.46.13.000 N048.38.28.000 W122.45.25.000 sector  ; Delegated12-DelegatedIntersection
                          N048.38.28.000 W122.45.25.000 N048.33.00.000 W122.45.00.000 sector  ; DelegatedIntersection-56
                          N048.33.00.000 W122.45.00.000 N048.21.07.000 W122.40.29.000 sector  ; 56-57notinfaadoc
                          N048.21.07.000 W122.40.29.000 N048.06.00.000 W122.32.00.000 sector  ; 57notinfaadoc-Overlap1
                          N048.06.00.000 W122.32.00.000 N048.00.00.000 W122.30.20.000 sector  ; Overlap1-Overlap2
                          N048.00.00.000 W122.30.20.000 N047.37.00.000 W122.23.00.000 sector  ; Overlap2-Overlap4
                          N047.37.00.000 W122.23.00.000 N047.37.01.000 W122.10.00.000 sector  ; Overlap4-Overlap11
                          N047.37.01.000 W122.10.00.000 N047.37.00.000 W121.58.00.000 sector  ; Overlap11-Overlap16
                          N047.37.00.000 W121.58.00.000 N048.00.00.000 W121.58.00.000 sector  ; Overlap16-Overlap19
                          N048.00.00.000 W121.58.00.000 N048.10.00.000 W121.58.00.000 sector  ; Overlap19-Overlap20
                          N048.00.00.000 W122.30.20.000 N048.00.00.000 W122.05.00.000 sector  ; Overlap2-Overlap18
                          N048.00.00.000 W122.30.20.000 N047.53.10.000 W122.16.42.000 sector  ; Overlap2-Overlap17
                          N047.53.10.000 W122.16.42.000 N048.00.00.000 W122.05.00.000 sector  ; Overlap17-Overlap18
                          N048.00.00.000 W122.05.00.000 N048.00.00.000 W121.58.00.000 sector  ; Overlap18-Overlap19
                          N048.10.00.000 W121.58.00.000 N048.11.50.000 W121.31.19.000 sector  ; Overlap20-54
                          N048.11.50.000 W121.31.19.000 N048.06.30.000 W120.28.40.000 sector  ; 54-12
                          N048.11.50.000 W121.31.19.000 N048.51.00.000 W121.02.25.000 sector  ; 54-9


