;(S07)                     N000.00.00.000 E000.00.00.000 N000.00.00.000 E000.00.00.000
                          N049.00.00.000 W120.00.00.000 N049.00.00.000 W116.48.04.000 sector  ; 1-2
                          N047.08.00.000 W120.22.00.000 N047.17.54.000 W120.08.03.000 sector  ; 19-20
                          N047.17.54.000 W120.08.03.000 N047.36.17.000 W120.06.08.000 sector  ; 20-21
                          N048.06.30.000 W120.28.40.000 N047.36.17.000 W120.06.08.000 sector  ; 23-21
                          N048.06.30.000 W120.28.40.000 N049.00.00.000 W120.00.00.000 sector  ; 23-1
                          N047.08.00.000 W120.22.00.000 N046.38.45.000 W118.54.50.000 sector  ; 19-26
                          N047.18.26.000 W118.01.13.000 N046.38.45.000 W118.54.50.000 sector  ; 29-26
                          N047.18.26.000 W118.01.13.000 N047.40.14.000 W117.53.56.000 sector  ; 29-30
                          N047.40.14.000 W117.53.56.000 N048.22.04.000 W117.28.04.000 sector  ; 30-31
                          N048.22.04.000 W117.28.04.000 N049.00.00.000 W116.48.04.000 sector  ; 31-2


