;(S3)                      N000.00.00.000 E000.00.00.000 N000.00.00.000 E000.00.00.000
                          N048.20.00.000 W128.00.00.000 N048.30.00.000 W125.00.00.000 sector  ; 1-2
                          N048.30.00.000 W125.00.00.000 N048.30.00.000 W124.45.00.000 sector  ; 2-3
                          N048.30.00.000 W124.45.00.000 N048.14.26.000 W123.40.41.000 sector  ; 3-5
                          N048.14.26.000 W123.40.41.000 N048.13.30.000 W123.32.25.000 sector  ; 5-6
                          N048.13.30.000 W123.32.25.000 N048.17.04.000 W123.14.51.000 sector  ; 6-7
                          N048.17.04.000 W123.14.51.000 N048.25.24.000 W123.06.51.000 sector  ; 7-8
                          N048.25.24.000 W123.06.51.000 N048.28.18.000 W123.05.37.000 sector  ; 8-Delegated15
                          N048.28.18.000 W123.05.37.000 N048.52.10.000 W123.22.28.000 sector  ; Delegated15-Delegated16
                          N048.52.10.000 W123.22.28.000 N048.54.52.000 W122.54.27.000 sector  ; Delegated16-Delegated17
                          N048.54.52.000 W122.54.27.000 N048.47.25.000 W122.46.13.000 sector  ; Delegated17-Delegated12
                          N048.47.25.000 W122.46.13.000 N048.38.30.000 W123.01.30.000 sector  ; Delegated12-Delegated14
                          N048.38.30.000 W123.01.30.000 N048.28.18.000 W123.05.37.000 sector  ; Delegated14-Delegated15
                          N048.47.25.000 W122.46.13.000 N048.38.28.000 W122.45.25.000 sector  ; Delegated12-DelegatedIntersection
                          N048.38.28.000 W122.45.25.000 N048.33.00.000 W122.45.00.000 sector  ; DelegatedIntersection-56
                          N048.38.30.000 W123.01.30.000 N048.38.28.000 W122.45.25.000 sector  ; Delegated14-DelegatedIntersection
                          N048.33.00.000 W122.45.00.000 N048.21.07.000 W122.40.29.000 sector  ; 56-57notinfaadoc
                          N048.21.07.000 W122.40.29.000 N048.06.00.000 W122.32.00.000 sector  ; 57notinfaadoc-Overlap1
                          N048.06.00.000 W122.32.00.000 N048.00.00.000 W122.30.20.000 sector  ; Overlap1-Overlap2
                          N048.00.00.000 W122.30.20.000 N047.37.00.000 W122.23.00.000 sector  ; Overlap2-Overlap4
                          N047.37.00.000 W122.23.00.000 N047.33.00.000 W122.27.00.000 sector  ; Overlap4-Overlap5
                          N047.30.00.000 W122.58.00.000 N047.37.00.000 W122.36.00.000 sector  ; Overlap7-Overlap6
                          N047.37.00.000 W122.36.00.000 N047.33.00.000 W122.27.00.000 sector  ; Overlap6-Overlap5
                          N047.33.00.000 W122.27.00.000 N047.30.00.000 W122.30.00.000 sector  ; Overlap5-Overlap10
                          N047.30.00.000 W122.30.00.000 N047.23.00.000 W122.30.00.000 sector  ; Overlap10-Overlap9
                          N047.30.00.000 W122.58.00.000 N047.23.00.000 W122.40.00.000 sector  ; Overlap7-Overlap8
                          N047.23.00.000 W122.40.00.000 N047.23.00.000 W122.30.00.000 sector  ; Overlap8-Overlap9
                          N046.20.25.000 W125.43.37.000 N045.49.23.000 W126.49.11.000 sector  ; 33-35
                          N045.49.23.000 W126.49.11.000 N048.20.00.000 W128.00.00.000 sector  ; 35-1
                          N046.20.25.000 W125.43.37.000 N046.32.00.000 W125.18.00.000 sector  ; 33-37
                          N046.32.00.000 W125.18.00.000 N046.53.24.000 W125.06.47.000 sector  ; 37-38
                          N046.53.24.000 W125.06.47.000 N047.00.29.000 W124.30.05.000 sector  ; 38-39
                          N047.00.29.000 W124.30.05.000 N047.05.59.000 W124.14.53.000 sector  ; 39-40
                          N047.05.59.000 W124.14.53.000 N047.14.59.000 W123.40.05.000 sector  ; 40-41
                          N047.14.59.000 W123.40.05.000 N047.30.00.000 W122.58.00.000 sector  ; 41-Overlap7


