;(S15)                     N000.00.00.000 E000.00.00.000 N000.00.00.000 E000.00.00.000
                          N044.04.00.000 W126.36.00.000 N044.04.00.000 W125.20.00.000 sector ; 1-2
                          N044.04.00.000 W125.20.00.000 N043.28.00.000 W122.58.00.000 sector ; 2-4
                          N043.28.00.000 W122.58.00.000 N043.28.00.000 W122.33.00.000 sector ; 4-5
                          N041.20.00.000 W122.25.00.000 N041.20.00.000 W123.32.00.000 sector ; 21-22
                          N041.20.00.000 W123.32.00.000 N040.23.15.000 W123.32.00.000 sector ; 22-23
                          N040.23.15.000 W123.32.00.000 N040.13.00.000 W123.50.00.000 sector ; 23-24
                          N040.13.00.000 W123.50.00.000 N040.13.00.000 W125.20.00.000 sector ; 24-25
                          N040.13.00.000 W125.20.00.000 N040.59.00.000 W126.54.00.000 sector ; 25-27
                          N040.59.00.000 W126.54.00.000 N042.25.00.000 W126.47.00.000 sector ; 27-29
                          N042.25.00.000 W126.47.00.000 N043.32.35.000 W126.41.12.000 sector ; 29-30
                          N043.32.35.000 W126.41.12.000 N044.04.00.000 W126.36.00.000 sector ; 30-1
                          N041.20.00.000 W122.25.00.000 N043.28.00.000 W122.33.00.000 sector ; 5-21


