; Bodies of water (2021-04-07)
      N048.32.01.001 W115.15.10.547
      N048.32.42.488 W115.15.13.623
      N048.32.45.646 W115.14.29.678
      N048.33.01.577 W115.14.01.415
      N048.33.35.099 W115.13.54.055
      N048.34.25.073 W115.14.41.927
      N048.34.50.231 W115.15.25.516
      N048.36.16.460 W115.16.23.469
      N048.37.20.030 W115.17.51.716
      N048.37.54.939 W115.19.30.154
      N048.38.17.585 W115.19.49.078
      N048.40.19.560 W115.19.36.114
      N048.41.00.745 W115.19.49.050
      N048.42.49.537 W115.19.32.626
      N048.43.43.425 W115.20.03.745
      N048.44.23.319 W115.19.17.520
      N048.48.16.861 W115.18.18.660
      N048.50.59.830 W115.15.11.151
      N048.51.27.090 W115.14.53.436
      N048.52.50.284 W115.14.57.144
      N048.53.56.998 W115.13.15.987
      N048.55.17.528 W115.12.10.316
      N048.58.38.701 W115.11.35.682
      N049.00.01.195 W115.12.02.928
water N049.00.03.131 W119.27.46.983
      N049.00.02.335 W119.25.58.356
      N048.59.15.794 W119.26.11.484
      N048.59.00.536 W119.25.34.708
      N048.58.07.473 W119.26.02.750
      N048.57.42.218 W119.25.26.166
      N048.57.10.673 W119.25.36.548
      N048.56.57.558 W119.26.03.904
      N048.59.33.042 W119.27.30.201
      N048.59.46.116 W119.26.57.902
      N049.00.00.082 W119.27.40.803
water N049.00.02.802 W117.38.46.382
      N049.00.02.156 W117.38.14.302
      N048.58.24.611 W117.38.50.750
      N048.58.13.268 W117.39.06.075
      N048.56.57.627 W117.42.41.627
      N048.56.05.263 W117.43.28.319
      N048.56.20.727 W117.43.52.324
      N048.56.06.060 W117.45.34.085
      N048.55.52.753 W117.45.34.662
      N048.55.23.611 W117.46.17.838
      N048.54.48.771 W117.47.50.590
      N048.54.00.994 W117.48.17.260
      N048.53.24.478 W117.49.50.012
      N048.52.28.737 W117.50.36.676
      N048.52.32.527 W117.51.01.176
      N048.52.12.422 W117.52.23.326
      N048.51.28.353 W117.53.09.468
      N048.51.09.704 W117.54.21.676
      N048.50.48.445 W117.54.42.248
      N048.50.40.631 W117.55.09.659
      N048.50.09.334 W117.55.28.171
      N048.49.26.006 W117.55.24.985
      N048.48.56.522 W117.55.50.803
      N048.48.37.502 W117.56.43.235
      N048.48.43.380 W117.57.32.261
      N048.48.50.850 W117.56.45.185
      N048.49.26.721 W117.56.04.343
      N048.50.37.706 W117.55.31.961
      N048.51.37.032 W117.53.28.832
      N048.52.12.930 W117.52.50.407
      N048.52.53.552 W117.50.28.271
      N048.53.28.173 W117.50.09.567
      N048.53.40.779 W117.49.32.076
      N048.54.24.903 W117.48.48.323
      N048.55.02.037 W117.47.47.569
      N048.55.40.022 W117.46.04.819
      N048.55.58.026 W117.45.49.246
      N048.56.18.145 W117.45.55.783
      N048.56.14.190 W117.45.23.868
      N048.56.35.888 W117.44.01.525
      N048.56.20.521 W117.43.42.464
      N048.57.01.101 W117.42.48.878
      N048.58.28.154 W117.39.00.472
      N048.59.59.217 W117.38.45.476
water N049.00.02.335 W121.05.34.698
      N049.00.02.733 W121.03.58.431
      N048.59.26.039 W121.04.12.933
      N048.58.52.558 W121.04.57.043
      N048.58.12.581 W121.05.04.074
      N048.57.02.859 W121.04.14.114
      N048.56.31.260 W121.04.06.451
      N048.56.24.764 W121.03.26.927
      N048.56.03.217 W121.03.02.071
      N048.55.29.929 W121.02.59.324
      N048.54.23.242 W121.03.28.328
      N048.53.11.954 W121.02.18.730
      N048.52.58.757 W121.01.44.123
      N048.52.28.929 W121.01.11.851
      N048.51.53.979 W121.01.14.020
      N048.51.38.927 W121.01.31.132
      N048.51.17.422 W121.00.58.942
      N048.50.50.780 W121.01.03.666
      N048.49.30.689 W121.02.02.086
      N048.48.29.042 W121.02.21.284
      N048.48.09.006 W121.02.40.785
      N048.47.29.126 W121.02.28.123
      N048.47.04.310 W121.01.51.017
      N048.46.10.985 W121.02.15.187
      N048.46.06.069 W121.01.55.466
      N048.46.07.786 W121.01.43.162
      N048.46.17.756 W121.01.45.716
      N048.46.14.460 W121.01.35.856
      N048.45.36.296 W121.01.13.416
      N048.44.54.658 W121.01.27.808
      N048.44.17.826 W121.02.28.975
      N048.43.23.362 W121.00.37.930
      N048.44.07.623 W121.03.25.444
      N048.44.04.231 W121.03.45.082
      N048.43.47.531 W121.03.59.667
      N048.43.59.067 W121.04.24.359
      N048.44.22.537 W121.03.40.331
      N048.44.15.959 W121.03.23.055
      N048.44.34.429 W121.02.38.945
      N048.45.19.514 W121.01.52.610
      N048.46.04.229 W121.02.44.630
      N048.46.07.429 W121.03.14.183
      N048.46.32.203 W121.03.58.678
      N048.46.52.376 W121.03.07.180
      N048.47.45.482 W121.03.39.644
      N048.49.08.703 W121.03.32.997
      N048.50.00.352 W121.03.13.744
      N048.50.32.089 W121.02.44.465
      N048.50.33.833 W121.02.24.772
      N048.51.03.867 W121.02.02.882
      N048.51.42.127 W121.02.05.656
      N048.51.58.758 W121.02.08.265
      N048.54.36.260 W121.04.39.932
      N048.55.26.303 W121.04.15.734
      N048.55.57.930 W121.04.16.009
      N048.56.12.789 W121.04.45.727
      N048.57.04.274 W121.05.13.330
      N048.57.42.328 W121.06.10.404
      N048.57.55.703 W121.05.55.737
      N048.58.42.244 W121.06.15.925
      N048.59.13.981 W121.05.49.063
      N048.59.58.709 W121.05.35.165
water N048.56.57.160 W117.19.59.460
      N048.57.12.692 W117.20.23.383
      N048.57.40.803 W117.20.14.594
      N048.59.23.869 W117.20.49.503
      N048.59.24.034 W117.20.11.957
      N048.58.37.877 W117.19.19.909
      N048.57.05.139 W117.19.44.271
water N048.57.50.526 W115.06.28.312
      N048.57.08.188 W115.07.39.366
      N048.57.16.263 W115.07.47.358
      N048.58.03.943 W115.07.16.240
      N048.58.06.662 W115.06.44.324
      N048.58.25.916 W115.06.16.035
      N048.57.59.233 W115.06.16.584
water N048.56.32.894 W115.06.57.288
      N048.56.28.527 W115.07.29.121
      N048.56.35.091 W115.07.32.060
      N048.56.52.038 W115.07.23.408
      N048.56.56.103 W115.07.01.463
      N048.56.48.907 W115.06.26.362
      N048.56.39.184 W115.06.18.232
      N048.56.33.539 W115.06.37.595
water N048.56.34.899 W122.49.06.121
      N048.56.13.915 W122.48.25.911
      N048.56.00.031 W122.47.18.812
      N048.56.39.609 W122.45.58.832
      N048.55.59.125 W122.44.48.327
      N048.54.52.603 W122.44.43.548
      N048.54.26.455 W122.45.56.580
      N048.53.52.507 W122.46.37.284
      N048.53.44.968 W122.47.31.254
      N048.56.28.074 W122.49.02.331
water N048.52.47.592 W119.37.33.049
      N048.52.57.644 W119.37.42.772
      N048.53.17.433 W119.37.10.472
      N048.53.32.581 W119.37.37.361
      N048.54.02.615 W119.37.49.281
      N048.54.17.845 W119.38.30.974
      N048.54.09.797 W119.39.15.469
      N048.54.29.861 W119.39.32.470
      N048.54.59.565 W119.38.47.701
      N048.54.59.139 W119.37.38.652
      N048.54.12.173 W119.36.42.594
      N048.53.55.501 W119.36.37.897
      N048.52.47.249 W119.36.36.387
      N048.52.27.418 W119.36.58.826
      N048.52.25.866 W119.37.18.574
      N048.52.44.241 W119.37.28.187
water N048.52.17.599 W122.41.23.459
      N048.52.06.489 W122.40.48.578
      N048.51.46.522 W122.40.47.891
      N048.51.31.209 W122.41.09.562
      N048.51.42.402 W122.41.39.500
      N048.51.30.523 W122.41.53.864
      N048.52.14.042 W122.41.38.099
water N048.50.07.713 W117.16.28.110
      N048.48.52.100 W117.17.11.314
      N048.47.33.397 W117.16.50.605
      N048.47.23.866 W117.17.10.792
      N048.47.36.184 W117.17.39.714
      N048.48.56.494 W117.17.57.869
      N048.50.22.023 W117.17.11.726
      N048.50.12.698 W117.16.27.836
water N048.48.43.380 W117.57.32.261
      N048.48.56.041 W117.58.28.374
      N048.48.52.114 W117.59.27.618
      N048.48.31.418 W118.00.20.132
      N048.48.06.768 W118.00.38.315
      N048.47.26.338 W118.00.10.355
      N048.46.44.988 W118.00.24.280
      N048.45.09.709 W118.03.10.311
      N048.44.14.984 W118.03.19.759
      N048.41.47.918 W118.01.07.731
      N048.40.51.283 W118.01.02.567
      N048.39.27.320 W118.05.04.047
      N048.39.02.519 W118.05.12.341
      N048.37.50.709 W118.04.55.395
      N048.37.11.927 W118.04.24.935
      N048.36.55.572 W118.04.40.289
      N048.37.13.328 W118.05.45.877
      N048.38.02.204 W118.06.23.368
      N048.37.45.875 W118.06.41.166
      N048.35.58.566 W118.07.26.869
      N048.35.34.877 W118.07.03.193
      N048.35.38.626 W118.07.27.583
      N048.35.23.671 W118.07.28.132
      N048.34.58.402 W118.07.09.456
      N048.34.40.948 W118.06.21.006
