SEA TEXT DIAGRAM          N000.00.00.000 E000.00.00.000 N000.00.00.000 E000.00.00.000
                          N047.25.58.770 W122.18.11.002 N047.25.58.778 W122.18.10.834
                          N047.25.58.778 W122.18.10.834 N047.25.58.802 W122.18.10.683
                          N047.25.58.778 W122.18.13.382 N047.25.58.778 W122.18.13.238
                          N047.25.58.778 W122.18.13.238 N047.25.58.794 W122.18.13.102
                          N047.25.58.786 W122.18.11.170 N047.25.58.770 W122.18.11.002
                          N047.25.58.794 W122.18.13.541 N047.25.58.778 W122.18.13.382
                          N047.25.58.794 W122.18.13.102 N047.25.58.826 W122.18.12.966
                          N047.25.58.802 W122.18.10.683 N047.25.58.850 W122.18.10.507
                          N047.25.58.826 W122.18.11.345 N047.25.58.786 W122.18.11.170
                          N047.25.58.826 W122.18.13.685 N047.25.58.794 W122.18.13.541
                          N047.25.58.826 W122.18.12.966 N047.25.58.866 W122.18.12.879
                          N047.25.58.850 W122.18.10.507 N047.25.58.906 W122.18.10.387
                          N047.25.58.858 W122.18.08.822 N047.25.58.866 W122.18.08.918
                          N047.25.58.858 W122.18.13.797 N047.25.58.826 W122.18.13.685
                          N047.25.58.866 W122.18.08.918 N047.25.58.882 W122.18.09.013
                          N047.25.58.866 W122.18.08.662 N047.25.58.858 W122.18.08.822
                          N047.25.58.866 W122.18.12.879 N047.25.58.914 W122.18.12.775
                          N047.25.58.882 W122.18.09.013 N047.25.58.914 W122.18.09.117
                          N047.25.58.882 W122.18.11.473 N047.25.58.826 W122.18.11.345
                          N047.25.58.890 W122.18.08.510 N047.25.58.866 W122.18.08.662
                          N047.25.58.906 W122.18.10.387 N047.25.58.986 W122.18.10.275
                          N047.25.58.914 W122.18.09.117 N047.25.58.954 W122.18.09.221
                          N047.25.58.914 W122.18.13.909 N047.25.58.858 W122.18.13.797
                          N047.25.58.914 W122.18.12.775 N047.25.58.970 W122.18.12.679
                          N047.25.58.938 W122.18.11.585 N047.25.58.882 W122.18.11.473
                          N047.25.58.946 W122.18.08.359 N047.25.58.890 W122.18.08.510
                          N047.25.58.954 W122.18.09.221 N047.25.58.994 W122.18.09.285
                          N047.25.58.970 W122.18.14.005 N047.25.58.914 W122.18.13.909
                          N047.25.58.970 W122.18.12.679 N047.25.59.034 W122.18.12.607
                          N047.25.58.986 W122.18.10.275 N047.25.59.066 W122.18.10.187
                          N047.25.58.994 W122.18.09.285 N047.25.59.050 W122.18.09.365
                          N047.25.59.002 W122.18.08.271 N047.25.58.946 W122.18.08.359
                          N047.25.59.010 W122.18.11.689 N047.25.58.938 W122.18.11.585
                          N047.25.59.034 W122.18.12.607 N047.25.59.113 W122.18.12.543
                          N047.25.59.050 W122.18.09.365 N047.25.59.121 W122.18.09.429
                          N047.25.59.050 W122.18.14.084 N047.25.58.970 W122.18.14.005
                          N047.25.59.066 W122.18.10.187 N047.25.59.177 W122.18.10.108
                          N047.25.59.074 W122.18.08.175 N047.25.59.002 W122.18.08.271
                          N047.25.59.097 W122.18.11.777 N047.25.59.010 W122.18.11.689
                          N047.25.59.113 W122.18.12.543 N047.25.59.193 W122.18.12.487
                          N047.25.59.121 W122.18.09.429 N047.25.59.177 W122.18.09.485
                          N047.25.59.121 W122.18.14.148 N047.25.59.050 W122.18.14.084
                          N047.25.59.129 W122.18.20.090 N047.25.59.217 W122.18.19.914
                          N047.25.59.129 W122.18.20.633 N047.25.59.129 W122.18.20.090
                          N047.25.59.145 W122.18.08.119 N047.25.59.074 W122.18.08.175
                          N047.25.59.169 W122.18.11.816 N047.25.59.097 W122.18.11.777
                          N047.25.59.177 W122.18.09.485 N047.25.59.257 W122.18.09.509
                          N047.25.59.177 W122.18.10.108 N047.25.59.273 W122.18.10.076
                          N047.25.59.193 W122.18.12.487 N047.25.59.257 W122.18.12.471
                          N047.25.59.217 W122.18.19.914 N047.25.59.577 W122.18.19.914
                          N047.25.59.217 W122.18.14.196 N047.25.59.121 W122.18.14.148
                          N047.25.59.233 W122.18.08.071 N047.25.59.145 W122.18.08.119
                          N047.25.59.257 W122.18.09.509 N047.25.59.329 W122.18.09.533
                          N047.25.59.257 W122.18.12.471 N047.25.59.329 W122.18.12.447
                          N047.25.59.273 W122.18.10.076 N047.25.59.369 W122.18.10.068
                          N047.25.59.281 W122.18.11.856 N047.25.59.169 W122.18.11.816
                          N047.25.59.313 W122.18.14.228 N047.25.59.217 W122.18.14.196
                          N047.25.59.329 W122.18.09.533 N047.25.59.401 W122.18.09.533
                          N047.25.59.329 W122.18.08.039 N047.25.59.233 W122.18.08.071
                          N047.25.59.329 W122.18.12.447 N047.25.59.393 W122.18.12.439
                          N047.25.59.369 W122.18.10.068 N047.25.59.465 W122.18.10.076
                          N047.25.59.377 W122.18.11.864 N047.25.59.281 W122.18.11.856
                          N047.25.59.393 W122.18.12.439 N047.25.59.473 W122.18.12.439
                          N047.25.59.401 W122.18.09.533 N047.25.59.481 W122.18.09.533
                          N047.25.59.417 W122.18.14.228 N047.25.59.313 W122.18.14.228
                          N047.25.59.425 W122.18.08.039 N047.25.59.329 W122.18.08.039
                          N047.25.59.465 W122.18.10.076 N047.25.59.561 W122.18.10.092
                          N047.25.59.473 W122.18.12.439 N047.25.59.561 W122.18.12.455
                          N047.25.59.481 W122.18.09.533 N047.25.59.553 W122.18.09.517
                          N047.25.59.481 W122.18.11.872 N047.25.59.377 W122.18.11.864
                          N047.25.59.505 W122.18.14.228 N047.25.59.417 W122.18.14.228
                          N047.25.59.521 W122.18.08.055 N047.25.59.425 W122.18.08.039
                          N047.25.59.553 W122.18.09.517 N047.25.59.601 W122.18.09.493
                          N047.25.59.561 W122.18.11.864 N047.25.59.481 W122.18.11.872
                          N047.25.59.561 W122.18.10.092 N047.25.59.656 W122.18.10.124
                          N047.25.59.561 W122.18.12.455 N047.25.59.625 W122.18.12.471
                          N047.25.59.577 W122.18.19.914 N047.25.59.672 W122.18.20.090
                          N047.25.59.593 W122.18.14.196 N047.25.59.505 W122.18.14.228
                          N047.25.59.601 W122.18.09.493 N047.25.59.656 W122.18.09.453
                          N047.25.59.617 W122.18.08.095 N047.25.59.521 W122.18.08.055
                          N047.25.59.625 W122.18.12.471 N047.25.59.688 W122.18.12.511
                          N047.25.59.640 W122.18.11.824 N047.25.59.561 W122.18.11.864
                          N047.25.59.656 W122.18.09.453 N047.25.59.704 W122.18.09.413
                          N047.25.59.656 W122.18.10.124 N047.25.59.712 W122.18.10.155
                          N047.25.59.672 W122.18.20.090 N047.25.59.760 W122.18.20.002
                          N047.25.59.672 W122.18.20.633 N047.25.59.672 W122.18.20.090
                          N047.25.59.672 W122.18.14.164 N047.25.59.593 W122.18.14.196
                          N047.25.59.688 W122.18.12.511 N047.25.59.752 W122.18.12.567
                          N047.25.59.704 W122.18.09.413 N047.25.59.760 W122.18.09.357
                          N047.25.59.704 W122.18.08.167 N047.25.59.617 W122.18.08.095
                          N047.25.59.712 W122.18.10.155 N047.25.59.760 W122.18.10.195
                          N047.25.59.728 W122.18.11.777 N047.25.59.640 W122.18.11.824
                          N047.25.59.744 W122.18.14.116 N047.25.59.672 W122.18.14.164
                          N047.25.59.752 W122.18.12.567 N047.25.59.816 W122.18.12.615
                          N047.25.59.760 W122.18.20.002 N047.25.59.936 W122.18.20.002
                          N047.25.59.760 W122.18.09.357 N047.25.59.816 W122.18.09.269
                          N047.25.59.760 W122.18.10.195 N047.25.59.816 W122.18.10.251
                          N047.25.59.776 W122.18.08.271 N047.25.59.704 W122.18.08.167
                          N047.25.59.800 W122.18.14.053 N047.25.59.744 W122.18.14.116
                          N047.25.59.808 W122.18.11.697 N047.25.59.728 W122.18.11.777
                          N047.25.59.816 W122.18.09.269 N047.25.59.872 W122.18.09.141
                          N047.25.59.816 W122.18.10.251 N047.25.59.864 W122.18.10.323
                          N047.25.59.816 W122.18.12.615 N047.25.59.864 W122.18.12.687
                          N047.25.59.840 W122.18.08.383 N047.25.59.776 W122.18.08.271
                          N047.25.59.856 W122.18.13.981 N047.25.59.800 W122.18.14.053
                          N047.25.59.864 W122.18.10.323 N047.25.59.928 W122.18.10.427
                          N047.25.59.864 W122.18.12.687 N047.25.59.912 W122.18.12.767
                          N047.25.59.872 W122.18.09.141 N047.25.59.904 W122.18.09.021
                          N047.25.59.880 W122.18.08.502 N047.25.59.840 W122.18.08.383
                          N047.25.59.880 W122.18.11.601 N047.25.59.808 W122.18.11.697
                          N047.25.59.904 W122.18.09.021 N047.25.59.920 W122.18.08.894
                          N047.25.59.912 W122.18.13.901 N047.25.59.856 W122.18.13.981
                          N047.25.59.912 W122.18.12.767 N047.25.59.960 W122.18.12.847
                          N047.25.59.920 W122.18.08.894 N047.25.59.928 W122.18.08.766
                          N047.25.59.920 W122.18.08.622 N047.25.59.880 W122.18.08.502
                          N047.25.59.928 W122.18.08.766 N047.25.59.920 W122.18.08.622
                          N047.25.59.928 W122.18.10.427 N047.25.59.968 W122.18.10.539
                          N047.25.59.936 W122.18.20.002 N047.26.00.032 W122.18.20.090
                          N047.25.59.944 W122.18.11.489 N047.25.59.880 W122.18.11.601
                          N047.25.59.960 W122.18.12.847 N047.25.59.992 W122.18.12.927
                          N047.25.59.968 W122.18.10.539 N047.26.00.008 W122.18.10.643
                          N047.25.59.968 W122.18.13.805 N047.25.59.912 W122.18.13.901
                          N047.25.59.984 W122.18.11.361 N047.25.59.944 W122.18.11.489
                          N047.25.59.992 W122.18.12.927 N047.26.00.024 W122.18.13.046
                          N047.25.60.000 W122.18.13.701 N047.25.59.968 W122.18.13.805
                          N047.26.00.008 W122.18.10.643 N047.26.00.032 W122.18.10.754
                          N047.26.00.016 W122.18.11.257 N047.25.59.984 W122.18.11.361
                          N047.26.00.024 W122.18.13.597 N047.25.60.000 W122.18.13.701
                          N047.26.00.024 W122.18.13.046 N047.26.00.048 W122.18.13.142
                          N047.26.00.032 W122.18.20.633 N047.25.59.129 W122.18.20.633
                          N047.26.00.032 W122.18.20.090 N047.26.00.032 W122.18.20.633
                          N047.26.00.032 W122.18.10.754 N047.26.00.048 W122.18.10.858
                          N047.26.00.040 W122.18.11.138 N047.26.00.016 W122.18.11.257
                          N047.26.00.048 W122.18.11.066 N047.26.00.040 W122.18.11.138
                          N047.26.00.048 W122.18.10.978 N047.26.00.048 W122.18.11.066
                          N047.26.00.048 W122.18.10.858 N047.26.00.048 W122.18.10.978
                          N047.26.00.048 W122.18.13.142 N047.26.00.056 W122.18.13.238
                          N047.26.00.048 W122.18.13.494 N047.26.00.024 W122.18.13.597
                          N047.26.00.056 W122.18.13.342 N047.26.00.048 W122.18.13.494
                          N047.26.00.056 W122.18.13.238 N047.26.00.056 W122.18.13.342
                          N047.26.00.319 W122.18.09.988 N047.26.00.335 W122.18.09.860
                          N047.26.00.327 W122.18.10.116 N047.26.00.319 W122.18.09.988
                          N047.26.00.327 W122.18.11.928 N047.26.00.351 W122.18.11.761
                          N047.26.00.335 W122.18.09.860 N047.26.00.351 W122.18.09.716
                          N047.26.00.335 W122.18.12.104 N047.26.00.327 W122.18.11.928
                          N047.26.00.343 W122.18.13.957 N047.26.00.367 W122.18.13.725
                          N047.26.00.351 W122.18.10.243 N047.26.00.327 W122.18.10.116
                          N047.26.00.351 W122.18.09.716 N047.26.00.391 W122.18.09.588
                          N047.26.00.351 W122.18.11.761 N047.26.00.407 W122.18.11.569
                          N047.26.00.367 W122.18.14.204 N047.26.00.343 W122.18.13.957
                          N047.26.00.367 W122.18.13.725 N047.26.00.415 W122.18.13.525
                          N047.26.00.383 W122.18.12.272 N047.26.00.335 W122.18.12.104
                          N047.26.00.391 W122.18.09.588 N047.26.00.447 W122.18.09.493
                          N047.26.00.399 W122.18.10.379 N047.26.00.351 W122.18.10.243
                          N047.26.00.407 W122.18.11.569 N047.26.00.471 W122.18.11.449
                          N047.26.00.415 W122.18.13.525 N047.26.00.503 W122.18.13.366
                          N047.26.00.447 W122.18.10.483 N047.26.00.399 W122.18.10.379
                          N047.26.00.447 W122.18.09.493 N047.26.00.511 W122.18.09.413
                          N047.26.00.447 W122.18.14.396 N047.26.00.367 W122.18.14.204
                          N047.26.00.463 W122.18.12.447 N047.26.00.383 W122.18.12.272
                          N047.26.00.471 W122.18.11.449 N047.26.00.551 W122.18.11.353
                          N047.26.00.503 W122.18.10.571 N047.26.00.447 W122.18.10.483
                          N047.26.00.503 W122.18.13.366 N047.26.00.615 W122.18.13.262
                          N047.26.00.511 W122.18.09.413 N047.26.00.607 W122.18.09.333
                          N047.26.00.535 W122.18.14.516 N047.26.00.447 W122.18.14.396
                          N047.26.00.551 W122.18.12.567 N047.26.00.463 W122.18.12.447
                          N047.26.00.551 W122.18.11.353 N047.26.00.631 W122.18.11.273
