- S46 LABELS              N000.00.00.000 E000.00.00.000 N000.00.00.000 E000.00.00.000
                          N046.58.06.882 W122.54.02.567 N046.58.06.558 W122.54.02.567
                          N046.58.06.926 W122.53.31.510 N046.58.06.994 W122.53.31.936
                          N046.58.06.933 W122.53.30.853 N046.58.07.040 W122.53.30.837
                          N046.58.06.994 W122.53.31.936 N046.58.07.101 W122.53.31.920
                          N046.58.07.001 W122.53.31.282 N046.58.06.877 W122.53.31.191
                          N046.58.07.040 W122.53.30.837 N046.58.07.164 W122.53.30.928
                          N046.58.07.101 W122.53.31.920 N046.58.07.301 W122.53.31.452
                          N046.58.07.164 W122.53.30.928 N046.58.07.196 W122.53.31.140
                          N046.58.07.196 W122.53.31.140 N046.58.07.108 W122.53.31.263
                          N046.58.07.301 W122.53.31.452 N046.58.07.408 W122.53.31.435
                          N046.58.07.308 W122.53.30.795 N046.58.07.378 W122.53.30.895
                          N046.58.07.320 W122.53.31.230 N046.58.07.001 W122.53.31.282
                          N046.58.07.378 W122.53.30.895 N046.58.07.411 W122.53.31.107
                          N046.58.07.408 W122.53.31.435 N046.58.07.478 W122.53.31.533
                          N046.58.07.411 W122.53.31.107 N046.58.07.320 W122.53.31.230
                          N046.58.07.478 W122.53.31.533 N046.58.07.511 W122.53.31.747
                          N046.58.07.511 W122.53.31.747 N046.58.07.474 W122.53.31.862
                          N046.58.07.644 W122.54.28.156 N046.58.08.039 W122.54.28.235
                          N046.58.07.644 W122.54.27.997 N046.58.08.039 W122.54.28.077
                          N046.58.08.039 W122.54.28.077 N046.58.07.644 W122.54.28.156
                          N046.58.08.039 W122.54.27.918 N046.58.07.644 W122.54.27.997
                          N046.58.08.067 W122.53.31.726 N046.58.08.067 W122.53.31.468
                          N046.58.08.230 W122.53.31.726 N046.58.08.230 W122.53.31.533
                          N046.58.08.391 W122.53.31.726 N046.58.08.067 W122.53.31.726
                          N046.58.08.391 W122.53.31.468 N046.58.08.391 W122.53.31.726
                          N046.58.13.664 W122.53.58.778 N046.58.13.664 W122.53.58.615
                          N046.58.13.795 W122.53.58.778 N046.58.13.471 W122.53.58.778
                          N046.58.13.795 W122.53.58.517 N046.58.13.795 W122.53.58.778
                          N046.58.15.267 W122.53.57.485 N046.58.15.332 W122.53.57.420
                          N046.58.15.267 W122.53.57.613 N046.58.15.267 W122.53.57.485
                          N046.58.15.332 W122.53.57.678 N046.58.15.267 W122.53.57.613
                          N046.58.15.528 W122.53.57.678 N046.58.15.332 W122.53.57.678
                          N046.58.15.528 W122.53.57.420 N046.58.15.591 W122.53.57.485
                          N046.58.15.591 W122.53.57.485 N046.58.15.593 W122.53.57.613
                          N046.58.15.593 W122.53.57.613 N046.58.15.528 W122.53.57.678
                          N046.58.16.390 W122.54.28.116 N046.58.16.480 W122.54.27.993
                          N046.58.16.425 W122.54.28.330 N046.58.16.390 W122.54.28.116
                          N046.58.16.480 W122.54.27.993 N046.58.16.534 W122.54.27.986
                          N046.58.16.534 W122.54.27.986 N046.58.16.667 W122.54.28.128
                          N046.58.16.548 W122.54.28.419 N046.58.16.425 W122.54.28.330
                          N046.58.16.583 W122.53.40.508 N046.58.16.583 W122.53.40.249
                          N046.58.16.602 W122.54.28.412 N046.58.16.548 W122.54.28.419
