                          N045.50.19.000 W119.42.34.000 N045.50.59.000 W119.42.34.000
                          N045.50.59.000 W119.42.34.000 N045.51.09.000 W119.40.04.000
                          N045.51.09.000 W119.40.04.000 N045.52.59.000 W119.31.04.000
                          N048.06.01.000 W122.39.34.000 N047.52.14.000 W122.39.34.000
                          N047.52.14.000 W122.39.34.000 N047.52.15.000 W122.36.37.000
                          N047.52.15.000 W122.36.37.000 N048.05.55.000 W122.36.36.000
                          N048.05.55.000 W122.36.36.000 N048.06.01.000 W122.39.34.000
                          N048.13.02.700 W123.05.05.700 N048.14.55.300 W123.04.04.300
                          N048.14.55.300 W123.04.04.300 N048.09.16.900 W122.41.03.900
                          N048.09.16.900 W122.41.03.900 N048.07.10.900 W122.41.12.500
                          N048.07.10.900 W122.41.12.500 N048.13.02.700 W123.05.05.700
                          N044.13.00.000 W124.23.30.000 N044.21.00.000 W124.07.00.000
                          N044.21.00.000 W124.07.00.000 N044.21.00.000 W123.37.00.000
                          N044.21.00.000 W123.37.00.000 N042.10.00.000 W123.37.00.000
                          N042.10.00.000 W123.37.00.000 N042.10.00.000 W124.39.00.000
                          N042.10.00.000 W124.39.00.000 N042.14.50.320 W124.42.07.950
                          N042.14.50.320 W124.42.07.950 N042.23.03.540 W124.45.07.950
                          N042.23.03.540 W124.45.07.950 N042.31.16.760 W124.44.28.870
                          N042.31.16.760 W124.44.28.870 N042.36.10.340 W124.44.17.130
                          N042.36.10.340 W124.44.17.130 N042.41.50.890 W124.50.09.430
                          N042.41.50.890 W124.50.09.430 N042.51.49.800 W124.53.29.060
                          N042.51.49.800 W124.53.29.060 N042.59.04.310 W124.47.25.020
                          N042.59.04.310 W124.47.25.020 N043.08.39.720 W124.45.15.850
                          N043.08.39.720 W124.45.15.850 N043.22.56.980 W124.43.30.160
                          N043.22.56.980 W124.43.30.160 N043.35.40.300 W124.36.15.650
                          N043.35.40.300 W124.36.15.650 N043.53.17.190 W124.26.51.980
                          N043.53.17.190 W124.26.51.980 N044.13.00.000 W124.23.30.000
                          N042.10.00.000 W124.38.52.000 N042.10.00.000 W123.37.00.000
                          N042.10.00.000 W123.37.00.000 N041.25.00.000 W123.37.00.000
                          N041.25.00.000 W123.37.00.000 N041.25.00.000 W124.19.30.000
                          N041.25.00.000 W124.19.30.000 N041.27.29.130 W124.19.49.690
                          N041.27.29.130 W124.19.49.690 N041.30.13.950 W124.20.21.090
                          N041.30.13.950 W124.20.21.090 N041.33.06.630 W124.21.47.420
                          N041.33.06.630 W124.21.47.420 N041.34.48.660 W124.25.11.490
                          N041.34.48.660 W124.25.11.490 N041.40.02.620 W124.30.33.290
                          N041.40.02.620 W124.30.33.290 N041.45.32.270 W124.32.46.730
                          N041.45.32.270 W124.32.46.730 N041.50.06.980 W124.32.15.330
                          N041.50.06.980 W124.32.15.330 N041.52.51.800 W124.30.56.840
                          N041.52.51.800 W124.30.56.840 N041.57.02.960 W124.32.31.030
                          N041.57.02.960 W124.32.31.030 N042.01.14.130 W124.36.18.650
                          N042.01.14.130 W124.36.18.650 N042.06.28.080 W124.38.24.230
                          N042.06.28.080 W124.38.24.230 N042.10.00.000 W124.38.52.000
                          N042.13.30.000 W121.11.53.000 N042.18.22.000 W120.37.30.000
                          N042.18.22.000 W120.37.30.000 N041.46.60.000 W120.28.00.000
                          N041.46.60.000 W120.28.00.000 N041.25.00.000 W120.58.60.000
                          N041.25.00.000 W120.58.60.000 N041.51.03.000 W121.22.34.000
                          N041.51.03.000 W121.22.34.000 N042.13.30.000 W121.11.53.000
                          N041.25.00.000 W120.58.60.000 N041.46.60.000 W120.28.00.000
                          N041.46.60.000 W120.28.00.000 N041.12.00.000 W120.17.60.000
