-ZLC Sector Splits        N000.00.00.000 W000.00.00.000 N000.00.00.000 W000.00.00.000
                          N046.13.47.356 W114.53.12.900 N046.13.16.976 W114.52.28.986 SECTOR
                          N046.13.16.976 W114.52.28.986 N046.13.16.976 W114.51.01.157 SECTOR
                          N046.13.16.976 W114.51.01.157 N046.13.55.559 W114.50.05.385 SECTOR
                          N046.15.40.635 W114.53.24.758 N046.16.19.190 W114.52.28.986 SECTOR
                          N046.16.19.190 W114.52.28.986 N046.16.19.190 W114.51.01.157 SECTOR
                          N046.16.19.190 W114.51.01.157 N046.15.48.833 W114.50.17.243 SECTOR
                          N046.14.03.762 W114.52.49.184 N046.13.40.179 W114.52.15.093 SECTOR
                          N046.13.40.179 W114.52.15.093 N046.13.40.179 W114.51.15.050 SECTOR
                          N046.13.40.179 W114.51.15.050 N046.13.55.559 W114.50.52.817 SECTOR
                          N046.15.40.635 W114.52.37.326 N046.15.56.005 W114.52.15.093 SECTOR
                          N046.15.56.005 W114.52.15.093 N046.15.56.005 W114.51.15.050 SECTOR
                          N046.15.56.005 W114.51.15.050 N046.15.32.436 W114.50.40.959 SECTOR
                          N046.13.55.559 W114.50.05.385 N046.15.40.635 W114.52.37.326 SECTOR
                          N046.13.55.559 W114.50.52.817 N046.15.40.635 W114.53.24.758 SECTOR
                          N046.13.47.356 W114.53.12.900 N046.14.03.762 W114.52.49.184 SECTOR
                          N046.15.32.436 W114.50.40.959 N046.15.48.833 W114.50.17.243 SECTOR
                          N046.13.16.976 W114.49.22.798 N046.16.19.190 W114.49.22.798 SECTOR
                          N046.16.19.190 W114.49.22.798 N046.16.19.190 W114.46.27.141 SECTOR
                          N046.15.56.005 W114.48.49.259 N046.15.56.005 W114.46.27.141 SECTOR
                          N046.14.59.701 W114.48.49.259 N046.15.56.005 W114.48.49.259 SECTOR
                          N046.14.59.701 W114.48.49.259 N046.14.59.701 W114.47.54.970 SECTOR
                          N046.14.36.506 W114.48.49.259 N046.14.36.506 W114.47.54.970 SECTOR
                          N046.13.16.976 W114.49.22.798 N046.13.16.976 W114.48.49.259 SECTOR
                          N046.14.59.701 W114.47.54.970 N046.14.36.506 W114.47.54.970 SECTOR
                          N046.16.19.190 W114.46.27.141 N046.15.56.005 W114.46.27.141 SECTOR
                          N046.14.36.506 W114.48.49.259 N046.13.16.976 W114.48.49.259 SECTOR
                          N046.13.47.356 W114.42.37.040 N046.13.16.976 W114.43.20.954 SECTOR
                          N046.13.16.976 W114.43.20.954 N046.13.16.976 W114.44.48.783 SECTOR
                          N046.13.16.976 W114.44.48.783 N046.13.47.356 W114.45.32.697 SECTOR
                          N046.13.47.356 W114.45.32.697 N046.15.48.833 W114.45.32.697 SECTOR
                          N046.15.48.833 W114.45.32.697 N046.16.19.190 W114.44.48.783 SECTOR
                          N046.16.19.190 W114.44.48.783 N046.16.19.190 W114.43.20.954 SECTOR
                          N046.16.19.190 W114.43.20.954 N046.15.48.833 W114.42.37.040 SECTOR
                          N046.13.56.966 W114.44.59.157 N046.15.39.228 W114.44.59.157 SECTOR
                          N046.15.39.228 W114.44.59.157 N046.15.56.005 W114.44.34.890 SECTOR
                          N046.15.56.005 W114.44.34.890 N046.15.56.005 W114.43.34.846 SECTOR
                          N046.15.56.005 W114.43.34.846 N046.15.32.436 W114.43.00.756 SECTOR
                          N046.13.40.179 W114.44.34.890 N046.13.56.966 W114.44.59.157 SECTOR
                          N046.13.40.179 W114.43.34.846 N046.13.40.179 W114.44.34.890 SECTOR
                          N046.14.03.762 W114.43.00.756 N046.13.40.179 W114.43.34.846 SECTOR
                          N046.13.47.356 W114.42.37.040 N046.14.03.762 W114.43.00.756 SECTOR
                          N046.15.32.436 W114.43.00.756 N046.15.48.833 W114.42.37.040 SECTOR
                          N046.13.53.989 W114.38.09.936 N046.14.42.748 W114.38.09.936 SECTOR
                          N046.13.53.989 W114.38.43.210 N046.14.42.748 W114.38.43.210 SECTOR
                          N046.15.05.758 W114.38.43.210 N046.15.05.758 W114.39.53.706 SECTOR
                          N046.14.42.748 W114.38.43.210 N046.14.42.748 W114.39.53.706 SECTOR
                          N046.15.05.758 W114.39.53.706 N046.14.42.748 W114.39.53.706 SECTOR
                          N046.13.53.989 W114.38.43.210 N046.13.53.989 W114.38.09.936 SECTOR
                          N046.14.42.748 W114.36.59.440 N046.15.05.758 W114.36.59.440 SECTOR
                          N046.15.54.500 W114.38.09.936 N046.15.54.500 W114.38.43.210 SECTOR
                          N046.14.42.748 W114.36.59.440 N046.14.42.748 W114.38.09.936 SECTOR
                          N046.15.05.758 W114.36.59.440 N046.15.05.758 W114.38.09.936 SECTOR
                          N046.15.05.758 W114.38.09.936 N046.15.54.500 W114.38.09.936 SECTOR
                          N046.15.05.758 W114.38.43.210 N046.15.54.500 W114.38.43.210 SECTOR
                          N046.37.23.109 W114.54.30.501 N046.37.23.109 W114.51.16.241 SECTOR
                          N046.34.23.499 W114.54.50.496 N046.34.23.499 W114.51.36.235 SECTOR
                          N046.37.00.255 W114.54.30.501 N046.37.00.255 W114.52.18.413 SECTOR
                          N046.34.46.371 W114.53.48.324 N046.34.46.371 W114.51.36.235 SECTOR
                          N046.37.23.109 W114.51.16.241 N046.34.46.371 W114.53.48.324 SECTOR
                          N046.37.00.255 W114.52.18.413 N046.34.23.499 W114.54.50.496 SECTOR
                          N046.34.46.371 W114.51.36.235 N046.34.23.499 W114.51.36.235 SECTOR
                          N046.37.23.109 W114.54.30.501 N046.37.00.255 W114.54.30.501 SECTOR
                          N046.37.24.542 W114.50.41.791 N046.34.23.499 W114.50.41.791 SECTOR
                          N046.34.23.499 W114.50.41.791 N046.34.23.499 W114.47.46.134 SECTOR
                          N046.37.24.542 W114.50.08.251 N046.34.46.553 W114.50.08.251 SECTOR
                          N046.34.46.553 W114.50.08.251 N046.34.46.553 W114.47.46.134 SECTOR
                          N046.37.24.542 W114.50.41.791 N046.37.24.542 W114.50.08.251 SECTOR
                          N046.34.46.553 W114.47.46.134 N046.34.23.499 W114.47.46.134 SECTOR
                          N046.34.53.684 W114.43.56.032 N046.34.23.499 W114.44.39.946 SECTOR
                          N046.34.23.499 W114.44.39.946 N046.34.23.499 W114.46.07.775 SECTOR
                          N046.34.23.499 W114.46.07.775 N046.34.53.684 W114.46.51.689 SECTOR
                          N046.34.53.684 W114.46.51.689 N046.36.54.380 W114.46.51.689 SECTOR
                          N046.36.54.380 W114.46.51.689 N046.37.24.542 W114.46.07.775 SECTOR
                          N046.37.24.542 W114.46.07.775 N046.37.24.542 W114.44.39.946 SECTOR
                          N046.37.24.542 W114.44.39.946 N046.36.54.380 W114.43.56.032 SECTOR
                          N046.35.03.233 W114.46.18.150 N046.36.44.837 W114.46.18.150 SECTOR
                          N046.36.44.837 W114.46.18.150 N046.37.01.506 W114.45.53.882 SECTOR
                          N046.37.01.506 W114.45.53.882 N046.37.01.506 W114.44.53.839 SECTOR
                          N046.37.01.506 W114.44.53.839 N046.36.38.089 W114.44.19.748 SECTOR
                          N046.34.46.553 W114.45.53.882 N046.35.03.233 W114.46.18.150 SECTOR
                          N046.34.46.553 W114.44.53.839 N046.34.46.553 W114.45.53.882 SECTOR
                          N046.35.09.984 W114.44.19.748 N046.34.46.553 W114.44.53.839 SECTOR
                          N046.34.53.684 W114.43.56.032 N046.35.09.984 W114.44.19.748 SECTOR
                          N046.36.38.089 W114.44.19.748 N046.36.54.380 W114.43.56.032 SECTOR
                          N046.30.32.359 W114.49.55.716 N046.31.02.341 W114.49.12.150 SECTOR
                          N046.31.02.341 W114.49.12.150 N046.31.02.341 W114.47.45.017 SECTOR
                          N046.31.02.341 W114.47.45.017 N046.30.32.359 W114.47.01.450 SECTOR
                          N046.30.32.359 W114.47.01.450 N046.30.02.373 W114.47.01.450 SECTOR
                          N046.30.02.373 W114.47.01.450 N046.29.20.928 W114.48.01.653 SECTOR
                          N046.29.43.835 W114.48.55.513 N046.29.02.386 W114.49.55.716 SECTOR
                          N046.29.02.386 W114.49.55.716 N046.28.02.381 W114.49.55.716 SECTOR
                          N046.30.16.166 W114.49.32.188 N046.30.39.443 W114.48.58.367 SECTOR
                          N046.30.39.443 W114.48.58.367 N046.30.39.443 W114.47.58.799 SECTOR
                          N046.30.39.443 W114.47.58.799 N046.30.22.873 W114.47.34.724 SECTOR
                          N046.30.22.873 W114.47.34.724 N046.30.11.860 W114.47.34.724 SECTOR
                          N046.28.25.297 W114.49.22.442 N046.28.25.297 W114.47.01.450 SECTOR
                          N046.30.16.166 W114.49.32.188 N046.30.32.359 W114.49.55.716 SECTOR
                          N046.28.25.297 W114.47.01.450 N046.28.02.381 W114.47.01.450 SECTOR
                          N046.28.52.896 W114.49.22.442 N046.28.25.297 W114.49.22.442 SECTOR
                          N046.29.20.928 W114.48.41.730 N046.28.52.896 W114.49.22.442 SECTOR
                          N046.29.43.835 W114.48.15.436 N046.29.43.835 W114.48.55.513 SECTOR
                          N046.29.20.928 W114.48.01.653 N046.29.20.928 W114.48.41.730 SECTOR
                          N046.30.11.860 W114.47.34.724 N046.29.43.835 W114.48.15.436 SECTOR
                          N046.28.02.381 W114.49.55.716 N046.28.02.381 W114.47.01.450 SECTOR
                          N046.28.02.381 W114.41.34.729 N046.28.32.386 W114.42.18.295 SECTOR
                          N046.28.32.386 W114.42.18.295 N046.30.32.359 W114.42.18.295 SECTOR
                          N046.30.32.359 W114.42.18.295 N046.31.02.341 W114.41.34.729 SECTOR
                          N046.31.02.341 W114.41.34.729 N046.31.02.341 W114.40.51.162 SECTOR
                          N046.31.02.341 W114.40.51.162 N046.30.32.359 W114.40.07.596 SECTOR
                          N046.30.32.359 W114.40.07.596 N046.28.32.386 W114.40.07.596 SECTOR
                          N046.28.32.386 W114.40.07.596 N046.28.02.381 W114.40.51.162 SECTOR
                          N046.28.02.381 W114.40.51.162 N046.28.02.381 W114.41.34.729 SECTOR
                          N046.30.39.443 W114.41.20.946 N046.30.39.443 W114.41.04.945 SECTOR
                          N046.30.39.443 W114.41.04.945 N046.30.22.873 W114.40.40.870 SECTOR
                          N046.30.22.873 W114.40.40.870 N046.28.41.877 W114.40.40.870 SECTOR
                          N046.28.41.877 W114.40.40.870 N046.28.25.297 W114.41.04.945 SECTOR
                          N046.28.25.297 W114.41.04.945 N046.28.25.297 W114.41.20.946 SECTOR
                          N046.28.25.297 W114.41.20.946 N046.28.41.877 W114.41.45.022 SECTOR
                          N046.28.41.877 W114.41.45.022 N046.30.22.873 W114.41.45.022 SECTOR
                          N046.30.22.873 W114.41.45.022 N046.30.39.443 W114.41.20.946 SECTOR
                          N046.32.24.675 W114.51.01.596 N046.32.01.787 W114.51.01.596 SECTOR
                          N046.32.24.675 W114.51.01.596 N046.32.24.675 W114.39.01.716 SECTOR
                          N046.32.01.787 W114.51.01.596 N046.32.01.787 W114.39.01.716 SECTOR
                          N046.32.24.675 W114.39.01.716 N046.32.01.787 W114.39.01.716 SECTOR
                          N046.34.24.934 W114.41.00.934 N046.34.24.934 W114.39.33.801 SECTOR
                          N046.37.24.542 W114.40.00.731 N046.34.47.805 W114.40.00.731 SECTOR
                          N046.36.56.955 W114.40.34.004 N046.34.47.805 W114.40.34.004 SECTOR
                          N046.36.46.538 W114.40.49.170 N046.36.56.955 W114.40.34.004 SECTOR
                          N046.37.02.699 W114.41.12.698 N046.37.24.542 W114.40.40.896 SECTOR
                          N046.34.47.805 W114.41.00.934 N046.34.47.805 W114.40.34.004 SECTOR
                          N046.34.24.934 W114.39.33.801 N046.34.47.805 W114.39.33.801 SECTOR
                          N046.34.24.934 W114.41.00.934 N046.34.47.805 W114.41.00.934 SECTOR
                          N046.34.47.805 W114.39.33.801 N046.34.47.805 W114.40.00.731 SECTOR
                          N046.36.46.538 W114.40.49.170 N046.37.02.699 W114.41.12.698 SECTOR
                          N046.37.24.542 W114.40.00.731 N046.37.24.542 W114.40.40.896 SECTOR
                          N046.34.24.934 W114.37.55.790 N046.34.24.934 W114.37.12.224 SECTOR
                          N046.34.24.934 W114.37.12.224 N046.35.24.821 W114.35.45.091 SECTOR
                          N046.35.24.821 W114.35.45.091 N046.36.54.619 W114.35.45.091 SECTOR
                          N046.36.54.619 W114.35.45.091 N046.37.24.542 W114.36.28.657 SECTOR
                          N046.37.24.542 W114.36.28.657 N046.37.24.542 W114.37.55.790 SECTOR
                          N046.37.24.542 W114.37.55.790 N046.36.54.619 W114.38.39.356 SECTOR
                          N046.36.54.619 W114.38.39.356 N046.36.24.691 W114.38.39.356 SECTOR
                          N046.36.24.691 W114.38.39.356 N046.35.43.327 W114.37.39.153 SECTOR
                          N046.37.01.689 W114.36.42.440 N046.37.01.689 W114.37.42.008 SECTOR
                          N046.37.01.689 W114.37.42.008 N046.36.45.151 W114.38.06.083 SECTOR
                          N046.36.34.159 W114.38.06.083 N046.36.06.189 W114.37.25.371 SECTOR
                          N046.36.45.151 W114.38.06.083 N046.36.34.159 W114.38.06.083 SECTOR
                          N046.36.06.189 W114.36.18.365 N046.36.45.151 W114.36.18.365 SECTOR
                          N046.36.45.151 W114.36.18.365 N046.37.01.689 W114.36.42.440 SECTOR
                          N046.34.47.805 W114.37.26.006 N046.35.34.293 W114.36.18.365 SECTOR
                          N046.34.47.805 W114.37.55.790 N046.34.47.805 W114.37.26.006 SECTOR
                          N046.36.06.189 W114.37.25.371 N046.36.06.189 W114.36.18.365 SECTOR
                          N046.35.43.327 W114.37.39.153 N046.35.43.327 W114.36.18.365 SECTOR
                          N046.34.47.805 W114.37.55.790 N046.34.24.934 W114.37.55.790 SECTOR
                          N046.35.43.327 W114.36.18.365 N046.35.34.293 W114.36.18.365 SECTOR
                          N046.28.02.381 W114.45.25.950 N046.28.32.386 W114.46.09.516 SECTOR
                          N046.28.32.386 W114.46.09.516 N046.29.02.386 W114.46.09.516 SECTOR
                          N046.29.02.386 W114.46.09.516 N046.29.32.382 W114.45.25.950 SECTOR
                          N046.29.32.382 W114.43.58.817 N046.30.02.373 W114.43.15.251 SECTOR
                          N046.30.02.373 W114.43.15.251 N046.30.32.359 W114.43.15.251 SECTOR
                          N046.30.32.359 W114.43.15.251 N046.31.02.341 W114.43.58.817 SECTOR
                          N046.31.02.341 W114.43.58.817 N046.31.02.341 W114.45.25.950 SECTOR
                          N046.31.02.341 W114.45.25.950 N046.30.32.359 W114.46.09.516 SECTOR
                          N046.30.32.359 W114.46.09.516 N046.30.02.373 W114.46.09.516 SECTOR
                          N046.30.02.373 W114.46.09.516 N046.29.32.382 W114.45.25.950 SECTOR
                          N046.29.32.382 W114.43.58.817 N046.29.02.386 W114.43.15.251 SECTOR
                          N046.29.02.386 W114.43.15.251 N046.28.32.386 W114.43.15.251 SECTOR
                          N046.28.32.386 W114.43.15.251 N046.28.02.381 W114.43.58.817 SECTOR
                          N046.28.02.381 W114.43.58.817 N046.28.02.381 W114.45.25.950 SECTOR
                          N046.30.39.443 W114.44.12.599 N046.30.39.443 W114.45.12.167 SECTOR
                          N046.30.39.443 W114.45.12.167 N046.30.22.873 W114.45.36.243 SECTOR
                          N046.30.22.873 W114.45.36.243 N046.30.11.860 W114.45.36.243 SECTOR
                          N046.30.11.860 W114.45.36.243 N046.29.43.835 W114.44.55.530 SECTOR
                          N046.29.43.835 W114.44.29.236 N046.30.11.860 W114.43.48.524 SECTOR
                          N046.30.11.860 W114.43.48.524 N046.30.22.873 W114.43.48.524 SECTOR
                          N046.30.22.873 W114.43.48.524 N046.30.39.443 W114.44.12.599 SECTOR
                          N046.29.20.928 W114.44.29.236 N046.28.52.896 W114.43.48.524 SECTOR
                          N046.28.52.896 W114.43.48.524 N046.28.41.877 W114.43.48.524 SECTOR
                          N046.28.41.877 W114.43.48.524 N046.28.25.297 W114.44.12.599 SECTOR
                          N046.28.25.297 W114.44.12.599 N046.28.25.297 W114.45.12.167 SECTOR
                          N046.28.25.297 W114.45.12.167 N046.28.41.877 W114.45.36.243 SECTOR
                          N046.28.41.877 W114.45.36.243 N046.28.52.896 W114.45.36.243 SECTOR
                          N046.28.52.896 W114.45.36.243 N046.29.20.928 W114.44.55.530 SECTOR
                          N046.29.20.928 W114.44.55.530 N046.29.20.928 W114.44.29.236 SECTOR
                          N046.29.43.835 W114.44.55.530 N046.29.43.835 W114.44.29.236 SECTOR
                          N046.50.18.080 W114.54.22.967 N046.50.18.080 W114.51.08.706 SECTOR
                          N046.47.19.186 W114.54.42.962 N046.47.19.186 W114.51.28.701 SECTOR
                          N046.49.55.318 W114.54.22.967 N046.49.55.318 W114.52.10.879 SECTOR
                          N046.47.41.966 W114.53.40.790 N046.47.41.966 W114.51.28.701 SECTOR
                          N046.50.18.080 W114.51.08.706 N046.47.41.966 W114.53.40.790 SECTOR
                          N046.49.55.318 W114.52.10.879 N046.47.19.186 W114.54.42.962 SECTOR
                          N046.47.41.966 W114.51.28.701 N046.47.19.186 W114.51.28.701 SECTOR
                          N046.50.18.080 W114.54.22.967 N046.49.55.318 W114.54.22.967 SECTOR
                          N046.50.19.508 W114.50.34.257 N046.47.19.186 W114.50.34.257 SECTOR
                          N046.47.19.186 W114.50.34.257 N046.47.19.186 W114.47.38.600 SECTOR
                          N046.50.19.508 W114.50.00.717 N046.47.42.148 W114.50.00.717 SECTOR
                          N046.47.42.148 W114.50.00.717 N046.47.42.148 W114.47.38.600 SECTOR
                          N046.50.19.508 W114.50.34.257 N046.50.19.508 W114.50.00.717 SECTOR
                          N046.47.42.148 W114.47.38.600 N046.47.19.186 W114.47.38.600 SECTOR
                          N046.47.49.251 W114.43.48.498 N046.47.19.186 W114.44.32.412 SECTOR
                          N046.47.19.186 W114.44.32.412 N046.47.19.186 W114.46.00.241 SECTOR
                          N046.47.19.186 W114.46.00.241 N046.47.49.251 W114.46.44.155 SECTOR
                          N046.47.49.251 W114.46.44.155 N046.49.49.466 W114.46.44.155 SECTOR
                          N046.49.49.466 W114.46.44.155 N046.50.19.508 W114.46.00.241 SECTOR
                          N046.50.19.508 W114.46.00.241 N046.50.19.508 W114.44.32.412 SECTOR
                          N046.50.19.508 W114.44.32.412 N046.49.49.466 W114.43.48.498 SECTOR
                          N046.47.58.761 W114.46.10.616 N046.49.39.961 W114.46.10.616 SECTOR
                          N046.49.39.961 W114.46.10.616 N046.49.56.564 W114.45.46.348 SECTOR
                          N046.49.56.564 W114.45.46.348 N046.49.56.564 W114.44.46.305 SECTOR
                          N046.49.56.564 W114.44.46.305 N046.49.33.240 W114.44.12.214 SECTOR
                          N046.47.42.148 W114.45.46.348 N046.47.58.761 W114.46.10.616 SECTOR
                          N046.47.42.148 W114.44.46.305 N046.47.42.148 W114.45.46.348 SECTOR
                          N046.48.05.486 W114.44.12.214 N046.47.42.148 W114.44.46.305 SECTOR
