BFI LABELS                N000.00.00.000 E000.00.00.000 N000.00.00.000 E000.00.00.000
                          N047.31.16.925 W122.17.35.713 N047.31.17.466 W122.17.35.927
                          N047.31.17.195 W122.17.35.820 N047.31.17.195 W122.17.36.035
                          N047.31.17.466 W122.17.35.927 N047.31.16.925 W122.17.36.142
                          N047.31.20.820 W122.17.49.427 N047.31.20.945 W122.17.49.129
                          N047.31.20.945 W122.17.49.129 N047.31.21.039 W122.17.49.050
                          N047.31.21.039 W122.17.49.050 N047.31.21.239 W122.17.49.134
                          N047.31.21.118 W122.17.49.553 N047.31.21.243 W122.17.49.255
                          N047.31.21.136 W122.17.48.682 N047.31.21.742 W122.17.48.645
                          N047.31.21.239 W122.17.49.134 N047.31.21.243 W122.17.49.255
                          N047.31.21.243 W122.17.49.255 N047.31.21.313 W122.17.49.227
                          N047.31.21.313 W122.17.49.227 N047.31.21.416 W122.17.49.269
                          N047.31.21.318 W122.17.49.637 N047.31.20.820 W122.17.49.427
                          N047.31.21.416 W122.17.49.269 N047.31.21.444 W122.17.49.339
                          N047.31.21.444 W122.17.49.339 N047.31.21.318 W122.17.49.637
                          N047.31.21.742 W122.17.48.645 N047.31.21.570 W122.17.49.041
                          N047.31.22.580 W122.17.45.035 N047.31.22.990 W122.17.45.444
                          N047.31.22.785 W122.17.45.239 N047.31.22.702 W122.17.45.440
                          N047.31.22.981 W122.17.44.094 N047.31.23.028 W122.17.43.991
                          N047.31.22.990 W122.17.45.444 N047.31.22.408 W122.17.45.430
                          N047.31.22.990 W122.17.44.215 N047.31.22.981 W122.17.44.094
                          N047.31.22.990 W122.17.44.215 N047.31.22.990 W122.17.44.215
                          N047.31.23.028 W122.17.43.991 N047.31.23.116 W122.17.43.916
                          N047.31.23.032 W122.17.44.937 N047.31.23.247 W122.17.44.853
                          N047.31.23.070 W122.17.44.303 N047.31.22.990 W122.17.44.215
                          N047.31.23.116 W122.17.43.916 N047.31.23.237 W122.17.43.907
                          N047.31.23.237 W122.17.43.907 N047.31.23.438 W122.17.43.991
                          N047.31.23.247 W122.17.44.853 N047.31.22.748 W122.17.44.639
                          N047.31.23.265 W122.17.44.392 N047.31.23.070 W122.17.44.303
                          N047.31.23.386 W122.17.44.382 N047.31.23.265 W122.17.44.392
