TIW LABELS                N000.00.00.000 E000.00.00.000 N000.00.00.000 E000.00.00.000
                          N047.16.08.021 W122.34.34.109 N047.16.08.021 W122.34.34.174
                          N047.16.08.026 W122.34.34.659 N047.16.08.021 W122.34.34.468
                          N047.16.08.054 W122.34.34.435 N047.16.08.119 W122.34.34.435
                          N047.16.08.119 W122.34.34.435 N047.16.08.152 W122.34.34.468
                          N047.16.08.152 W122.34.34.659 N047.16.07.830 W122.34.34.664
                          N047.16.08.152 W122.34.34.468 N047.16.08.152 W122.34.34.659
                          N047.16.08.152 W122.34.34.044 N047.16.08.152 W122.34.34.240
                          N047.16.13.229 W122.34.34.473 N047.16.13.551 W122.34.34.603
                          N047.16.13.388 W122.34.34.538 N047.16.13.392 W122.34.34.668
                          N047.16.13.551 W122.34.34.603 N047.16.13.229 W122.34.34.733
                          N047.16.17.622 W122.34.32.637 N047.16.17.655 W122.34.32.572
                          N047.16.17.622 W122.34.32.446 N047.16.17.687 W122.34.32.446
                          N047.16.17.622 W122.34.32.185 N047.16.17.622 W122.34.32.446
                          N047.16.17.627 W122.34.32.833 N047.16.17.622 W122.34.32.637
                          N047.16.17.655 W122.34.32.572 N047.16.17.785 W122.34.32.572
                          N047.16.17.687 W122.34.32.446 N047.16.17.850 W122.34.32.185
                          N047.16.17.785 W122.34.32.572 N047.16.17.818 W122.34.32.637
                          N047.16.17.818 W122.34.32.637 N047.16.17.850 W122.34.32.605
                          N047.16.17.818 W122.34.32.833 N047.16.17.818 W122.34.32.637
                          N047.16.17.850 W122.34.32.605 N047.16.17.916 W122.34.32.605
                          N047.16.17.850 W122.34.32.185 N047.16.17.911 W122.34.32.185
                          N047.16.17.911 W122.34.32.185 N047.16.17.948 W122.34.32.251
                          N047.16.17.916 W122.34.32.605 N047.16.17.948 W122.34.32.637
                          N047.16.17.948 W122.34.32.637 N047.16.17.948 W122.34.32.833
                          N047.16.17.948 W122.34.32.833 N047.16.17.627 W122.34.32.833
                          N047.16.17.948 W122.34.32.251 N047.16.17.948 W122.34.32.376
                          N047.16.17.948 W122.34.32.376 N047.16.17.916 W122.34.32.442
                          N047.16.23.920 W122.34.32.432 N047.16.24.246 W122.34.32.558
                          N047.16.24.083 W122.34.32.497 N047.16.24.088 W122.34.32.628
                          N047.16.24.246 W122.34.32.558 N047.16.23.925 W122.34.32.693
                          N047.16.28.206 W122.34.30.662 N047.16.28.239 W122.34.30.597
                          N047.16.28.211 W122.34.30.858 N047.16.28.206 W122.34.30.662
                          N047.16.28.239 W122.34.30.597 N047.16.28.369 W122.34.30.597
                          N047.16.28.369 W122.34.30.597 N047.16.28.402 W122.34.30.662
                          N047.16.28.402 W122.34.30.662 N047.16.28.434 W122.34.30.629
                          N047.16.28.402 W122.34.30.858 N047.16.28.402 W122.34.30.662
                          N047.16.28.434 W122.34.30.629 N047.16.28.499 W122.34.30.629
                          N047.16.28.434 W122.34.30.434 N047.16.28.532 W122.34.30.336
                          N047.16.28.499 W122.34.30.629 N047.16.28.532 W122.34.30.662
                          N047.16.28.509 W122.34.34.976 N047.16.28.830 W122.34.35.106
                          N047.16.28.523 W122.34.36.820 N047.16.28.849 W122.34.36.657
                          N047.16.28.532 W122.34.30.858 N047.16.28.211 W122.34.30.858
                          N047.16.28.532 W122.34.30.662 N047.16.28.532 W122.34.30.858
                          N047.16.28.532 W122.34.30.336 N047.16.28.206 W122.34.30.341
                          N047.16.28.672 W122.34.35.041 N047.16.28.672 W122.34.35.171
                          N047.16.28.732 W122.34.34.813 N047.16.28.830 W122.34.34.715
                          N047.16.28.756 W122.34.37.272 N047.16.28.853 W122.34.37.174
                          N047.16.28.830 W122.34.35.106 N047.16.28.509 W122.34.35.237
                          N047.16.28.830 W122.34.34.715 N047.16.28.504 W122.34.34.720
                          N047.16.28.849 W122.34.36.657 N047.16.28.849 W122.34.36.914
                          N047.16.28.853 W122.34.37.174 N047.16.28.527 W122.34.37.174
