OLM LABELS                N000.00.00.000 E000.00.00.000 N000.00.00.000 E000.00.00.000
                          N046.58.06.929 W122.53.31.511 N046.58.06.995 W122.53.31.935
                          N046.58.06.934 W122.53.30.854 N046.58.07.041 W122.53.30.835
                          N046.58.06.995 W122.53.31.935 N046.58.07.102 W122.53.31.921
                          N046.58.07.004 W122.53.31.278 N046.58.06.878 W122.53.31.189
                          N046.58.07.041 W122.53.30.835 N046.58.07.167 W122.53.30.924
                          N046.58.07.102 W122.53.31.921 N046.58.07.302 W122.53.31.450
                          N046.58.07.167 W122.53.30.924 N046.58.07.200 W122.53.31.138
                          N046.58.07.200 W122.53.31.138 N046.58.07.106 W122.53.31.264
                          N046.58.07.302 W122.53.31.450 N046.58.07.409 W122.53.31.436
                          N046.58.07.307 W122.53.30.793 N046.58.07.377 W122.53.30.891
                          N046.58.07.321 W122.53.31.226 N046.58.07.004 W122.53.31.278
                          N046.58.07.377 W122.53.30.891 N046.58.07.414 W122.53.31.105
                          N046.58.07.409 W122.53.31.436 N046.58.07.479 W122.53.31.534
                          N046.58.07.414 W122.53.31.105 N046.58.07.321 W122.53.31.226
                          N046.58.07.479 W122.53.31.534 N046.58.07.512 W122.53.31.744
                          N046.58.07.512 W122.53.31.744 N046.58.07.474 W122.53.31.860
                          N046.58.07.647 W122.54.28.152 N046.58.08.043 W122.54.28.231
                          N046.58.07.647 W122.54.27.994 N046.58.08.043 W122.54.28.073
                          N046.58.08.043 W122.54.28.073 N046.58.07.647 W122.54.28.152
                          N046.58.08.043 W122.54.27.914 N046.58.07.647 W122.54.27.994
                          N046.58.08.071 W122.53.31.725 N046.58.08.071 W122.53.31.464
                          N046.58.08.229 W122.53.31.725 N046.58.08.229 W122.53.31.529
                          N046.58.08.392 W122.53.31.725 N046.58.08.071 W122.53.31.725
                          N046.58.08.392 W122.53.31.464 N046.58.08.392 W122.53.31.725
                          N046.58.13.665 W122.53.58.776 N046.58.13.665 W122.53.58.613
                          N046.58.13.796 W122.53.58.776 N046.58.13.474 W122.53.58.776
                          N046.58.13.796 W122.53.58.515 N046.58.13.796 W122.53.58.776
                          N046.58.15.268 W122.53.57.481 N046.58.15.333 W122.53.57.416
                          N046.58.15.268 W122.53.57.612 N046.58.15.268 W122.53.57.481
                          N046.58.15.333 W122.53.57.677 N046.58.15.268 W122.53.57.612
                          N046.58.15.529 W122.53.57.677 N046.58.15.333 W122.53.57.677
                          N046.58.15.529 W122.53.57.416 N046.58.15.594 W122.53.57.481
                          N046.58.15.594 W122.53.57.612 N046.58.15.529 W122.53.57.677
                          N046.58.15.594 W122.53.57.481 N046.58.15.594 W122.53.57.612
                          N046.58.16.390 W122.54.28.115 N046.58.16.484 W122.54.27.994
                          N046.58.16.423 W122.54.28.329 N046.58.16.390 W122.54.28.115
                          N046.58.16.484 W122.54.27.994 N046.58.16.535 W122.54.27.984
                          N046.58.16.535 W122.54.27.984 N046.58.16.665 W122.54.28.129
                          N046.58.16.549 W122.54.28.417 N046.58.16.423 W122.54.28.329
                          N046.58.16.586 W122.53.40.506 N046.58.16.582 W122.53.40.250
                          N046.58.16.600 W122.54.28.408 N046.58.16.549 W122.54.28.417
                          N046.58.16.665 W122.54.28.129 N046.58.16.684 W122.54.28.231
                          N046.58.16.665 W122.54.28.129 N046.58.16.749 W122.54.27.952
                          N046.58.16.684 W122.54.28.231 N046.58.16.600 W122.54.28.408
                          N046.58.16.745 W122.53.40.506 N046.58.16.745 W122.53.40.310
                          N046.58.16.749 W122.54.27.952 N046.58.16.800 W122.54.27.942
                          N046.58.16.800 W122.54.27.942 N046.58.16.926 W122.54.28.031
                          N046.58.16.814 W122.54.28.376 N046.58.16.684 W122.54.28.231
                          N046.58.16.870 W122.54.28.366 N046.58.16.814 W122.54.28.376
                          N046.58.16.908 W122.53.40.506 N046.58.16.586 W122.53.40.506
                          N046.58.16.908 W122.53.40.245 N046.58.16.908 W122.53.40.506
                          N046.58.16.926 W122.54.28.031 N046.58.16.959 W122.54.28.245
                          N046.58.16.959 W122.54.28.245 N046.58.16.870 W122.54.28.366
                          N046.58.17.499 W122.53.52.725 N046.58.17.499 W122.53.52.562
                          N046.58.17.630 W122.53.52.725 N046.58.17.308 W122.53.52.725
                          N046.58.17.630 W122.53.52.464 N046.58.17.630 W122.53.52.725
                          N046.58.21.445 W122.53.47.214 N046.58.21.445 W122.53.46.953
                          N046.58.21.608 W122.53.47.214 N046.58.21.608 W122.53.47.018
                          N046.58.21.766 W122.53.46.953 N046.58.21.771 W122.53.47.214
                          N046.58.21.771 W122.53.47.214 N046.58.21.445 W122.53.47.214
                          N046.58.23.578 W122.54.03.011 N046.58.23.644 W122.54.02.950
                          N046.58.23.578 W122.54.03.141 N046.58.23.578 W122.54.03.011
                          N046.58.23.644 W122.54.03.206 N046.58.23.578 W122.54.03.141
                          N046.58.23.839 W122.54.03.206 N046.58.23.644 W122.54.03.206
                          N046.58.23.839 W122.54.02.945 N046.58.23.904 W122.54.03.011
                          N046.58.23.904 W122.54.03.141 N046.58.23.839 W122.54.03.206
                          N046.58.23.904 W122.54.03.011 N046.58.23.904 W122.54.03.141
                          N046.58.24.608 W122.54.28.073 N046.58.25.004 W122.54.28.152
                          N046.58.24.608 W122.54.27.914 N046.58.25.004 W122.54.27.994
                          N046.58.25.004 W122.54.27.994 N046.58.24.608 W122.54.28.073
                          N046.58.25.004 W122.54.27.835 N046.58.24.608 W122.54.27.914
                          N046.58.28.987 W122.54.06.588 N046.58.29.052 W122.54.06.523
                          N046.58.28.987 W122.54.06.719 N046.58.28.987 W122.54.06.588
                          N046.58.29.052 W122.54.06.784 N046.58.28.987 W122.54.06.719
