SFF LABELS                N000.00.00.000 E000.00.00.000 N000.00.00.000 E000.00.00.000
                          N047.40.58.571 W117.19.07.985 N047.40.58.613 W117.19.08.022
                          N047.40.58.613 W117.19.08.260 N047.40.58.217 W117.19.08.260
                          N047.40.58.613 W117.19.08.022 N047.40.58.613 W117.19.08.260
                          N047.40.59.283 W117.19.20.982 N047.40.59.363 W117.19.20.903
                          N047.40.59.283 W117.19.21.220 N047.40.59.283 W117.19.20.982
                          N047.40.59.283 W117.19.21.220 N047.40.59.283 W117.19.21.220
                          N047.40.59.363 W117.19.20.903 N047.40.59.600 W117.19.20.903
                          N047.40.59.600 W117.19.20.903 N047.40.59.679 W117.19.20.982
                          N047.40.59.679 W117.19.21.220 N047.40.59.283 W117.19.21.220
                          N047.40.59.679 W117.19.20.982 N047.40.59.679 W117.19.21.220
                          N047.41.03.686 W117.18.53.018 N047.41.04.082 W117.18.53.176
                          N047.41.03.863 W117.18.56.446 N047.41.03.900 W117.18.56.367
                          N047.41.03.863 W117.18.56.684 N047.41.03.863 W117.18.56.446
                          N047.41.03.886 W117.18.53.097 N047.41.03.886 W117.18.53.255
                          N047.41.03.900 W117.18.56.367 N047.41.04.058 W117.18.56.367
                          N047.41.04.058 W117.18.56.367 N047.41.04.100 W117.18.56.446
                          N047.41.04.082 W117.18.53.176 N047.41.03.686 W117.18.53.335
                          N047.41.04.100 W117.18.56.446 N047.41.04.137 W117.18.56.404
                          N047.41.04.100 W117.18.56.684 N047.41.04.100 W117.18.56.446
                          N047.41.04.137 W117.18.56.404 N047.41.04.217 W117.18.56.404
                          N047.41.04.217 W117.18.56.404 N047.41.04.259 W117.18.56.446
                          N047.41.04.259 W117.18.56.684 N047.41.03.863 W117.18.56.684
                          N047.41.04.259 W117.18.56.446 N047.41.04.259 W117.18.56.684
                          N047.41.06.574 W117.18.56.209 N047.41.06.653 W117.18.56.209
                          N047.41.06.574 W117.18.56.367 N047.41.06.574 W117.18.56.684
                          N047.41.06.574 W117.18.56.684 N047.41.06.653 W117.18.56.684
                          N047.41.06.574 W117.18.55.417 N047.41.06.574 W117.18.55.734
                          N047.41.06.574 W117.18.55.734 N047.41.06.970 W117.18.55.734
                          N047.41.06.574 W117.18.55.892 N047.41.06.574 W117.18.56.209
                          N047.41.06.653 W117.18.56.684 N047.41.06.853 W117.18.56.367
                          N047.41.06.653 W117.18.56.209 N047.41.06.853 W117.18.55.892
                          N047.41.06.853 W117.18.56.367 N047.41.06.933 W117.18.56.367
                          N047.41.06.853 W117.18.55.892 N047.41.06.933 W117.18.55.892
                          N047.41.06.933 W117.18.56.367 N047.41.06.970 W117.18.56.446
                          N047.41.06.933 W117.18.55.892 N047.41.06.970 W117.18.55.971
                          N047.41.06.970 W117.18.56.446 N047.41.06.970 W117.18.56.605
                          N047.41.06.970 W117.18.56.605 N047.41.06.933 W117.18.56.684
                          N047.41.06.970 W117.18.55.971 N047.41.06.970 W117.18.56.130
                          N047.41.06.970 W117.18.56.130 N047.41.06.933 W117.18.56.209
                          N047.41.09.523 W117.18.57.555 N047.41.09.919 W117.18.57.713
                          N047.41.09.723 W117.18.57.634 N047.41.09.723 W117.18.57.793
                          N047.41.09.919 W117.18.57.713 N047.41.09.523 W117.18.57.872
                          N047.41.10.375 W117.19.01.123 N047.41.10.375 W117.19.01.552
                          N047.41.10.375 W117.19.01.552 N047.41.10.482 W117.19.01.552
                          N047.41.10.375 W117.19.00.904 N047.41.10.482 W117.19.00.904
                          N047.41.10.375 W117.18.59.824 N047.41.10.645 W117.18.59.935
                          N047.41.10.375 W117.19.00.471 N047.41.10.375 W117.19.00.904
                          N047.41.10.482 W117.19.01.552 N047.41.10.752 W117.19.01.123
                          N047.41.10.482 W117.19.00.904 N047.41.10.752 W117.19.00.471
                          N047.41.10.645 W117.18.59.935 N047.41.10.701 W117.18.59.824
                          N047.41.10.645 W117.19.00.257 N047.41.10.645 W117.18.59.935
                          N047.41.10.701 W117.18.59.824 N047.41.10.864 W117.18.59.824
                          N047.41.10.752 W117.19.01.123 N047.41.10.864 W117.19.01.123
                          N047.41.10.752 W117.19.00.471 N047.41.10.864 W117.19.00.471
                          N047.41.10.864 W117.19.01.123 N047.41.10.915 W117.19.01.230
                          N047.41.10.864 W117.19.00.471 N047.41.10.915 W117.19.00.583
                          N047.41.10.864 W117.18.59.824 N047.41.10.915 W117.18.59.935
                          N047.41.10.915 W117.19.00.797 N047.41.10.864 W117.19.00.904
                          N047.41.10.915 W117.19.01.230 N047.41.10.915 W117.19.01.445
                          N047.41.10.915 W117.19.01.445 N047.41.10.864 W117.19.01.552
                          N047.41.10.915 W117.18.59.935 N047.41.10.915 W117.19.00.257
                          N047.41.10.915 W117.19.00.257 N047.41.10.375 W117.19.00.257
                          N047.41.10.915 W117.19.00.583 N047.41.10.915 W117.19.00.797
