RNT LABELS                N000.00.00.000 E000.00.00.000 N000.00.00.000 E000.00.00.000
                          N047.29.24.351 W122.12.50.097 N047.29.24.370 W122.12.49.775
                          N047.29.24.370 W122.12.49.775 N047.29.24.426 W122.12.49.724
                          N047.29.24.426 W122.12.49.724 N047.29.24.533 W122.12.49.733
                          N047.29.24.533 W122.12.49.733 N047.29.24.584 W122.12.49.789
                          N047.29.24.566 W122.12.50.111 N047.29.24.025 W122.12.50.078
                          N047.29.24.584 W122.12.49.789 N047.29.24.566 W122.12.50.111
                          N047.29.26.401 W122.12.59.614 N047.29.26.923 W122.12.59.865
                          N047.29.26.662 W122.12.59.740 N047.29.26.648 W122.12.59.954
                          N047.29.26.923 W122.12.59.865 N047.29.26.373 W122.13.00.047
                          N047.29.29.881 W122.12.57.913 N047.29.30.267 W122.12.58.095
                          N047.29.29.895 W122.12.57.676 N047.29.29.904 W122.12.57.517
                          N047.29.29.904 W122.12.57.517 N047.29.29.951 W122.12.57.438
                          N047.29.29.932 W122.12.57.755 N047.29.29.895 W122.12.57.676
                          N047.29.29.951 W122.12.57.438 N047.29.30.146 W122.12.57.452
                          N047.29.30.072 W122.12.58.002 N047.29.30.062 W122.12.58.160
                          N047.29.30.086 W122.12.57.764 N047.29.30.286 W122.12.57.778
                          N047.29.30.132 W122.12.57.690 N047.29.30.086 W122.12.57.764
                          N047.29.30.142 W122.12.57.531 N047.29.30.132 W122.12.57.690
                          N047.29.30.146 W122.12.57.452 N047.29.30.142 W122.12.57.531
                          N047.29.30.225 W122.12.54.364 N047.29.30.244 W122.12.54.126
                          N047.29.30.244 W122.12.54.126 N047.29.30.286 W122.12.54.052
                          N047.29.30.263 W122.12.53.809 N047.29.30.272 W122.12.53.651
                          N047.29.30.267 W122.12.58.095 N047.29.29.862 W122.12.58.230
                          N047.29.30.272 W122.12.53.651 N047.29.30.319 W122.12.53.576
                          N047.29.30.286 W122.12.54.052 N047.29.30.444 W122.12.54.061
                          N047.29.30.286 W122.12.57.778 N047.29.30.305 W122.12.57.462
                          N047.29.30.295 W122.12.53.893 N047.29.30.263 W122.12.53.809
                          N047.29.30.319 W122.12.53.576 N047.29.30.514 W122.12.53.586
                          N047.29.30.444 W122.12.54.061 N047.29.30.477 W122.12.54.140
                          N047.29.30.454 W122.12.53.903 N047.29.30.654 W122.12.53.912
                          N047.29.30.463 W122.12.54.378 N047.29.30.477 W122.12.54.140
                          N047.29.30.477 W122.12.54.140 N047.29.30.519 W122.12.54.103
                          N047.29.30.500 W122.12.53.823 N047.29.30.454 W122.12.53.903
                          N047.29.30.510 W122.12.53.665 N047.29.30.500 W122.12.53.823
                          N047.29.30.514 W122.12.53.586 N047.29.30.510 W122.12.53.665
                          N047.29.30.519 W122.12.54.103 N047.29.30.598 W122.12.54.108
                          N047.29.30.598 W122.12.54.108 N047.29.30.635 W122.12.54.149
                          N047.29.30.621 W122.12.54.387 N047.29.30.225 W122.12.54.364
                          N047.29.30.635 W122.12.54.149 N047.29.30.621 W122.12.54.387
                          N047.29.30.654 W122.12.53.912 N047.29.30.673 W122.12.53.600
                          N047.29.34.539 W122.13.00.685 N047.29.34.926 W122.13.00.867
                          N047.29.34.670 W122.13.00.531 N047.29.34.958 W122.13.00.354
                          N047.29.34.688 W122.13.00.219 N047.29.34.670 W122.13.00.531
                          N047.29.34.730 W122.13.00.774 N047.29.34.721 W122.13.00.932
                          N047.29.34.926 W122.13.00.867 N047.29.34.520 W122.13.01.002
                          N047.29.34.958 W122.13.00.354 N047.29.34.562 W122.13.00.326
                          N047.29.35.857 W122.12.53.194 N047.29.35.876 W122.12.52.957
                          N047.29.35.876 W122.12.52.957 N047.29.35.918 W122.12.52.882
                          N047.29.35.918 W122.12.52.882 N047.29.36.076 W122.12.52.892
                          N047.29.36.007 W122.12.52.729 N047.29.36.295 W122.12.52.547
                          N047.29.36.030 W122.12.52.412 N047.29.36.007 W122.12.52.729
                          N047.29.36.076 W122.12.52.892 N047.29.36.114 W122.12.52.976
                          N047.29.36.095 W122.12.53.208 N047.29.36.114 W122.12.52.976
                          N047.29.36.114 W122.12.52.976 N047.29.36.156 W122.12.52.938
                          N047.29.36.156 W122.12.52.938 N047.29.36.235 W122.12.52.943
                          N047.29.36.235 W122.12.52.943 N047.29.36.272 W122.12.52.985
                          N047.29.36.253 W122.12.53.222 N047.29.35.857 W122.12.53.194
                          N047.29.36.272 W122.12.52.985 N047.29.36.253 W122.12.53.222
                          N047.29.36.295 W122.12.52.547 N047.29.35.904 W122.12.52.524
                          N047.29.37.916 W122.13.01.328 N047.29.38.443 W122.13.01.580
                          N047.29.38.177 W122.13.01.454 N047.29.38.163 W122.13.01.668
                          N047.29.38.443 W122.13.01.580 N047.29.37.889 W122.13.01.761
                          N047.29.42.039 W122.12.53.385 N047.29.42.058 W122.12.53.064
                          N047.29.42.058 W122.12.53.064 N047.29.42.118 W122.12.52.957
                          N047.29.42.118 W122.12.52.957 N047.29.42.333 W122.12.52.971
                          N047.29.42.333 W122.12.52.971 N047.29.42.379 W122.12.53.083
                          N047.29.42.361 W122.12.53.409 N047.29.42.379 W122.12.53.083
                          N047.29.42.379 W122.12.53.083 N047.29.42.440 W122.12.53.031
                          N047.29.42.440 W122.12.53.031 N047.29.42.547 W122.12.53.041
                          N047.29.42.547 W122.12.53.041 N047.29.42.598 W122.12.53.097
                          N047.29.42.575 W122.12.53.423 N047.29.42.039 W122.12.53.385
                          N047.29.42.598 W122.12.53.097 N047.29.42.575 W122.12.53.423
                          N047.29.43.493 W122.13.00.014 N047.29.43.875 W122.13.00.196
                          N047.29.43.506 W122.12.59.735 N047.29.43.511 W122.12.59.656
                          N047.29.43.511 W122.12.59.656 N047.29.43.558 W122.12.59.581
                          N047.29.43.544 W122.12.59.819 N047.29.43.506 W122.12.59.735
                          N047.29.43.558 W122.12.59.581 N047.29.43.600 W122.12.59.544
                          N047.29.43.581 W122.12.59.861 N047.29.43.544 W122.12.59.819
                          N047.29.43.600 W122.12.59.544 N047.29.43.679 W122.12.59.549
                          N047.29.43.674 W122.12.56.455 N047.29.43.688 W122.12.56.218
                          N047.29.43.679 W122.12.59.549 N047.29.43.716 W122.12.59.590
                          N047.29.43.684 W122.13.00.103 N047.29.43.674 W122.13.00.261
                          N047.29.43.688 W122.12.56.218 N047.29.43.730 W122.12.56.139
                          N047.29.43.711 W122.12.55.864 N047.29.43.716 W122.12.55.785
                          N047.29.43.716 W122.12.55.785 N047.29.43.758 W122.12.55.705
                          N047.29.43.716 W122.12.59.590 N047.29.43.749 W122.12.59.674
                          N047.29.43.730 W122.12.56.139 N047.29.43.888 W122.12.56.153
                          N047.29.43.744 W122.12.55.943 N047.29.43.711 W122.12.55.864
                          N047.29.43.744 W122.12.59.754 N047.29.43.912 W122.12.59.604
                          N047.29.43.749 W122.12.59.674 N047.29.43.744 W122.12.59.754
                          N047.29.43.758 W122.12.55.705 N047.29.43.800 W122.12.55.668
                          N047.29.43.781 W122.12.55.985 N047.29.43.744 W122.12.55.943
                          N047.29.43.800 W122.12.55.668 N047.29.43.879 W122.12.55.673
                          N047.29.43.875 W122.13.00.196 N047.29.43.469 W122.13.00.326
                          N047.29.43.879 W122.12.55.673 N047.29.43.916 W122.12.55.715
                          N047.29.43.888 W122.12.56.153 N047.29.43.926 W122.12.56.232
                          N047.29.43.907 W122.12.56.469 N047.29.43.926 W122.12.56.232
                          N047.29.43.912 W122.12.59.604 N047.29.43.898 W122.12.59.842
                          N047.29.43.916 W122.12.55.715 N047.29.43.954 W122.12.55.799
                          N047.29.43.926 W122.12.56.232 N047.29.43.968 W122.12.56.194
                          N047.29.43.949 W122.12.55.878 N047.29.44.117 W122.12.55.729
                          N047.29.43.954 W122.12.55.799 N047.29.43.949 W122.12.55.878
                          N047.29.43.968 W122.12.56.194 N047.29.44.047 W122.12.56.199
                          N047.29.44.047 W122.12.56.199 N047.29.44.084 W122.12.56.241
                          N047.29.44.065 W122.12.56.479 N047.29.43.674 W122.12.56.455
                          N047.29.44.084 W122.12.56.241 N047.29.44.065 W122.12.56.479
                          N047.29.44.117 W122.12.55.729 N047.29.44.098 W122.12.55.966
                          N047.29.49.031 W122.13.03.024 N047.29.49.553 W122.13.03.271
                          N047.29.49.292 W122.13.03.145 N047.29.49.278 W122.13.03.364
                          N047.29.49.553 W122.13.03.271 N047.29.49.003 W122.13.03.452
                          N047.29.54.961 W122.13.02.031 N047.29.55.348 W122.13.02.213
                          N047.29.54.971 W122.13.01.873 N047.29.55.050 W122.13.01.878
                          N047.29.54.994 W122.13.01.556 N047.29.54.971 W122.13.01.873
                          N047.29.55.050 W122.13.01.878 N047.29.55.269 W122.13.01.575
                          N047.29.55.152 W122.13.02.120 N047.29.55.143 W122.13.02.278
                          N047.29.55.269 W122.13.01.575 N047.29.55.348 W122.13.01.580
                          N047.29.55.348 W122.13.02.213 N047.29.54.943 W122.13.02.348
                          N047.29.55.348 W122.13.01.580 N047.29.55.381 W122.13.01.659
                          N047.29.55.371 W122.13.01.817 N047.29.55.330 W122.13.01.896
                          N047.29.55.381 W122.13.01.659 N047.29.55.371 W122.13.01.817
                          N047.30.00.263 W122.13.02.861 N047.30.00.645 W122.13.03.042
                          N047.30.00.454 W122.13.02.949 N047.30.00.444 W122.13.03.108
                          N047.30.00.552 W122.13.02.679 N047.30.00.677 W122.13.02.567
                          N047.30.00.645 W122.13.03.042 N047.30.00.239 W122.13.03.177
                          N047.30.00.659 W122.13.00.415 N047.30.00.673 W122.13.00.201
                          N047.30.00.673 W122.13.00.201 N047.30.00.784 W122.13.00.098
                          N047.30.00.677 W122.13.02.567 N047.30.00.281 W122.13.02.544
                          N047.30.00.757 W122.13.00.527 N047.30.00.659 W122.13.00.415
                          N047.30.00.784 W122.13.00.098 N047.30.00.892 W122.13.00.103
                          N047.30.00.892 W122.13.00.103 N047.30.00.994 W122.13.00.219
                          N047.30.00.980 W122.13.00.434 N047.30.00.864 W122.13.00.536
                          N047.30.00.989 W122.13.01.137 N047.30.01.162 W122.13.00.988
                          N047.30.00.994 W122.13.00.219 N047.30.00.980 W122.13.00.434
                          N047.30.01.083 W122.13.00.550 N047.30.00.757 W122.13.00.527
                          N047.30.01.162 W122.13.00.988 N047.30.00.621 W122.13.00.951
                          N047.30.01.162 W122.13.00.122 N047.30.01.208 W122.13.00.233
                          N047.30.01.194 W122.13.00.448 N047.30.01.083 W122.13.00.550
                          N047.30.01.208 W122.13.00.233 N047.30.01.194 W122.13.00.448
